# https://physics.nist.gov/cgi-bin/ASD/lines1.pl?
# spectra=Ar
# &low_w=200
# &upp_w=1000
# air wavelengths, in nm
Name,Obs_Wave,Obs_Unc,Ritz_Wave,Ritz_Unc,Obs-Ritz,Rel_Intensity,Flag,Calibd_Intensity,Calib_Conf
ArII,200.3325,0.0006,200.331919,0.000006,0.0006,1,,,
ArII,200.39101,0.00004,200.390976,0.000009,0.00003,10,,,
ArII,200.49162,0.00002,200.491595,0.000005,0.000025,17,,,
ArIII,200.68505,0.00009,200.68507,0.00008,-0.00002,5,,,
ArIV,200.6890,0.0010,200.6907,0.0015,-0.0017,6,,,
ArII,200.7178,0.0006,200.716909,0.000006,0.0009,1,,,
ArII,201.1141,0.0006,201.113972,0.000006,0.0001,1,,,
ArII,201.4311,0.0006,201.430870,0.000005,0.0002,1,,,
ArII,201.53171,0.00008,201.531681,0.000005,0.00003,6,,,
ArII,201.87552,0.00006,201.875523,0.000005,0.00000,6,,,
ArII,202.176,0.002,202.17457,0.00005,0.0014,0.5,,,
ArII,202.273,0.002,202.274361,0.000005,-0.0014,1,,,
ArII,202.31164,0.00005,202.311608,0.000005,0.00003,9,,,
ArII,202.4733,0.0006,202.476857,0.000005,-0.0036,2,,,
ArII,202.51844,0.00004,202.518429,0.000006,0.00001,10,,,
ArII,202.6602,0.0006,202.660672,0.000005,-0.0005,2,,,
ArII,202.8558,0.0006,202.856745,0.000006,-0.0009,1,,,
ArII,203.21774,0.00005,203.217775,0.000005,-0.00004,9,,,
ArII,203.47624,0.00006,203.476255,0.000006,-0.00001,6,,,
ArII,203.5629,0.0006,203.560790,0.000004,0.0021,0.5,,,
ArII,203.94919,0.00001,203.949186,0.000004,0.000004,26,,,
ArII,204.23607,0.00002,204.236054,0.000005,0.000016,21,,,
ArII,204.6155,0.0006,204.615789,0.000004,-0.0003,0.5,,,
ArII,204.64925,0.00003,204.649276,0.000006,-0.00003,14,,,
ArII,204.79994,0.00010,204.799982,0.000005,-0.00004,5,,,
ArII,205.03242,0.00008,205.032402,0.000005,0.00002,5,,,
ArII,205.07924,0.00001,205.079243,0.000005,-0.000003,83,,,
ArII,205.75127,0.00001,205.751267,0.000005,0.000003,91,,,
ArII,205.80835,0.00002,205.808320,0.000006,0.000030,22,,,
ArIV,205.8820,0.0010,205.8818,0.0011,0.0002,0.5,,,
ArII,205.91973,0.00011,205.919705,0.000004,0.00002,6,,,
ArII,206.0079,0.0006,206.007466,0.000005,0.0004,1,,,
ArII,206.0855,0.0006,206.085173,0.000008,0.0003,0.5,,,
ArIV,206.1890,0.0010,206.1884,0.0011,0.0006,4,,,
ArII,206.37647,0.00004,206.376514,0.000005,-0.00004,8,,,
ArIII,206.4150,0.0020,206.416,0.003,-0.001,1,,,
ArII,206.42110,0.00001,206.421105,0.000005,-0.000005,123,,,
ArII,207.34254,0.00001,207.342531,0.000004,0.000009,43,,,
ArII,207.4003,0.0006,207.400469,0.000006,-0.0002,1,,,
ArII,207.61840,0.00008,207.618356,0.000005,0.00004,7,,,
ArII,207.96530,0.00001,207.965303,0.000006,-0.000003,68,,,
ArII,208.03555,0.00001,208.035549,0.000007,0.000001,89,,,
ArII,208.21077,0.00004,208.210791,0.000005,-0.00002,12,,,
ArII,208.6816,0.0006,208.681189,0.000004,0.0004,2,,,
ArII,208.7718,0.0006,208.771598,0.000004,0.0002,1,,,
ArII,209.16231,0.00001,209.162310,0.000005,0.000000,89,,,
ArII,209.16405,0.00002,209.164041,0.000004,0.000009,21,,,
ArII,209.23334,0.00002,209.233367,0.000006,-0.000027,21,,,
ArII,209.27643,0.00002,209.276420,0.000006,0.000010,16,,,
ArII,209.5976,0.0006,209.597025,0.000004,0.0006,1,,,
ArII,209.6808,0.0006,209.680555,0.000004,0.0002,1,,,
ArII,209.81285,0.00007,209.812869,0.000005,-0.00002,6,,,
ArII,209.8364,0.0006,209.836660,0.000004,-0.0003,0.5,,,
ArII,209.91369,0.00008,209.913652,0.000004,0.00004,5,,,
ArII,209.991,0.002,209.992019,0.000005,-0.0010,0,?,,
ArII,210.14605,0.00008,210.146066,0.000004,-0.00002,7,,,
ArII,210.33517,0.00001,210.335170,0.000006,0.000000,112,,,
