# https://physics.nist.gov/cgi-bin/ASD/lines1.pl?
# spectra=He
# &low_w=200
# &upp_w=1000
# air wavelengths, in nm
Name,Obs_Wave,Obs_Unc,Ritz_Wave,Ritz_Unc,Obs-Ritz,Rel_Intensity,Flag,Calibd_Intensity,Calib_Conf
HeI,257.76,0.03,257.76,0.03,0.00,50,,,
HeI,267.7135,0.0010,267.7128032,0.0000021,0.0007,1,,4.4174e+05,AAA
HeI,267.7135,0.0010,267.7128514,0.0000021,0.0006,1,,4.4174e+05,AAA
HeI,267.7135,0.0010,267.7128553,0.0000021,0.0006,1,,4.4174e+05,AAA
HeI,269.6119,0.0010,269.6117588,0.0000021,0.0001,1,,6.0234e+05,AAA
HeI,269.6119,0.0010,269.6118260,0.0000021,0.0001,1,,6.0234e+05,AAA
HeI,269.6119,0.0010,269.6118315,0.0000021,0.0001,1,,6.0234e+05,AAA
HeI,272.3191,0.0010,272.3191000,0.0000021,0.0000,1,,8.4996e+05,AAA
HeI,272.3191,0.0010,272.3191979,0.0000021,-0.0001,1,,8.4996e+05,AAA
HeI,272.3191,0.0010,272.3192059,0.0000021,-0.0001,1,,8.4996e+05,AAA
HeI,281.82,0.03,281.82,0.04,0.00,10,,,
HeI,294.5106,0.0010,294.5098925,0.0000021,0.0007,10,,3.2006e+06,AAA
HeI,294.5106,0.0010,294.5103735,0.0000021,0.0002,10,,3.2006e+06,AAA
HeI,294.5106,0.0010,294.5104128,0.0000021,0.0002,10,,3.2006e+06,AAA
HeI,301.37,0.03,301.371,0.015,0.00,40,,,
HeI,318.7745,0.0010,318.7744390,0.0000020,0.0001,20,,5.6361e+06,AAA
HeI,318.7745,0.0010,318.7745305,0.0000020,0.0000,20,,5.6361e+06,AAA
HeI,323.1266,0.0010,323.1270384,0.0000020,-0.0004,0,,5.1015e+05,AAA
HeI,325.8275,0.0010,325.8273495,0.0000020,0.0002,1,,6.9627e+05,AAA
HeI,355.4415,0.0010,355.4406135,0.0000021,0.0009,1,,3.6386e+04,AAA
HeI,355.4415,0.0010,355.4406284,0.0000021,0.0009,1,,3.2745e+05,AAA
HeI,355.4415,0.0010,355.4406294,0.0000021,0.0009,1,,1.3099e+05,AAA
HeI,355.4415,0.0010,355.4415793,0.0000021,-0.0001,1,,5.4579e+05,AAA
HeI,355.4415,0.0010,355.4415942,0.0000021,-0.0001,1,,9.8235e+05,AAA
