# https://physics.nist.gov/cgi-bin/ASD/lines1.pl?
# spectra=Hg
# &low_w=200
# &upp_w=1000
# air wavelengths, in nm
Name,Obs_Wave,Obs_Unc,Ritz_Wave,Ritz_Unc,Obs-Ritz,Rel_Intensity,Flag,Calibd_Intensity,Calib_Conf
HgI,200.191,0.002,200.1871,0.0008,0.0039,2,d,,
HgII,200.4667,0.0003,200.46684,0.00010,-0.0001,45,,5.2e+07,
HgII,201.0342,0.0003,201.03418,0.00010,0.0000,3.5,,1.1e+06,
HgII,201.5171,0.0003,201.51697,0.00010,0.0001,4,,8.5e+06,
HgII,201.7249,0.0003,201.72481,0.00010,0.0001,7,,1.0e+07,
HgII,202.2298,0.0003,202.22916,0.00010,0.0006,50,u,1.4e+08,
HgII,202.2326,0.0003,202.23291,0.00010,-0.0003,600,p,7.7e+07,
HgII,202.6860,0.0002,202.68598,0.00010,0.00002,175000,,1.6e+07,
HgII,202.9574,0.0003,202.95695,0.00010,0.0004,20,,1.8e+07,
HgII,203.1753,0.0003,203.17474,0.00010,0.0006,3.5,,9.0e+06,
HgII,203.7730,0.0003,203.77279,0.00010,0.0002,3.5,,1.9e+07,
HgII,204.2272,0.0003,204.22672,0.00010,0.0005,3,,1.8e+08,
HgII,205.0051,0.0003,205.00563,0.00010,-0.0005,10,,1.7e+01,
HgII,205.1731,0.0003,205.17278,0.00010,0.0003,3.5,,3.0e+06,
HgII,205.2828,0.0002,205.28241,0.00010,0.00039,750000,,5.9e+07,
HgII,205.4764,0.0003,,,,20,,,
HgII,206.0306,0.0003,206.03048,0.00010,0.0001,2,,7.3e+05,
HgII,206.6657,0.0003,206.66565,0.00010,0.0001,3,,3.0e+06,
HgII,211.6423,0.0002,211.64243,0.00010,-0.00013,45,,4.8e+07,
HgII,214.8006,0.0002,214.80036,0.00010,0.00024,90000,,1.1e+07,
HgII,215.8535,0.0003,215.85348,0.00010,0.0000,1,,1.2e+06,
HgI,216.580,0.003,216.580,0.003,0.000,,,,
HgI,216.812,0.003,216.813,0.003,-0.001,,,,
HgI,217.098,0.002,217.0984,0.0019,0.000,0,hw,,
HgII,217.1141,0.0002,217.11406,0.00010,0.00004,40,,1.0e+06,
HgI,217.305,0.003,217.3099,0.0014,-0.005,,,,
HgI,217.445,0.002,217.4446,0.0019,0.000,0,hw,,
HgI,217.708,0.003,217.7070,0.0014,0.001,,,,
HgI,217.876,0.002,217.8754,0.0014,0.0006,1,hw,,
HgII,218.0887,0.0003,218.08873,0.00010,0.0000,1,,2.4e+07,
HgI,218.206,0.003,218.2069,0.0014,-0.001,,,,
HgII,218.3157,0.0002,218.31570,0.00010,0.00000,40,,1.0e+07,
HgI,218.421,0.002,218.4196,0.0014,0.0014,1,hw,,
HgII,218.6860,0.0003,218.68591,0.00010,0.0001,1,,,
HgI,218.846,0.003,218.8471,0.0010,-0.001,,,,
HgII,219.0167,0.0003,219.01688,0.00010,-0.0002,18,,2.6e+06,
HgII,219.0744,0.0002,219.07421,0.00010,0.00019,15000,,1.0e+07,
HgI,219.125,0.003,219.1258,0.0019,-0.001,,,,
HgI,219.686,0.003,219.6888,0.0010,-0.003,,,,
HgI,220.058,0.002,220.0578,0.0015,0.0002,2,,,
HgII,220.6907,0.0003,,,,18,,,
HgI,220.826,0.002,220.8259,0.0010,0.0001,0,,,
HgI,221.338,0.002,221.3364,0.0015,0.0016,3,,,
HgII,221.6264,0.0003,221.62642,0.00010,0.0000,125,,9.5e+06,
HgII,222.4013,0.0003,222.40134,0.00010,0.0000,4500,,2.7e+07,
HgI,222.419,0.003,222.4206,0.0009,-0.002,,,,
HgII,222.4711,0.0002,222.47110,0.00010,0.00000,200000,,7.5e+08,
HgII,222.9807,0.0003,222.98069,0.00010,0.0000,400,,1.0e+07,
HgII,223.0032,0.0002,223.00285,0.00010,0.00035,7500,,1.5e+08,
HgI,223.094,0.003,223.0940,0.0015,0.000,0,,,E2
HgI,223.157,0.002,223.1543,0.0003,0.0027,6,,,
HgI,224.757,0.002,224.7555,0.0004,0.0015,6,,,
HgI,225.205,0.003,225.205,0.003,0.000,,,,
HgII,225.2786,0.0002,225.27837,0.00010,0.00023,100000,,1.2e+08,
HgI,225.459,0.003,225.455,0.003,0.004,,,,
HgI,225.459,0.003,225.459,0.003,0.000,,,,
HgII,225.5468,0.0003,225.54712,0.00010,-0.0003,4,,1.3e+06,
HgII,225.6120,0.0003,225.61184,0.00010,0.0002,2.5,,3.5e+06,
HgI,225.646,0.003,225.6466,0.0015,-0.001,,,,
HgI,225.763,0.003,225.765,0.003,-0.002,,,,
HgI,225.780,0.013,225.7753,0.0015,0.005,0,,,E2
HgII,225.8678,0.0003,225.86752,0.00010,0.0003,10,,9.5e+06,
HgI,225.871,0.003,225.8727,0.0010,-0.002,,,,
HgI,225.993,0.003,225.9925,0.0015,0.001,,,,
HgII,226.02942,0.00005,226.02943,0.00010,-0.00001,600000,,3.0e+08,
HgI,226.136,0.003,226.1346,0.0020,0.001,,,,
HgI,226.136,0.003,226.1382,0.0020,-0.002,,,,
HgI,226.136,0.003,226.1489,0.0010,-0.013,,,,
HgII,226.22226,0.00006,226.22227,0.00010,-0.00001,750000,,8.0e+06,
HgII,226.3634,0.0002,226.36338,0.00010,0.00002,100000,,2.8e+08,
HgI,226.421,0.003,226.4220,0.0015,-0.001,,,,
HgI,226.602,0.003,226.601,0.003,0.001,,,,
HgI,226.602,0.003,226.6042,0.0015,-0.002,,,,
HgI,226.602,0.003,226.6129,0.0010,-0.011,,,,
HgI,226.961,0.003,226.9628,0.0015,-0.002,,,,
HgI,226.980,0.005,226.98113,0.00004,-0.001,,,HF
