# https://physics.nist.gov/cgi-bin/ASD/lines1.pl?
# spectra=Ne
# &low_w=200
# &upp_w=1000
# air wavelengths, in nm
Name,Obs_Wave,Obs_Unc,Ritz_Wave,Ritz_Unc,Obs-Ritz,Rel_Intensity,Flag,Calibd_Intensity,Calib_Conf
NeV,200.06,0.05,200.052,0.005,0.01,9,,,
NeIII,200.0714,0.0010,200.0712,0.0010,0.0002,240,,3.0e+08,D
NeIII,200.1491,0.0010,200.1488,0.0010,0.0003,1000,,7.9e+08,D
NeII,200.18752,0.00010,200.187414,0.000009,0.00011,140,,,
NeIII,200.2243,0.0010,200.2242,0.0010,0.0001,100,,,
NeIII,200.2842,0.0010,200.2841,0.0010,0.0001,180,,,
NeV,200.316,0.003,200.316,0.003,0.000,10,,,
NeII,200.3930,0.0010,200.393177,0.000013,-0.0002,22,,,
NeII,200.4827,0.0010,200.482847,0.000013,-0.0001,60,,,
NeV,200.59,0.05,200.578,0.006,0.01,5,,,
NeV,200.59,0.05,200.63,0.05,-0.04,5,,,
NeII,200.7009,0.0010,200.700899,0.000009,0.0000,160,,,
NeV,200.91,0.05,200.887,0.006,0.02,4,,,
NeVIII,200.94,0.10,200.79,0.10,0.15,100,i,2.7e+08,B
NeVIII,200.94,0.10,201.03,0.10,-0.09,100,i,5.4e+08,B
NeIII,201.2042,0.0010,201.2034,0.0020,0.0008,50,,5.9e+07,D
NeIII,201.2042,0.0010,201.2037,0.0018,0.0005,50,,4.1e+07,D
NeIII,201.2042,0.0010,201.2059,0.0018,-0.0017,50,,4.9e+07,D
NeII,201.2149,0.0010,201.214742,0.000013,0.0002,80,,,
NeII,201.4367,0.0010,201.436743,0.000013,0.0000,12,,,
NeV,201.46,0.05,201.44,0.04,0.02,4,,,
NeIV,201.8421,0.0010,201.8421,0.0009,0.0000,17,,3.7e+08,D
NeII,201.8651,0.0010,201.865075,0.000013,0.0000,12,,,
NeIV,202.2186,0.0008,202.2185,0.0008,0.0001,26,,3.8e+08,D
NeII,202.55602,0.00010,202.555869,0.000013,0.00015,160,,,
NeV,202.627,0.003,202.627,0.005,0.000,40,,,
NeV,202.627,0.003,202.628,0.004,-0.001,40,,,
NeIII,202.8592,0.0010,202.8600,0.0010,-0.0008,120,,,
NeII,203.0793,0.0010,203.079263,0.000009,0.0000,60,,,
NeIII,203.3310,0.0010,203.3306,0.0010,0.0004,50,,,
NeIII,203.5529,0.0010,203.5520,0.0010,0.0009,30,,,
NeIV,203.7954,0.0010,203.7932,0.0017,0.0022,24,,,
NeIV,203.7954,0.0010,203.7961,0.0012,-0.0007,24,,,
NeIII,203.9307,0.0010,203.9309,0.0010,-0.0002,200,,,
NeIII,204.1200,0.0010,204.1191,0.0010,0.0009,90,,,
NeV,204.124,0.003,204.124,0.003,0.000,22,,,
NeVI,204.2382,0.0010,204.2382,0.0010,0.0000,350,,2.17e+08,A
NeII,204.2420,0.0010,204.242367,0.000009,-0.0004,40,,,
NeVI,204.95,0.05,204.95,0.05,0.00,100,,,
NeIII,205.2586,0.0010,205.2586,0.0010,0.0000,200,,3.3e+08,D
NeII,205.4138,0.0010,205.413213,0.000009,0.0006,22,,,
NeVI,205.593,0.002,205.5932,0.0020,0.000,90,bl,2.12e+08,A
NeIII,205.8267,0.0010,205.8267,0.0010,0.0000,300,,4.0e+08,C
NeV,206.07,0.15,205.91,0.21,0.16,2,,,
