# https://physics.nist.gov/cgi-bin/ASD/lines1.pl?
# spectra=Th
# &low_w=200
# &upp_w=1000
# air wavelengths, in nm
Name,Obs_Wave,Obs_Unc,Ritz_Wave,Ritz_Unc,Obs-Ritz,Rel_Intensity,Flag,Calibd_Intensity,Calib_Conf
ThI,234.53720,0.00006,234.537104,0.000005,0.00010,69,,,
ThI,243.94330,0.00006,243.943332,0.000003,-0.00003,210,,,
ThI,248.34180,0.00006,248.341580,0.000004,0.00022,69,,,
ThI,249.32500,0.00006,249.324811,0.000003,0.00019,140,,,
ThI,249.51260,0.00006,249.512527,0.000005,0.00007,13,,,
ThI,250.01421,0.00006,250.013935,0.000005,0.00027,13,,,
ThI,252.37601,0.00006,252.375879,0.000004,0.00013,34,,,
ThI,253.65400,0.00006,253.654197,0.000003,-0.00020,34,,,
ThI,254.60520,0.00006,254.605282,0.000003,-0.00008,140,,,
ThI,256.34020,0.00007,256.340181,0.000005,0.00002,2,,,
ThI,257.55991,0.00007,257.560231,0.000006,-0.00032,4,,,
ThI,257.72880,0.00007,257.728919,0.000004,-0.00012,100,,,
ThI,258.48511,0.00007,258.485268,0.000005,-0.00016,2,,,
ThI,258.52240,0.00007,258.522584,0.000005,-0.00018,4,,,
ThI,260.22900,0.00007,260.228869,0.000004,0.00013,5,,,
ThI,261.16260,0.00007,261.162710,0.000005,-0.00011,20,,,
ThI,261.58580,0.00007,261.585940,0.000005,-0.00014,6,,,
ThI,262.31000,0.00007,262.310128,0.000004,-0.00013,140,,,
ThI,262.46470,0.00007,262.464717,0.000004,-0.00002,140,,,
ThI,262.71280,0.00007,262.712728,0.000004,0.00007,6,,,
ThI,263.28540,0.00007,263.285456,0.000004,-0.00006,27,,,
ThI,263.39140,0.00007,263.391627,0.000004,-0.00023,2,,,
ThI,264.08650,0.00007,264.086580,0.000008,-0.00008,13,,,
ThI,265.47620,0.00007,265.476111,0.000004,0.00009,5,,,
ThI,265.76330,0.00007,265.763014,0.000006,0.00029,4,,,
ThI,266.49961,0.00007,266.499312,0.000011,0.00030,11,,,
ThI,267.76660,0.00007,267.766297,0.000011,0.00030,13,,,
ThI,268.54260,0.00007,268.542707,0.000004,-0.00011,4,,,
ThI,269.03191,0.00007,269.031892,0.000006,0.00002,13,,,
ThI,269.10570,0.00007,269.105643,0.000004,0.00006,280,,,
ThI,269.34250,0.00007,269.342317,0.000006,0.00018,69,,,
ThIV,269.399,0.010,,,100,,,
ThI,269.91531,0.00007,269.915170,0.000005,0.00014,2,,,
ThI,271.12880,0.00007,271.128819,0.000004,-0.00002,6,,,
ThI,271.26200,0.00007,271.261644,0.000004,0.00036,2,,,
ThI,271.38430,0.00007,271.384103,0.000005,0.00020,100,,,
ThI,271.93330,0.00007,271.933520,0.000005,-0.00022,20,,,
ThI,272.08570,0.00007,272.085533,0.000005,0.00017,69,,,
ThI,272.45220,0.00007,272.452170,0.000005,0.00003,34,,,
ThI,272.63170,0.00007,272.631692,0.000006,0.00001,280,,,
ThI,273.39000,0.00007,273.389854,0.000004,0.00015,69,,,
ThI,273.46611,0.00007,273.466186,0.000005,-0.00008,55,,,
ThI,273.975425,0.000023,273.975457,0.000005,-0.000032,110,,,
ThII,274.047225,0.000017,274.047236,0.000009,-0.000011,210,,,
ThII,274.306356,0.000008,274.306346,0.000005,0.000010,1000,,,
ThI,274.32740,0.00008,274.327531,0.000006,-0.00013,4,,,
ThI,274.43760,0.00008,274.437504,0.000005,0.00010,27,,,
ThI,274.648208,0.000019,274.648238,0.000005,-0.000030,180,,,
ThI,274.67861,0.00008,274.678494,0.000004,0.00012,140,,,
ThI,274.840841,0.000017,274.840902,0.000003,-0.000061,200,,,
ThII,274.880507,0.000012,274.880503,0.000006,0.000004,440,,,
ThI,274.93510,0.00008,274.935163,0.000004,-0.00006,69,,,
ThII,274.953079,0.000009,274.953075,0.000006,0.000004,750,,,
ThII,274.971375,0.000010,274.971366,0.000006,0.000009,620,,,
ThII,275.008049,0.000015,275.008061,0.000010,-0.000012,280,,,
ThII,275.157312,0.000015,275.157307,0.000007,0.000005,270,,,
ThII,275.175349,0.000023,275.175307,0.000012,0.000042,120,,,
ThII,275.216655,0.000005,275.216651,0.000004,0.000004,2800,,,
ThI,275.41790,0.00008,275.417909,0.000006,-0.00001,11,,,
ThI,275.53360,0.00008,275.533537,0.000004,0.00006,100,,,
ThII,275.595550,0.000012,275.595554,0.000011,-0.000004,430,,,
ThI,275.69120,0.00008,275.691386,0.000006,-0.00019,4,,,
ThI,275.92720,0.00008,275.927067,0.000004,0.00013,11,,,
ThII,275.940805,0.000010,275.940813,0.000007,-0.000008,590,,,
ThII,275.972047,0.000023,275.972081,0.000009,-0.000034,130,,,
ThII,276.039000,0.000008,276.038997,0.000006,0.000003,980,,,
ThIII,276.066513,0.000023,276.066496,0.000012,0.000017,140,,,
ThI,276.245866,0.000018,276.245828,0.000004,0.000038,210,,,
ThII,276.360538,0.000010,276.360512,0.000006,0.000026,640,,,
ThI,276.365771,0.000023,276.365719,0.000007,0.000052,92,,,
ThII,276.463644,0.000009,276.463637,0.000006,0.000007,720,,,
ThII,276.512338,0.000010,276.512325,0.000005,0.000013,640,,,
ThIII,276.580727,0.000023,276.580727,0.000023,0.000000,130,,,
ThII,276.588066,0.000023,276.588062,0.000012,0.000004,130,,,
ThI,276.69881,0.00008,276.698790,0.000006,0.00002,70,,,
ThII,276.884151,0.000005,276.884146,0.000004,0.000005,2300,,,
ThII,277.013017,0.000023,277.013060,0.000007,-0.000043,140,,,
ThII,277.081524,0.000007,277.081535,0.000004,-0.000011,1400,,,
ThI,277.125643,0.000023,277.125660,0.000004,-0.000017,94,,,
ThII,277.145966,0.000013,277.145970,0.000005,-0.000004,390,,,
ThII,277.151107,0.000008,277.151112,0.000004,-0.000005,840,,,
ThII,277.200998,0.000023,277.200967,0.000007,0.000031,160,,,
ThI,277.21760,0.00008,277.217599,0.000009,0.00000,5,,,
ThII,277.301831,0.000023,277.301847,0.000005,-0.000016,94,,,
ThII,277.395129,0.000008,277.395138,0.000007,-0.000009,830,,,
ThII,277.406600,0.000016,277.406591,0.000004,0.000009,250,,,
ThII,277.483752,0.000013,277.483726,0.000005,0.000026,350,,,
ThII,277.501413,0.000023,277.501413,0.000008,0.000000,130,,,
ThIII,277.504372,0.000015,277.504363,0.000009,0.000009,260,,,
ThI,277.523608,0.000023,277.523597,0.000004,0.000011,110,,,
ThII,277.546870,0.000023,277.546850,0.000007,0.000020,110,,,
ThI,277.54880,0.00008,277.548988,0.000004,-0.00019,140,,,
ThII,277.780029,0.000012,277.780019,0.000005,0.000010,500,,,
ThII,277.802100,0.000023,277.802076,0.000004,0.000024,110,,,
ThII,277.806075,0.000016,277.806088,0.000007,-0.000013,240,,,
ThIII,277.817001,0.000023,277.817013,0.000015,-0.000012,91,,,
ThII,277.822637,0.000023,277.822702,0.000006,-0.000065,120,,,
ThII,277.870444,0.000010,277.870469,0.000006,-0.000025,610,,,
ThII,278.040799,0.000010,278.040805,0.000007,-0.000006,660,,,
ThII,278.069983,0.000011,278.069976,0.000006,0.000007,580,,,
ThI,278.12090,0.00008,278.120843,0.000007,0.00006,70,,,
ThII,278.236461,0.000023,278.236451,0.000006,0.000010,140,,,
ThII,278.281339,0.000023,278.281327,0.000010,0.000012,160,,,
ThI,278.28710,0.00008,278.286926,0.000005,0.00017,140,,,
ThII,278.304921,0.000009,278.304922,0.000004,-0.000001,720,,,
ThI,278.317538,0.000019,278.317545,0.000004,-0.000007,190,,,
ThII,278.339706,0.000015,278.339690,0.000009,0.000016,280,,,
ThII,278.348947,0.000016,278.348964,0.000010,-0.000017,250,,,
ThII,278.39302,0.00003,278.393028,0.000010,-0.00001,76,,,
ThII,278.406010,0.000012,278.406071,0.000007,-0.000061,430,bl,,
ThIII,278.434116,0.000016,278.434121,0.000005,-0.000005,260,,,
ThII,278.44966,0.00003,278.449683,0.000010,-0.00002,79,,,
ThII,278.497479,0.000015,278.497489,0.000007,-0.000010,300,,,
ThII,278.554508,0.000023,278.554529,0.000006,-0.000021,120,,,
ThII,278.560827,0.000023,278.560864,0.000006,-0.000037,130,,,
ThII,278.623939,0.000014,278.623937,0.000010,0.000002,320,,,
ThII,278.668248,0.000016,278.668249,0.000008,-0.000001,270,,,
ThII,278.691195,0.000009,278.691212,0.000007,-0.000017,800,,,
ThII,278.712806,0.000010,278.712805,0.000006,0.000001,690,,,
