#INFO	-ref=VIZ5b6c970a1bd80	
#Name: J/A+A/468/1115/table1
#Title: Thorium and argon line list
#Column	Lambda	(F11.6)	Vacuum wavelength	[ucd=em.wl]
#Column	e_Lambda	(F9.6)	Uncertainty on wavelength	[ucd=stat.error]
#Column	Intensity	(I7)	Line peak intensity (in e^-^)	[ucd=phot.flux.density]
#Column	preLambda	(F11.6)	Unkwn Previously-known wavelength	[ucd=em.wl]
#Column	ID	(a6)	Line identification (1)	[ucd=phys.atmol.ionStage]
Name,Obs_Wave,Obs_Unc,Rel_Intensity,Matched_Wave
NoID,3785.650454,0.000149,7273,3785.649743
ThII,3786.675812,0.000129,11987,3786.675314
ArII,3787.458325,0.000120,24284,3787.457347
ThI,3788.714137,0.000160,3050,3788.714472
ThI,3789.009459,0.000170,2584,3789.010941
ThII,3789.435335,0.000157,2707,3789.435169
Unkwn,3790.185751,0.000527,6700,
ThI,3790.243720,0.000114,126158,3790.243943
NoID,3791.160081,0.000128,4572,3791.158240
ThI,3791.343954,0.000146,2491,3791.344838
NoID,3791.431959,0.000119,16543,3791.432308
Unkwn,3791.496302,0.001561,1711,
ThI,3791.871484,0.000113,68571,3791.871327
ThI,3792.296894,0.000140,2497,3792.297101
ThII,3792.373700,0.000149,2076,3792.373871
ThI,3792.594893,0.000126,4127,3792.594391
ThI,3793.807442,0.000114,13282,3793.806899
ThI,3794.893018,0.000118,4508,3794.893246
ThII,3795.228217,0.000125,2699,3795.228593
ThI,3795.775429,0.000112,11036,3795.775842
Unkwn,3796.417421,0.001787,2319,
ThII,3796.462640,0.000322,15398,3796.463455
NoID,3797.130165,0.000147,1179,3797.131160
ArII,3797.670969,0.000109,20252,3797.670939
ThI,3797.763931,0.000606,5114,3797.765133
ThI,3797.809594,0.000392,8478,3797.810076
NoID,3798.027250,0.000934,1926,3798.030160
NoID,3798.078311,0.001011,1556,3798.078917
ThII,3798.532598,0.000137,1233,3798.532622
ThI,3799.181895,0.000108,25835,3799.182103
ThI,3801.277275,0.000107,11858,3801.276921
ThII,3801.451328,0.000118,1954,3801.451265
ThII,3801.667777,0.000131,1132,3801.668679
ThI,3802.522227,0.000105,25856,3802.522475
ThI,3802.650891,0.000105,17570,3802.650804
ThII,3802.996752,0.001657,566,3802.997084
NoID,3803.049740,0.000920,979,3803.047647
ThI,3803.499251,0.000107,5237,3803.500326
