# https://physics.nist.gov/cgi-bin/ASD/lines1.pl?
# spectra=Xe
# &low_w=200
# &upp_w=1000
# air wavelengths, in nm
Name,Obs_Wave,Obs_Unc,Ritz_Wave,Ritz_Unc,Obs-Ritz,Rel_Intensity,Flag,Calibd_Intensity,Calib_Conf
XeIV,200.0360,0.0010,200.036,0.001,0.000,4,,,F
XeIII,200.1085,0.0050,200.1076,0.0001,0.0009,1,,,
XeIII,200.6317,0.0050,200.6326,0.0001,-0.0009,4,,,
XeIII,201.3859,0.0050,201.3854,0.0001,0.0005,8,,,
XeIV,201.4270,0.0010,201.425,0.001,0.002,6,,,
XeIII,201.6174,0.0050,201.6163,0.0001,0.0011,2,,,
XeIII,201.7911,0.0050,201.7901,0.0001,0.0010,2,,,
XeIII,201.8714,0.0050,201.8712,0.0001,0.0002,5,,,
XeIII,202.0914,0.0050,202.0910,0.0001,0.0004,6,,,
XeVIII,202.10,0.06,202.11,0.01,-0.01,0,,,
XeII,202.114,0.010,202.1133,0.0001,0.001,1,,,
XeIII,202.1304,0.0050,202.1313,0.0001,-0.0009,2,,,
XeV,202.4350,0.0010,202.430,0.001,0.005,2,,,
XeIV,202.6060,0.0010,202.606,0.001,0.000,11,,,
XeIII,202.6062,0.0050,202.6031,0.0001,0.0031,10,,,
XeIII,202.9023,0.0050,202.9022,0.0001,0.0001,8,,,
XeIII,202.9216,0.0050,202.9240,0.0001,-0.0024,9,,,
XeV,202.9750,0.0010,202.972,0.001,0.003,8,,,
XeIV,203.0810,0.0010,203.075,0.001,0.006,1,,,
XeIII,203.1996,0.0050,203.1996,0.0001,0.0000,8,,,
XeV,203.2560,0.0010,203.255,0.001,0.001,6,,,
XeII,203.616,0.010,203.6201,0.0001,-0.004,0,a,,
XeIII,203.7670,0.0050,203.7667,0.0001,0.0003,7,,,
XeIII,203.8394,0.0050,203.8381,0.0001,0.0013,6,,,
XeIII,203.9314,0.0050,203.9305,0.0001,0.0009,7,,,
XeII,204.042,0.010,204.0431,0.0001,-0.001,0,,,
XeV,204.0860,0.0010,204.084,0.001,0.002,5,,,
XeIV,204.1080,0.0010,204.107,0.001,0.001,9,,,
XeIII,204.1276,0.0050,204.1279,0.0001,-0.0003,1,,,
XeIV,204.1500,0.0010,204.149,0.001,0.001,8,,,
XeIII,204.3286,0.0050,204.3283,0.0001,0.0003,2,,,
XeII,204.346,0.010,204.3482,0.0001,-0.002,0,a,,
XeIII,204.4430,0.0050,204.4429,0.0001,0.0001,1,,,
XeIV,204.6160,0.0010,204.617,0.001,-0.001,10,,,
XeIII,204.6555,0.0050,204.6555,0.0001,0.0000,8,,,
XeIV,205.0420,0.0010,205.042,0.001,0.000,9,,,
XeIII,205.1875,0.0050,205.1865,0.0001,0.0010,7,,,
XeIII,205.2166,0.0050,205.2164,0.0001,0.0002,5,,,
XeIII,205.2729,0.0050,205.2733,0.0001,-0.0004,8,,,
XeII,205.3697,0.0010,205.3739,0.0001,-0.0042,0,,,
XeIV,205.4440,0.0010,205.443,0.001,0.001,9,,,
