element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Ar,2,2003.325,0.006,,,27.0,,N
Ar,2,2003.9101,0.0004,,,270.0,,N
Ar,2,2004.9162,0.0002,,,459.0,,N
Ar,3,2006.8505,0.0009,,,135.0,,N
Ar,4,2006.89,0.01,,,162.0,,N
Ar,2,2007.178,0.006,,,27.0,,N
Ar,2,2011.141,0.006,,,27.0,,N
Ar,2,2014.311,0.006,,,27.0,,N
Ar,2,2015.3171,0.0008,,,162.0,,N
Ar,2,2018.7552,0.0006,,,162.0,,N
Ar,2,2021.76,0.02,,,13.5,,N
Ar,2,2022.73,0.02,,,27.0,,N
Ar,2,2023.1164,0.0005,,,243.0,,N
Ar,2,2024.733,0.006,,,54.0,,N
Ar,2,2025.1844,0.0004,,,270.0,,N
Ar,2,2026.602,0.006,,,54.0,,N
Ar,2,2028.558,0.006,,,27.0,,N
Ar,2,2032.1774,0.0005,,,243.0,,N
Ar,2,2034.7624,0.0006,,,162.0,,N
Ar,2,2035.629,0.006,,,13.5,,N
Ar,2,2039.4919,0.0001,,,702.0,,N
Ar,2,2042.3607,0.0002,,,567.0,,N
Ar,2,2046.155,0.006,,,13.5,,N
Ar,2,2046.4925,0.0003,,,378.0,,N
Ar,2,2047.9994,0.001,,,135.0,,N
Ar,2,2050.3242,0.0008,,,135.0,,N
Ar,2,2050.7924,0.0001,,,2241.0,,N
Ar,2,2057.5127,0.0001,,,2457.0,,N
Ar,2,2058.0835,0.0002,,,594.0,,N
Ar,4,2058.82,0.01,,,13.5,,N
Ar,2,2059.1973,0.0011,,,162.0,,N
Ar,2,2060.079,0.006,,,27.0,,N
Ar,2,2060.855,0.006,,,13.5,,N
Ar,4,2061.89,0.01,,,108.0,,N
Ar,2,2063.7647,0.0004,,,216.0,,N
Ar,3,2064.15,0.02,,,27.0,,N
Ar,2,2064.211,0.0001,,,3321.0,,N
Ar,2,2073.4254,0.0001,,,1161.0,,N
Ar,2,2074.003,0.006,,,27.0,,N
Ar,2,2076.184,0.0008,,,189.0,,N
Ar,2,2079.653,0.0001,,,1836.0,,N
Ar,2,2080.3555,0.0001,,,2403.0,,N
Ar,2,2082.1077,0.0004,,,324.0,,N
Ar,2,2086.816,0.006,,,54.0,,N
Ar,2,2087.718,0.006,,,27.0,,N
Ar,2,2091.6231,0.0001,,,2403.0,,N
Ar,2,2091.6405,0.0002,,,567.0,,N
Ar,2,2092.3334,0.0002,,,567.0,,N
Ar,2,2092.7643,0.0002,,,432.0,,N
Ar,2,2095.976,0.006,,,27.0,,N
