element,sp_num,obs_wl_air(A),unc_obs_wl,intens,Aki(s^-1),Acc,Type,blank
He,1,2577.6,0.3,50,,,,
He,1,2677.135,0.010,1*,4.4174e+05,AAA,,
He,1,2677.135,0.010,1*,4.4174e+05,AAA,,
He,1,2677.135,0.010,1*,4.4174e+05,AAA,,
He,1,2696.119,0.010,1*,6.0234e+05,AAA,,
He,1,2696.119,0.010,1*,6.0234e+05,AAA,,
He,1,2696.119,0.010,1*,6.0234e+05,AAA,,
He,1,2723.191,0.010,1*,8.4996e+05,AAA,,
He,1,2723.191,0.010,1*,8.4996e+05,AAA,,
He,1,2723.191,0.010,1*,8.4996e+05,AAA,,
He,1,2818.2,0.3,10,,,,
He,1,2945.106,0.010,10*,3.2006e+06,AAA,,
He,1,2945.106,0.010,10*,3.2006e+06,AAA,,
He,1,2945.106,0.010,10*,3.2006e+06,AAA,,
He,1,3013.7,0.3,40,,,,
He,1,3187.745,0.010,20*,5.6361e+06,AAA,,
He,1,3187.745,0.010,20*,5.6361e+06,AAA,,
He,1,3231.266,0.010,0,5.1015e+05,AAA,,
He,1,3258.275,0.010,1,6.9627e+05,AAA,,
He,1,3554.415,0.010,1*,3.6386e+04,AAA,,
He,1,3554.415,0.010,1*,3.2745e+05,AAA,,
He,1,3554.415,0.010,1*,1.3099e+05,AAA,,
He,1,3554.415,0.010,1*,5.4579e+05,AAA,,
He,1,3554.415,0.010,1*,9.8235e+05,AAA,,
He,1,3562.979,0.010,0*,2.6868e+05,AAA,,
He,1,3562.979,0.010,0*,1.6121e+05,AAA,,
He,1,3587.270,0.010,1*,5.0298e+04,AAA,,
He,1,3587.270,0.010,1*,4.5265e+05,AAA,,
He,1,3587.270,0.010,1*,1.8107e+06,AAA,,
He,1,3587.270,0.010,1*,7.5448e+05,AAA,,
He,1,3587.270,0.010,1*,1.3580e+06,AAA,,
He,1,3613.643,0.010,3,3.8022e+06,AAA,,
He,1,3651.990,0.010,1*,5.4136e+05,AAA,,
He,1,3651.990,0.010,1*,3.2481e+05,AAA,,
He,1,3705.005,0.010,3*,1.0980e+05,AAA,,
He,1,3705.005,0.010,3*,9.8814e+05,AAA,,
He,1,3705.005,0.010,3*,3.9529e+06,AAA,,
He,1,3705.005,0.010,3*,1.6470e+06,AAA,,
He,1,3705.005,0.010,3*,2.9644e+06,AAA,,
He,1,3819.6074,0.0008,10*,1.7876e+05,AAA,,
He,1,3819.6074,0.0008,10*,1.6087e+06,AAA,,
He,1,3819.6074,0.0008,10*,6.4353e+06,AAA,,
He,1,3819.6074,0.0008,10*,2.6814e+06,AAA,,
He,1,3819.6074,0.0008,10*,4.8261e+06,AAA,,
He,1,3833.554,0.010,0,9.6470e+05,AAA,,
He,1,3871.791,0.010,1,1.3386e+06,AAA,,
He,1,3888.648,0.010,500*,9.4746e+06,AAA,,
He,1,3888.648,0.010,500*,9.4746e+06,AAA,,
He,1,3935.912,0.010,0,7.4475e+05,AAA,,
He,1,3964.7291,0.0010,20,6.9507e+06,AAA,,
He,1,4023.973,0.010,1,1.1281e+06,AAA,,
He,1,4026.1914,0.0010,50*,3.2224e+05,AAA,,
He,1,4026.1914,0.0010,50*,2.8999e+06,AAA,,
He,1,4026.1914,0.0010,50*,1.1601e+07,AAA,,
He,1,4026.1914,0.0010,50*,4.8336e+06,AAA,,
He,1,4026.1914,0.0010,50*,8.6997e+06,AAA,,
He,1,4120.8154,0.0012,12*,2.4738e+06,AAA,,
He,1,4120.8154,0.0012,12*,1.4843e+06,AAA,,
He,1,4143.761,0.010,3,4.8812e+06,AAA,,
He,1,4168.967,0.010,1,1.8298e+06,AAA,,
He,1,4387.9296,0.0006,10,8.9889e+06,AAA,,
He,1,4437.551,0.010,3,3.2689e+06,AAA,,
He,1,4471.4802,0.0015,200*,6.8275e+05,AAA,,
He,1,4471.4802,0.0015,200*,6.1440e+06,AAA,,
He,1,4471.4802,0.0015,200*,2.4579e+07,AAA,,
He,1,4471.4802,0.0015,200*,1.0241e+07,AAA,,
He,1,4471.4802,0.0015,200*,1.8432e+07,AAA,,
He,1,4713.1457,0.0006,30*,5.2894e+06,AAA,,
He,1,4713.1457,0.0006,30*,3.1736e+06,AAA,,
He,1,4921.9313,0.0005,20,1.9863e+07,AAA,,
He,1,5015.6783,0.0003,100,1.3372e+07,AAA,,
He,1,5047.738,0.010,10,6.7712e+06,AAA,,
He,1,5875.621,0.010,500*,1.7673e+07,AAA,,
He,1,5875.621,0.010,500*,7.0708e+07,AAA,,
He,1,5875.621,0.010,500*,2.9462e+07,AAA,,
He,1,5875.621,0.010,500*,5.3019e+07,AAA,,
He,1,6678.151,0.010,100,6.3705e+07,AAA,,
He,1,7065.190,0.010,200*,1.5474e+07,AAA,,
He,1,7065.190,0.010,200*,9.2844e+06,AAA,,
He,1,7065.71,0.10,30,3.0948e+06,AAA,,
He,1,7281.349,0.010,50,1.8299e+07,AAA,,
He,1,9210.337,0.010,2*,2.2685e+03,AAA,,
He,1,9210.337,0.010,2*,5.1041e+05,AAA,,
He,1,9210.337,0.010,2*,4.3822e+04,AAA,,
He,1,9210.337,0.010,2*,7.9378e+04,AAA,,
He,1,9210.337,0.010,2*,3.5681e+05,AAA,,
He,1,9210.337,0.010,2*,4.2875e+05,AAA,,
He,1,9526.17,0.10,3*,3.3834e+03,AAA,,
He,1,9526.17,0.10,3*,7.6127e+05,AAA,,
He,1,9526.17,0.10,3*,6.4641e+04,AAA,,
He,1,9526.17,0.10,3*,1.1839e+05,AAA,,
He,1,9526.17,0.10,3*,5.2655e+05,AAA,,
He,1,9526.17,0.10,3*,6.3946e+05,AAA,,
He,1,9529.27,0.10,1,5.8976e+05,AAA,,
He,1,10027.73,0.10,6*,5.4147e+03,AAA,,
He,1,10027.73,0.10,6*,1.2183e+06,AAA,,
He,1,10027.73,0.10,6*,1.8947e+05,AAA,,
He,1,10027.73,0.10,6*,1.0174e+05,AAA,,
He,1,10027.73,0.10,6*,8.2928e+05,AAA,,
He,1,10027.73,0.10,6*,1.0234e+06,AAA,,
He,1,10031.16,0.10,2,9.2892e+05,AAA,,
He,1,10912.92,0.10,12*,9.6197e+03,AAA,,
He,1,10912.92,0.10,12*,3.3661e+05,AAA,,
He,1,10912.92,0.10,12*,2.1644e+06,AAA,,
He,1,10912.92,0.10,12*,1.7594e+05,AAA,,
He,1,10912.92,0.10,12*,1.4356e+06,AAA,,
He,1,10913.05,0.10,9,1.8181e+06,AAA,,
He,1,10917.10,0.10,3,1.6083e+06,AAA,,
He,1,11969.12,0.10,30,2.6084e+06,AAA,,
He,1,12527.52,0.10,20,7.0932e+05,AAA,,
He,1,12784.79,0.10,81*,2.0331e+04,AAA,,
He,1,12784.79,0.10,81*,7.1142e+05,AAA,,
He,1,12784.79,0.10,81*,4.5746e+06,AAA,,
He,1,12784.79,0.10,81*,3.5457e+05,AAA,,
He,1,12784.79,0.10,81*,2.8980e+06,AAA,,
He,1,12784.99,0.10,50,3.8426e+06,AAA,,
He,1,12790.57,0.10,20,3.2475e+06,AAA,,
He,1,12845.96,0.10,7*,1.5176e+06,AAA,,
He,1,12845.96,0.10,7*,9.1057e+05,AAA,,
He,1,12968.45,0.10,10,3.3615e+06,AAA,,
He,1,12984.89,0.10,2*,2.7294e+05,AAA,,
He,1,12984.89,0.10,2*,2.0466e+05,AAA,,
He,1,12984.89,0.10,2*,2.2927e+05,AAA,,
He,1,12984.89,0.10,2*,4.0931e+04,AAA,,
He,1,12984.89,0.10,2*,6.8235e+04,AAA,,
He,1,12984.89,0.10,2*,2.7294e+03,AAA,,
