element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
He,1,2577.6,0.3,,,50.0,,N
He,1,2677.135,0.01,AAA,,1.0,*,N
He,1,2677.135,0.01,AAA,,1.0,*,N
He,1,2677.135,0.01,AAA,,1.0,*,N
He,1,2696.119,0.01,AAA,,1.0,*,N
He,1,2696.119,0.01,AAA,,1.0,*,N
He,1,2696.119,0.01,AAA,,1.0,*,N
He,1,2723.191,0.01,AAA,,1.0,*,N
He,1,2723.191,0.01,AAA,,1.0,*,N
He,1,2723.191,0.01,AAA,,1.0,*,N
He,1,2818.2,0.3,,,10.0,,N
He,1,2945.106,0.01,AAA,,10.0,*,N
He,1,2945.106,0.01,AAA,,10.0,*,N
He,1,2945.106,0.01,AAA,,10.0,*,N
He,1,3013.7,0.3,,,40.0,,N
He,1,3187.745,0.01,AAA,,20.0,*,N
He,1,3187.745,0.01,AAA,,20.0,*,N
He,1,3231.266,0.01,AAA,,0.0,,N
He,1,3258.275,0.01,AAA,,1.0,,N
He,1,3554.415,0.01,AAA,,1.0,*,N
He,1,3554.415,0.01,AAA,,1.0,*,N
He,1,3554.415,0.01,AAA,,1.0,*,N
He,1,3554.415,0.01,AAA,,1.0,*,N
He,1,3554.415,0.01,AAA,,1.0,*,N
He,1,3562.979,0.01,AAA,,0.0,*,N
He,1,3562.979,0.01,AAA,,0.0,*,N
He,1,3587.27,0.01,AAA,,1.0,*,N
He,1,3587.27,0.01,AAA,,1.0,*,N
He,1,3587.27,0.01,AAA,,1.0,*,N
He,1,3587.27,0.01,AAA,,1.0,*,N
He,1,3587.27,0.01,AAA,,1.0,*,N
He,1,3613.643,0.01,AAA,,3.0,,N
He,1,3651.99,0.01,AAA,,1.0,*,N
He,1,3651.99,0.01,AAA,,1.0,*,N
He,1,3705.005,0.01,AAA,,3.0,*,N
He,1,3705.005,0.01,AAA,,3.0,*,N
He,1,3705.005,0.01,AAA,,3.0,*,N
He,1,3705.005,0.01,AAA,,3.0,*,N
He,1,3705.005,0.01,AAA,,3.0,*,N
He,1,3819.6074,0.0008,AAA,,10.0,*,N
He,1,3819.6074,0.0008,AAA,,10.0,*,N
He,1,3819.6074,0.0008,AAA,,10.0,*,N
He,1,3819.6074,0.0008,AAA,,10.0,*,N
He,1,3819.6074,0.0008,AAA,,10.0,*,N
He,1,3833.554,0.01,AAA,,0.0,,N
