element,sp_num,obs_wl_air(A),unc_obs_wl,intens,Aki(s^-1),Acc,Type,blank
Hg,1,2001.91,0.02,2d,,,,
Hg,2,2004.667,0.003,45,5.2e+07,,,
Hg,2,2010.342,0.003,3.5,1.1e+06,,,
Hg,2,2015.171,0.003,4,8.5e+06,,,
Hg,2,2017.249,0.003,7,1.0e+07,,,
Hg,2,2022.298,0.003,50u,1.4e+08,,,
Hg,2,2022.326,0.003,600p,7.7e+07,,,
Hg,2,2026.860,0.002,175000,1.6e+07,,,
Hg,2,2029.574,0.003,20,1.8e+07,,,
Hg,2,2031.753,0.003,3.5,9.0e+06,,,
Hg,2,2037.730,0.003,3.5,1.9e+07,,,
Hg,2,2042.272,0.003,3,1.8e+08,,,
Hg,2,2050.051,0.003,10,1.7e+01,,,
Hg,2,2051.731,0.003,3.5,3.0e+06,,,
Hg,2,2052.828,0.002,750000,5.9e+07,,,
Hg,2,2054.764,0.003,20,,,,
Hg,2,2060.306,0.003,2,7.3e+05,,,
Hg,2,2066.657,0.003,3,3.0e+06,,,
Hg,2,2116.423,0.002,45,4.8e+07,,,
Hg,2,2148.006,0.002,90000,1.1e+07,,,
Hg,2,2158.535,0.003,1,1.2e+06,,,
Hg,1,2165.80,0.03,,,,,
Hg,1,2168.12,0.03,,,,,
Hg,1,2170.98,0.02,0hw,,,,
Hg,2,2171.141,0.002,40,1.0e+06,,,
Hg,1,2173.05,0.03,,,,,
Hg,1,2174.45,0.02,0hw,,,,
Hg,1,2177.08,0.03,,,,,
Hg,1,2178.76,0.02,1hw,,,,
Hg,2,2180.887,0.003,1,2.4e+07,,,
Hg,1,2182.06,0.03,,,,,
Hg,2,2183.157,0.002,40,1.0e+07,,,
Hg,1,2184.21,0.02,1hw,,,,
Hg,2,2186.860,0.003,1,,,,
Hg,1,2188.46,0.03,,,,,
Hg,2,2190.167,0.003,18,2.6e+06,,,
Hg,2,2190.744,0.002,15000,1.0e+07,,,
Hg,1,2191.25,0.03,,,,,
Hg,1,2196.86,0.03,,,,,
Hg,1,2200.58,0.02,2,,,,
Hg,2,2206.907,0.003,18,,,,
Hg,1,2208.26,0.02,0,,,,
Hg,1,2213.38,0.02,3,,,,
Hg,2,2216.264,0.003,125,9.5e+06,,,
