element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Hg,1,2001.91,0.02,,,16.0,d,Y
Hg,2,2004.667,0.003,,,360.0,,N
Hg,2,2010.342,0.003,,,28.0,,N
Hg,2,2015.171,0.003,,,32.0,,N
Hg,2,2017.249,0.003,,,56.0,,N
Hg,2,2022.298,0.003,,,400.0,u,N
Hg,2,2022.326,0.003,,,4800.0,p,N
Hg,2,2026.86,0.002,,,1400000.0,,N
Hg,2,2029.574,0.003,,,160.0,,N
Hg,2,2031.753,0.003,,,28.0,,N
Hg,2,2037.73,0.003,,,28.0,,N
Hg,2,2042.272,0.003,,,24.0,,N
Hg,2,2050.051,0.003,,,80.0,,N
Hg,2,2051.731,0.003,,,28.0,,N
Hg,2,2052.828,0.002,,,6000000.0,,N
Hg,2,2054.764,0.003,,,160.0,,N
Hg,2,2060.306,0.003,,,16.0,,N
Hg,2,2066.657,0.003,,,24.0,,N
Hg,2,2116.423,0.002,,,360.0,,N
Hg,2,2148.006,0.002,,,720000.0,,N
Hg,2,2158.535,0.003,,,8.0,,N
Hg,1,2165.8,0.03,,,-792.0,--,Y
Hg,1,2168.12,0.03,,,-792.0,--,Y
Hg,1,2170.98,0.02,,,0.0,hw,Y
Hg,2,2171.141,0.002,,,320.0,,N
Hg,1,2173.05,0.03,,,-792.0,--,Y
Hg,1,2174.45,0.02,,,0.0,hw,Y
Hg,1,2177.08,0.03,,,-792.0,--,Y
Hg,1,2178.76,0.02,,,8.0,hw,Y
Hg,2,2180.887,0.003,,,8.0,,N
Hg,1,2182.06,0.03,,,-792.0,--,Y
Hg,2,2183.157,0.002,,,320.0,,N
Hg,1,2184.21,0.02,,,8.0,hw,Y
Hg,2,2186.86,0.003,,,8.0,,N
Hg,1,2188.46,0.03,,,-792.0,--,Y
Hg,2,2190.167,0.003,,,144.0,,N
Hg,2,2190.744,0.002,,,120000.0,,N
Hg,1,2191.25,0.03,,,-792.0,--,Y
Hg,1,2196.86,0.03,,,-792.0,--,Y
Hg,1,2200.58,0.02,,,16.0,,Y
Hg,2,2206.907,0.003,,,144.0,,N
Hg,1,2208.26,0.02,,,0.0,,Y
Hg,1,2213.38,0.02,,,24.0,,Y
Hg,2,2216.264,0.003,,,1000.0,,N
Hg,2,2224.013,0.003,,,36000.0,,N
Hg,1,2224.19,0.03,,,-792.0,--,Y
Hg,2,2224.711,0.002,,,1600000.0,,N
Hg,2,2229.807,0.003,,,3200.0,,N
Hg,2,2230.032,0.002,,,60000.0,,N
Hg,1,2230.94,0.03,,,0.0,,Y
Hg,1,2231.57,0.02,,,48.0,,Y
Hg,1,2247.57,0.02,,,48.0,,Y
Hg,1,2252.05,0.03,,,-792.0,--,Y
Hg,2,2252.786,0.002,,,800000.0,,N
Hg,1,2254.59,0.03,,,-792.0,*,Y
Hg,1,2254.59,0.03,,,-792.0,*,Y
Hg,2,2255.468,0.003,,,32.0,,N
Hg,2,2256.12,0.003,,,20.0,,N
Hg,1,2256.46,0.03,,,-792.0,--,Y
Hg,1,2257.63,0.03,,,-792.0,--,Y
Hg,1,2257.8,0.13,,,0.0,,Y
Hg,2,2258.678,0.003,,,80.0,,N
Hg,1,2258.71,0.03,,,-792.0,--,Y
Hg,1,2259.93,0.03,,,-792.0,--,Y
Hg,2,2260.2942,0.0005,,,4800000.0,,N
Hg,1,2261.36,0.03,,,-792.0,*,Y
Hg,1,2261.36,0.03,,,-792.0,*,Y
Hg,1,2261.36,0.03,,,-792.0,*,Y
Hg,2,2262.2226,0.0006,,,6000000.0,,N
Hg,2,2263.634,0.002,,,800000.0,,N
Hg,1,2264.21,0.03,,,-792.0,--,Y
Hg,1,2266.02,0.03,,,-792.0,*,Y
Hg,1,2266.02,0.03,,,-792.0,*,Y
Hg,1,2266.02,0.03,,,-792.0,*,Y
Hg,1,2269.61,0.03,,,-792.0,--,Y
Hg,1,2269.8,0.05,,,-792.0,--,Y
Hg,1,2271.9,0.03,,,-792.0,*,Y
