element,sp_num,obs_wl_air(A),unc_obs_wl,intens,Aki(s^-1),Acc,Type,blank
Ne,5,2000.6,0.5,9,,,,
Ne,3,2000.714,0.010,240,3.0e+08,D,,
Ne,3,2001.491,0.010,1000,7.9e+08,D,,
Ne,2,2001.8752,0.0010,140,,,,
Ne,3,2002.243,0.010,100,,,,
Ne,3,2002.842,0.010,180,,,,
Ne,5,2003.16,0.03,10,,,,
Ne,2,2003.930,0.010,22,,,,
Ne,2,2004.827,0.010,60,,,,
Ne,5,2005.9,0.5,5*,,,,
Ne,5,2005.9,0.5,5*,,,,
Ne,2,2007.009,0.010,160,,,,
Ne,5,2009.1,0.5,4,,,,
Ne,8,2009.4,1.0,100i*,2.7e+08B,,
Ne,8,2009.4,1.0,100i*,5.4e+08B,,
Ne,3,2012.042,0.010,50*,5.9e+07,D,,
Ne,3,2012.042,0.010,50*,4.1e+07,D,,
Ne,3,2012.042,0.010,50*,4.9e+07,D,,
Ne,2,2012.149,0.010,80,,,,
Ne,2,2014.367,0.010,12,,,,
Ne,5,2014.6,0.5,4,,,,
Ne,4,2018.421,0.010,17,3.7e+08,D,,
Ne,2,2018.651,0.010,12,,,,
Ne,4,2022.186,0.008,26,3.8e+08,D,,
Ne,2,2025.5602,0.0010,160,,,,
Ne,5,2026.27,0.03,40*,,,,
Ne,5,2026.27,0.03,40*,,,,
Ne,3,2028.592,0.010,120,,,,
Ne,2,2030.793,0.010,60,,,,
Ne,3,2033.310,0.010,50,,,,
Ne,3,2035.529,0.010,30,,,,
Ne,4,2037.954,0.010,24*,,,,
Ne,4,2037.954,0.010,24*,,,,
Ne,3,2039.307,0.010,200,,,,
Ne,3,2041.200,0.010,90,,,,
Ne,5,2041.24,0.03,22,,,,
Ne,6,2042.382,0.010,350,2.17e+08,A,,
Ne,2,2042.420,0.010,40,,,,
Ne,6,2049.5,0.5,100,,,,
Ne,3,2052.586,0.010,200,3.3e+08,D,,
Ne,2,2054.138,0.010,22,,,,
Ne,6,2055.93,0.02,90bl,2.12e+08,A,,
Ne,3,2058.267,0.010,300,4.0e+08,C,,
Ne,5,2060.7,1.5,2*,,,,
Ne,5,2060.7,1.5,2*,,,,
Ne,5,2060.7,1.5,2*,,,,
Ne,3,2062.813,0.010,240,4.1e+08,C,,
Ne,3,2064.939,0.010,180,4.1e+08,C,,
Ne,3,2065.3091,0.0010,1000,4.7e+08,C,,
Ne,4,2068.763,0.010,6,,,,
Ne,3,2070.754,0.010,90,1.1e+08,D,,
Ne,4,2071.321,0.010,3,,,,
Ne,2,2071.419,0.010,22,,,,
Ne,5,2072.2,1.5,20bl,,,,
Ne,4,2073.814,0.010,8,,,,
Ne,2,2076.499,0.010,12,,,,
Ne,4,2077.99,0.03,2*,,,,
Ne,4,2077.99,0.03,2*,,,,
Ne,3,2078.969,0.010,500,2.5e+08,C,,
Ne,5,2084.4,1.5,1*,,,,
Ne,5,2084.4,1.5,1*,,,,
Ne,2,2085.46332,0.00022,300,,,,
Ne,3,2086.904,0.010,260,2.9e+08,C,,
Ne,3,2087.389,0.010,200,1.1e+08,C,,
Ne,3,2088.889,0.010,200,5.1e+07,C,,
Ne,3,2089.361,0.010,300,2.8e+08,C,,
Ne,2,2090.67,0.05,2bl,,,,
Ne,3,2091.797,0.010,200,1.4e+08,C,,
Ne,3,2092.40,0.10,240bl*,6.8e+07,C,,
Ne,3,2092.40,0.10,240bl*,3.8e+07,C,,
Ne,3,2093.522,0.010,180,1.1e+08,C,,
Ne,3,2094.076,0.010,140,1.1e+08,C,,
Ne,3,2095.460,0.010,600,3.5e+08,C,,
Ne,2,2096.10647,0.00022,360,,,,
Ne,2,2096.2544,0.0003,240,,,,
Ne,3,2099.251,0.010,300,6.2e+08,C,,
Ne,4,2099.503,0.010,18,,,,
Ne,2,2101.00,0.02,10,,,,
Ne,3,2102.239,0.010,140,1.4e+07,C,,
Ne,4,2104.707,0.010,5,,,,
Ne,2,2118.79,0.02,9,,,,
Ne,2,2119.02,0.03,5,,,,
Ne,3,2129.425,0.010,180,4.2e+07,C,,
Ne,5,2131.77,0.03,5,,,,
Ne,5,2132.05,0.03,2,,,,
Ne,5,2133.76,0.03,10,,,,
Ne,7,2134.3,1.0,80*,,,,
Ne,7,2134.3,1.0,80*,,,,
Ne,4,2137.938,0.010,3,,,,
Ne,5,2138.07,0.03,20,,,,
Ne,7,2140.3,1.0,80,,,,
Ne,5,2144.25,0.03,50,,,,
Ne,4,2144.524,0.010,4,,,,
Ne,3,2148.078,0.010,70,2.0e+07,C,,
Ne,3,2149.8698,0.0010,400,3.8e+08,C,,
Ne,3,2150.627,0.010,600,4.3e+08,C,,
Ne,3,2151.1999,0.0010,300,3.6e+08,C,,
Ne,3,2151.712,0.010,240,7.4e+07,C,,
Ne,3,2151.754,0.010,200,,,,
Ne,3,2153.085,0.010,240,5.4e+07,C,,
Ne,4,2157.206,0.010,6,,,,
Ne,3,2159.295,0.010,400,6.4e+08,C,,
Ne,7,2159.3,1.0,40,1.39e+08,A,,
Ne,3,2159.372,0.010,600,4.8e+08,C,,
Ne,3,2159.515,0.010,500,2.2e+08,C,,
Ne,3,2160.828,0.010,360,1.6e+08,C,,
Ne,3,2160.968,0.010,600,3.7e+08,C,,
Ne,3,2161.134,0.010,800,4.3e+08,C,,
Ne,3,2163.450,0.010,240,4.3e+07,C,,
Ne,3,2163.6115,0.0010,600,2.1e+08,C,,
Ne,3,2163.7337,0.0010,1000,6.4e+08,C,,
Ne,2,2166.205,0.010,100,,,,
Ne,4,2167.04,0.03,6,,,,
Ne,4,2167.22,0.03,3,,,,
Ne,3,2168.792,0.010,20,1.2e+07,C,,
Ne,2,2170.513,0.010,60,,,,
Ne,2,2170.671,0.010,140,,,,
Ne,4,2174.437,0.010,8,1.3e+08,D,,
Ne,4,2176.142,0.010,8,9.5e+07,D,,
Ne,3,2176.6293,0.0010,360,4.1e+08,C,,
Ne,3,2177.6980,0.0010,400,3.0e+08,C,,
Ne,3,2178.6538,0.0010,300,1.0e+08,C,,
Ne,3,2180.8631,0.0010,600,3.4e+08,C,,
Ne,2,2181.775,0.010,40,,,,
Ne,3,2182.2632,0.0010,300,6.2e+07,C,,
Ne,3,2183.222,0.010,120,4.1e+06,C,,
Ne,3,2186.5431,0.0010,100,2.2e+06,C,,
Ne,2,2187.80,0.03,4,,,,
Ne,3,2190.226,0.010,200,,,,
Ne,2,2190.426,0.010,80,,,,
Ne,3,2191.090,0.010,100,,,,
Ne,3,2191.391,0.010,30,,,,
Ne,4,2192.648,0.010,5,4.2e+07,D,,
Ne,3,2192.716,0.010,120,,,,
Ne,6,2193.3,1.0,140,2.10e+08B,,
Ne,3,2193.825,0.010,50,1.1e+07,D,,
Ne,3,2194.118,0.010,30,1.1e+07,D,,
Ne,3,2194.281,0.010,10,1.1e+07,D,,
Ne,3,2194.862,0.010,90,3.6e+07,C,,
Ne,3,2197.052,0.010,30,7.0e+06,C,,
Ne,3,2197.789,0.010,160,3.3e+07,C,,
Ne,3,2198.334,0.010,30,3.5e+07,D,,
Ne,3,2198.831,0.010,70,5.9e+07,D,,
Ne,3,2199.663,0.010,100,8.2e+07,D,,
Ne,4,2200.780,0.010,8,2.5e+08,D,,
Ne,3,2201.167,0.010,70,6.6e+06,C,,
Ne,3,2202.161,0.010,200,3.8e+07,C,,
Ne,4,2203.850,0.010,18,2.2e+08,D,,
Ne,3,2204.10,0.10,50bl,4.3e+06,C,,
Ne,3,2205.0006,0.0010,300,5.1e+08,C,,
Ne,3,2205.901,0.010,180,6.4e+07,C,,
Ne,3,2207.232,0.010,360,5.5e+08,C,,
Ne,3,2209.3151,0.0010,400,6.1e+08,C,,
Ne,2,2210.602,0.010,12,,,,
Ne,3,2211.8239,0.0010,600,5.8e+08,C,,
Ne,3,2212.577,0.010,200,3.8e+07,C,,
Ne,3,2213.7211,0.0010,800,5.8e+08,C,,
Ne,3,2214.728,0.010,200,2.7e+07,C,,
Ne,8,2215.3,1.0,70,,,,
Ne,3,2216.0398,0.0010,1000,6.1e+08,C,,
Ne,2,2218.55,0.02,16,,,,
Ne,4,2220.772,0.010,8,1.4e+08,D,,
Ne,5,2224.12,0.02,30,6.9e+06,D,,
Ne,3,2224.598,0.010,160wl*,6.5e+07,D,,
Ne,3,2224.598,0.010,160wl*,4.4e+07,D,,
Ne,3,2224.598,0.010,160wl*,5.4e+07,D,,
Ne,2,2226.330,0.010,22,,,,
Ne,5,2227.42,0.02,80,1.3e+07,D,,
Ne,2,2229.814,0.010,22,,,,
Ne,2,2231.117,0.010,22,,,,
Ne,2,2231.791,0.010,80,,,,
Ne,5,2232.41,0.02,300,2.0e+07,D,,
Ne,2,2234.715,0.010,12,,,,
Ne,2,2235.868,0.010,12,,,,
Ne,2,2236.251,0.010,60,,,,
Ne,5,2236.29,0.02,50,1.5e+07,D,,
Ne,2,2242.232,0.010,12,,,,
Ne,4,2245.10,0.03,3,,,,
Ne,5,2245.48,0.02,70,1.1e+07,D,,
Ne,4,2247.28,0.03,4,,,,
Ne,6,2247.76,0.02,110,,,,
Ne,2,2252.701,0.010,12,,,,
Ne,2,2252.805,0.010,100,,,,
Ne,6,2253.20,0.02,230,,,,
Ne,5,2256.05,0.02,30,6.3e+06,D,,
Ne,2,2256.398,0.010,12,,,,
Ne,2,2256.812,0.010,40,,,,
Ne,2,2256.902,0.010,40,,,,
Ne,4,2258.020,0.020,18,2.6e+08,D,,
Ne,5,2259.57,0.02,200,1.9e+08,D,,
Ne,4,2262.080,0.020,12,2.7e+08,D,,
Ne,3,2262.11,0.10,140bl,7.3e+06,C,,
Ne,3,2263.1661,0.0010,360,1.8e+08,C,,
Ne,5,2263.39,0.02,70,1.2e+08,D,,
Ne,3,2264.047,0.010,120,1.0e+07,C,,
Ne,4,2264.540,0.020,8,2.7e+08,D,,
Ne,3,2264.832,0.010,320,1.6e+08,C,,
Ne,5,2265.71,0.05,400bl,2.4e+08,D,,
Ne,3,2265.904,0.010,140,1.5e+07,C,,
Ne,3,2266.0839,0.0010,300,1.6e+08,C,,
Ne,3,2266.88,0.10,140bl,1.9e+07,C,,
Ne,3,2270.520,0.010,20,7.3e+06,D,,
Ne,2,2272.626,0.010,12,,,,
Ne,3,2273.5826,0.0010,800,5.7e+08,C,,
Ne,5,2274.54,0.05,10,1.2e+06,D,,
Ne,3,2278.951,0.010,240,4.1e+08,C,,
Ne,5,2282.61,0.05,100,8.9e+07,D,,
Ne,3,2283.83,0.10,70bl*,3.7e+06,C,,
Ne,3,2283.83,0.10,70bl*,,,,
Ne,4,2285.793,0.008,24,2.8e+08,D,,
Ne,7,2287.9,1.5,90bl,,,,
Ne,6,2289.36,0.05,50,,,,
Ne,4,2293.14,0.05,1,1.8e+07,D,,
Ne,4,2293.480,0.020,11,2.6e+08,D,,
Ne,7,2297.3,1.5,180bl*,,,,
Ne,7,2297.3,1.5,180bl*,,,,
Ne,7,2297.3,1.5,180bl*,,,,
Ne,7,2297.3,1.5,180bl*,,,,
Ne,2,2298.455,0.010,22,,,,
Ne,3,2298.957,0.010,20,7.1e+06,C,,
Ne,7,2299.3,1.5,120bl*,,,,
Ne,7,2299.3,1.5,120bl*,,,,
Ne,2,2300.245,0.010,100,,,,
Ne,2,2300.693,0.010,12,,,,
Ne,3,2303.891,0.010,180,2.1e+08,C,,
