element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Ne,5,2000.6,0.5,,,9.0,,N
Ne,3,2000.714,0.01,D,,240.0,,N
Ne,3,2001.491,0.01,D,,1000.0,,N
Ne,2,2001.8752,0.001,,,140.0,,N
Ne,3,2002.243,0.01,,,100.0,,N
Ne,3,2002.842,0.01,,,180.0,,N
Ne,5,2003.16,0.03,,,10.0,,N
Ne,2,2003.93,0.01,,,22.0,,N
Ne,2,2004.827,0.01,,,60.0,,N
Ne,5,2005.9,0.5,,,5.0,*,N
Ne,5,2005.9,0.5,,,5.0,*,N
Ne,2,2007.009,0.01,,,160.0,,N
Ne,5,2009.1,0.5,,,4.0,,N
Ne,8,2009.4,1.0,,,100.0,i*,N
Ne,8,2009.4,1.0,,,100.0,i*,N
Ne,3,2012.042,0.01,D,,50.0,*,N
Ne,3,2012.042,0.01,D,,50.0,*,N
Ne,3,2012.042,0.01,D,,50.0,*,N
Ne,2,2012.149,0.01,,,80.0,,N
Ne,2,2014.367,0.01,,,12.0,,N
Ne,5,2014.6,0.5,,,4.0,,N
Ne,4,2018.421,0.01,D,,17.0,,N
Ne,2,2018.651,0.01,,,12.0,,N
Ne,4,2022.186,0.008,D,,26.0,,N
Ne,2,2025.5602,0.001,,,160.0,,N
Ne,5,2026.27,0.03,,,40.0,*,N
Ne,5,2026.27,0.03,,,40.0,*,N
Ne,3,2028.592,0.01,,,120.0,,N
Ne,2,2030.793,0.01,,,60.0,,N
Ne,3,2033.31,0.01,,,50.0,,N
Ne,3,2035.529,0.01,,,30.0,,N
Ne,4,2037.954,0.01,,,24.0,*,N
Ne,4,2037.954,0.01,,,24.0,*,N
Ne,3,2039.307,0.01,,,200.0,,N
Ne,3,2041.2,0.01,,,90.0,,N
Ne,5,2041.24,0.03,,,22.0,,N
Ne,6,2042.382,0.01,A,,350.0,,N
Ne,2,2042.42,0.01,,,40.0,,N
Ne,6,2049.5,0.5,,,100.0,,N
Ne,3,2052.586,0.01,D,,200.0,,N
Ne,2,2054.138,0.01,,,22.0,,N
Ne,6,2055.93,0.02,A,,90.0,bl,N
Ne,3,2058.267,0.01,C,,300.0,,N
Ne,5,2060.7,1.5,,,2.0,*,N
Ne,5,2060.7,1.5,,,2.0,*,N
Ne,5,2060.7,1.5,,,2.0,*,N
Ne,3,2062.813,0.01,C,,240.0,,N
Ne,3,2064.939,0.01,C,,180.0,,N
Ne,3,2065.3091,0.001,C,,1000.0,,N
Ne,4,2068.763,0.01,,,6.0,,N
Ne,3,2070.754,0.01,D,,90.0,,N
Ne,4,2071.321,0.01,,,3.0,,N
Ne,2,2071.419,0.01,,,22.0,,N
Ne,5,2072.2,1.5,,,20.0,bl,N
Ne,4,2073.814,0.01,,,8.0,,N
Ne,2,2076.499,0.01,,,12.0,,N
Ne,4,2077.99,0.03,,,2.0,*,N
Ne,4,2077.99,0.03,,,2.0,*,N
Ne,3,2078.969,0.01,C,,500.0,,N
Ne,5,2084.4,1.5,,,1.0,*,N
Ne,5,2084.4,1.5,,,1.0,*,N
Ne,2,2085.46332,0.00022,,,300.0,,N
Ne,3,2086.904,0.01,C,,260.0,,N
Ne,3,2087.389,0.01,C,,200.0,,N
Ne,3,2088.889,0.01,C,,200.0,,N
Ne,3,2089.361,0.01,C,,300.0,,N
Ne,2,2090.67,0.05,,,2.0,bl,N
Ne,3,2091.797,0.01,C,,200.0,,N
Ne,3,2092.4,0.1,C,,240.0,bl*,N
Ne,3,2092.4,0.1,C,,240.0,bl*,N
Ne,3,2093.522,0.01,C,,180.0,,N
Ne,3,2094.076,0.01,C,,140.0,,N
Ne,3,2095.46,0.01,C,,600.0,,N
Ne,2,2096.10647,0.00022,,,360.0,,N
Ne,2,2096.2544,0.0003,,,240.0,,N
Ne,3,2099.251,0.01,C,,300.0,,N
Ne,4,2099.503,0.01,,,18.0,,N
Ne,2,2101.0,0.02,,,10.0,,N
Ne,3,2102.239,0.01,C,,140.0,,N
Ne,4,2104.707,0.01,,,5.0,,N
Ne,2,2118.79,0.02,,,9.0,,N
Ne,2,2119.02,0.03,,,5.0,,N
Ne,3,2129.425,0.01,C,,180.0,,N
Ne,5,2131.77,0.03,,,5.0,,N
Ne,5,2132.05,0.03,,,2.0,,N
Ne,5,2133.76,0.03,,,10.0,,N
Ne,7,2134.3,1.0,,,80.0,*,N
Ne,7,2134.3,1.0,,,80.0,*,N
Ne,4,2137.938,0.01,,,3.0,,N
Ne,5,2138.07,0.03,,,20.0,,N
Ne,7,2140.3,1.0,,,80.0,,N
Ne,5,2144.25,0.03,,,50.0,,N
Ne,4,2144.524,0.01,,,4.0,,N
Ne,3,2148.078,0.01,C,,70.0,,N
Ne,3,2149.8698,0.001,C,,400.0,,N
Ne,3,2150.627,0.01,C,,600.0,,N
Ne,3,2151.1999,0.001,C,,300.0,,N
Ne,3,2151.712,0.01,C,,240.0,,N
Ne,3,2151.754,0.01,,,200.0,,N
Ne,3,2153.085,0.01,C,,240.0,,N
Ne,4,2157.206,0.01,,,6.0,,N
Ne,3,2159.295,0.01,C,,400.0,,N
Ne,7,2159.3,1.0,A,,40.0,,N
Ne,3,2159.372,0.01,C,,600.0,,N
Ne,3,2159.515,0.01,C,,500.0,,N
Ne,3,2160.828,0.01,C,,360.0,,N
Ne,3,2160.968,0.01,C,,600.0,,N
Ne,3,2161.134,0.01,C,,800.0,,N
Ne,3,2163.45,0.01,C,,240.0,,N
Ne,3,2163.6115,0.001,C,,600.0,,N
Ne,3,2163.7337,0.001,C,,1000.0,,N
Ne,2,2166.205,0.01,,,100.0,,N
Ne,4,2167.04,0.03,,,6.0,,N
Ne,4,2167.22,0.03,,,3.0,,N
Ne,3,2168.792,0.01,C,,20.0,,N
Ne,2,2170.513,0.01,,,60.0,,N
Ne,2,2170.671,0.01,,,140.0,,N
Ne,4,2174.437,0.01,D,,8.0,,N
Ne,4,2176.142,0.01,D,,8.0,,N
Ne,3,2176.6293,0.001,C,,360.0,,N
Ne,3,2177.698,0.001,C,,400.0,,N
Ne,3,2178.6538,0.001,C,,300.0,,N
Ne,3,2180.8631,0.001,C,,600.0,,N
Ne,2,2181.775,0.01,,,40.0,,N
Ne,3,2182.2632,0.001,C,,300.0,,N
Ne,3,2183.222,0.01,C,,120.0,,N
Ne,3,2186.5431,0.001,C,,100.0,,N
Ne,2,2187.8,0.03,,,4.0,,N
Ne,3,2190.226,0.01,,,200.0,,N
Ne,2,2190.426,0.01,,,80.0,,N
Ne,3,2191.09,0.01,,,100.0,,N
Ne,3,2191.391,0.01,,,30.0,,N
Ne,4,2192.648,0.01,D,,5.0,,N
Ne,3,2192.716,0.01,,,120.0,,N
Ne,6,2193.3,1.0,,,140.0,,N
Ne,3,2193.825,0.01,D,,50.0,,N
Ne,3,2194.118,0.01,D,,30.0,,N
Ne,3,2194.281,0.01,D,,10.0,,N
Ne,3,2194.862,0.01,C,,90.0,,N
Ne,3,2197.052,0.01,C,,30.0,,N
Ne,3,2197.789,0.01,C,,160.0,,N
Ne,3,2198.334,0.01,D,,30.0,,N
Ne,3,2198.831,0.01,D,,70.0,,N
Ne,3,2199.663,0.01,D,,100.0,,N
Ne,4,2200.78,0.01,D,,8.0,,N
