obs_wl_air(A),unc_obs_wl,intensity,Use
3001.66291,0.001,4386.019567,Y
3007.90636,0.001,4997.598076,Y
3018.66067,0.001,1847.414589,Y
3026.46673,0.001,3135.019244,Y
3034.36175,0.001,4146.16313,Y
3038.35975,0.001,3569.637836,Y
3048.79914,0.001,4929.227664,Y
3061.05208,0.001,7422.741415,Y
3068.37624,0.001,6451.526279,Y
3079.50545,0.001,8597.181425,Y
3088.84011,0.001,3124.453154,Y
3100.85309,0.001,3342.653408,Y
3108.07228,0.001,6827.03164,Y
3119.48741,0.001,7290.005621,Y
3125.17098,0.001,8205.61144,Y
3140.03824,0.001,5892.70331,Y
3146.00873,0.001,4917.01666,Y
3154.78952,0.001,6757.740143,Y
3163.37636,0.001,3392.795355,Y
3179.79521,0.001,13544.25831,Y
3188.37704,0.001,9307.918697,Y
3203.73316,0.001,1592.292991,Y
3211.76513,0.001,4978.927695,Y
3221.22174,0.001,7404.003696,Y
3225.99553,0.001,4100.114505,Y
3236.3569,0.001,11346.96713,Y
3244.66979,0.001,5997.586787,Y
3253.09666,0.001,7426.590555,Y
3256.99467,0.001,9016.504424,Y
3262.69222,0.001,4474.018882,Y
3271.92888,0.001,6316.272319,Y
3281.24051,0.001,2588.159107,Y
3291.56489,0.001,10856.81993,Y
3304.12469,0.001,16818.01208,Y
3309.5933,0.001,5025.401955,Y
3313.9312,0.001,4506.659455,Y
3321.04139,0.001,7061.496965,Y
3325.08735,0.001,9873.982607,Y
3330.71392,0.001,12175.21746,Y
3349.11723,0.001,14278.71912,Y
3361.14316,0.001,7039.263065,Y
3365.62702,0.001,5719.808705,Y
3374.21282,0.001,8586.825272,Y
3380.04933,0.001,4182.618174,Y
3391.83732,0.001,15646.03738,Y
3397.69682,0.001,20019.77338,Y
3402.94348,0.001,7651.521405,Y
3408.55805,0.001,6745.283995,Y
3413.17686,0.001,7211.155057,Y
3422.87038,0.001,17646.43939,Y
3428.92783,0.001,9760.793611,Y
3436.96077,0.001,26416.07065,Y
3452.0659,0.001,5031.834242,Y
3461.15957,0.001,23288.77206,Y
3469.71138,0.001,18317.35896,Y
3479.51086,0.001,4952.703562,Y
3486.98595,0.001,12831.87068,Y
3497.36528,0.001,8786.846807,Y
3511.11275,0.001,6216.002578,Y
3518.61682,0.001,6036.226433,Y
3529.98489,0.001,6240.655776,Y
3539.56343,0.001,10554.82472,Y
3545.33395,0.001,6218.907627,Y
3550.67557,0.001,7981.575391,Y
3555.08943,0.001,4856.57083,Y
3559.85121,0.001,9916.768598,Y
3567.2663,0.001,12800.25761,Y
3576.45393,0.001,18236.48137,Y
3583.64908,0.001,5366.177017,Y
3588.88173,0.001,17617.16811,Y
3598.17333,0.001,13904.71287,Y
3604.52769,0.001,5477.839163,Y
3612.6166,0.001,25794.98157,Y
3625.13037,0.001,11751.02579,Y
3634.62492,0.001,8197.582965,Y
3642.31593,0.001,22695.02174,Y
3649.4231,0.001,6876.824065,Y
3659.70244,0.001,25516.62718,Y
3675.26442,0.001,11665.47013,Y
3680.736,0.001,7840.446583,Y
3691.86312,0.001,21643.30018,Y
3703.83802,0.001,9671.708427,Y
3711.12713,0.001,8045.983288,Y
3720.32475,0.001,29347.85236,Y
3727.8428,0.001,14140.71012,Y
3741.7592,0.001,20094.07092,Y
3752.58239,0.001,7547.951337,Y
3758.74279,0.001,11175.89856,Y
3763.3506,0.001,10305.10475,Y
3770.36078,0.001,14029.15716,Y
3781.41691,0.001,6593.739202,Y
3789.71975,0.001,15022.22881,Y
3803.05229,0.001,30024.46233,Y
3812.86774,0.001,6007.908546,Y
3821.62746,0.001,6861.672973,Y
3828.61665,0.001,17094.50926,Y
3839.30287,0.001,27419.18767,Y
3846.72494,0.001,3869.005607,Y
3852.2475,0.001,5630.936204,Y
3862.56881,0.001,5934.244872,Y
3874.22578,0.001,35969.67544,Y
3885.81476,0.001,12566.67102,Y
3895.40626,0.001,7994.652082,Y
3901.97455,0.001,7207.300681,Y
3912.36285,0.001,6121.386189,Y
3917.85142,0.001,9309.275744,Y
3924.65964,0.001,21811.85914,Y
3929.77831,0.001,13656.12234,Y
3937.89019,0.001,3931.326592,Y
3950.137,0.001,48811.92318,Y
3956.46534,0.001,6680.920151,Y
3968.17129,0.001,19165.56025,Y
3973.13299,0.001,6305.369926,Y
3979.92022,0.001,6263.652033,Y
3990.79538,0.001,7056.042133,Y
3995.07227,0.001,6387.765004,Y
4001.19067,0.001,8244.163798,Y
4008.7317,0.001,15735.6951,Y
4012.02684,0.001,15757.38814,Y
4019.18896,0.001,23924.12615,Y
4030.9039,0.001,21760.9569,Y
4036.03356,0.001,29445.24068,Y
4043.38764,0.001,8265.0128,Y
4052.99013,0.001,6193.162759,Y
4059.26748,0.001,4666.420995,Y
4063.77131,0.001,6660.079009,Y
4069.61578,0.001,9390.7373,Y
4086.07647,0.001,15046.99297,Y
4100.05381,0.001,19256.28454,Y
4112.66551,0.001,21296.0291,Y
4132.24138,0.001,12680.82396,Y
4142.58267,0.001,6601.659032,Y
4149.57083,0.001,4573.963127,Y
4157.78268,0.001,6011.008037,Y
4165.39569,0.001,7290.343583,Y
4170.40837,0.001,9101.688835,Y
4179.29104,0.001,10270.92999,Y
4193.39134,0.001,5239.578635,Y
4202.74689,0.001,2539.703036,Y
4210.6878,0.001,24127.15357,Y
4226.79857,0.001,45900.94729,Y
4235.46729,0.001,13188.97488,Y
4241.79863,0.001,1584.211159,Y
4250.25541,0.001,16438.61617,Y
4257.36254,0.001,15840.95652,Y
4272.76549,0.001,7567.583578,Y
4277.55823,0.001,11747.93799,Y
4281.76013,0.001,10235.1174,Y
4288.77728,0.001,3798.817219,Y
4299.07958,0.001,4635.025639,Y
4307.46637,0.001,8372.340593,Y
4313.08489,0.001,20205.96131,Y
4329.81549,0.001,6616.383659,Y
4337.20854,0.001,8322.90071,Y
4342.84806,0.001,6877.412585,Y
4347.95572,0.001,6967.082303,Y
4353.30931,0.001,4921.130775,Y
4358.94482,0.001,3626.378871,Y
4366.2309,0.001,4840.590232,Y
4374.19181,0.001,13723.60177,Y
4378.41669,0.001,8998.955813,Y
4391.37228,0.001,7988.77846,Y
4401.47862,0.001,15081.97423,Y
4408.90666,0.001,10996.48514,Y
4413.50545,0.001,4814.778126,Y
4422.33112,0.001,3187.823657,Y
4432.6634,0.001,3711.566268,Y
4440.19341,0.001,4720.387101,Y
4445.78694,0.001,5682.455796,Y
4452.41619,0.001,3882.424786,Y
4461.44281,0.001,7771.667741,Y
4469.73262,0.001,2458.612609,Y
4474.98924,0.001,3296.548333,Y
4482.08137,0.001,5982.307182,Y
4487.37297,0.001,6555.591353,Y
4493.3224,0.001,28875.72304,Y
4499.23984,0.001,6886.320937,Y
4505.94307,0.001,2877.721619,Y
4514.9067,0.001,7533.186662,Y
4520.92311,0.001,4730.136146,Y
4534.16962,0.001,4842.981932,Y
4541.0438,0.001,3113.56761,Y
4545.74756,0.001,5913.522412,Y
4555.8259,0.001,5866.388143,Y
4562.72807,0.001,3924.699365,Y
4570.74195,0.001,4981.293665,Y
4579.61861,0.001,3083.078942,Y
4589.76193,0.001,30134.8098,Y
4595.21849,0.001,10254.97434,Y
4603.02442,0.001,1741.056726,Y
4609.34775,0.001,4494.630705,Y
4620.61277,0.001,2699.913021,Y
4628.27674,0.001,2620.991731,Y
4632.24669,0.001,2995.80169,Y
4639.47178,0.001,3856.352108,Y
4647.05178,0.001,2564.08437,Y
4650.98874,0.001,3617.334332,Y
4658.22182,0.001,2634.406967,Y
4668.1462,0.001,6596.235743,Y
4673.76971,0.001,16484.61635,Y
4686.21441,0.001,5306.642649,Y
4690.83219,0.001,5972.462787,Y
4694.83013,0.001,8165.172497,Y
4704.0297,0.001,19323.29831,Y
4712.44647,0.001,3346.378075,Y
4726.83866,0.001,26257.40359,Y
4740.62701,0.001,6152.839149,Y
4749.50765,0.001,5744.506121,Y
4758.20235,0.001,2451.586462,Y
4765.27647,0.001,7438.667258,Y
4778.25104,0.001,11967.90684,Y
4789.21213,0.001,6630.586311,Y
4800.23621,0.001,699.1546274,Y
4808.29807,0.001,14706.80016,Y
4813.55768,0.001,5510.260493,Y
4822.72525,0.001,13373.06829,Y
4831.45793,0.001,11290.03424,Y
4840.87843,0.001,11983.80574,Y
4848.5474,0.001,9190.173192,Y
4864.17425,0.001,14233.25482,Y
4873.15387,0.001,7646.228622,Y
4878.75838,0.001,12343.33669,Y
4885.98146,0.001,1246.651057,Y
4894.8861,0.001,13568.53315,Y
4902.10218,0.001,2959.238366,Y
4910.96683,0.001,3565.57331,Y
4920.09941,0.001,8060.910893,Y
4927.47445,0.001,3684.374364,Y
4939.23233,0.001,8034.182658,Y
4945.3537,0.001,8597.90215,N
4954.52226,0.001,1328.60686,N
