Ritz_Wavelength_(A),Ritz_Wavelength_Uncertainty_(A),Measured_Wavelength_(A),Measured_Wavelength_Uncertainty_(A),Relative_Intensity,Species,Lower_State_Energy,Lower_State_J,Upper_State_Energy,Upper_State_J,Source,Use
4019.128762,2.1e-05,4019.128754,2.1e-05,20000,Th II,0,3/2,24873,5/2_1,RNS13,Y
4030.842223,1.5e-05,4030.84226,2e-05,15000,Th I,2869,3,27670,3_1,RNS13,Y
4036.047645,8e-06,4036.047655,1.3e-05,24000,Th I,0,2,24769,3_1,RNS13,Y
4043.39465,3e-05,4043.39461,5e-05,6200,Th I,4961,4,29686,3_1,RNS13,Y
4053.527548,2.1e-05,4053.52758,7e-05,4100,Th I,7795,4_1,32458,4,PE83,Y
4069.20134,5e-05,4069.20134,8e-05,3400,Th II,6691,3/2_1,31259,5/2,PE83,Y
4085.04207,5e-05,4085.04204,8e-05,3000,Th II,10189,11/2_1,34661,11/2,PE83,Y
4100.341193,7e-06,4100.341213,1.8e-05,15000,Th I,0,2,24381,2_1,RNS13,Y
4112.754309,8e-06,4112.754311,1.4e-05,18000,Th I,0,2,24307,2_1,RNS13,Y
4131.002,2.4e-05,4131.00201,5e-05,5600,Th I,7795,4_1,31995,4,RNS13,Y
4158.5351,5e-05,4158.53513,9e-05,2400,Th I,9804,5,33844,5_1,PE83,Y
4165.76607,1.9e-05,4165.76608,4e-05,5500,Th I,7795,4_1,31793,4,RNS13,Y
4179.71488,5e-05,4179.71483,9e-05,2400,Th II,1521,5/2,25440,5/2_1,PE83,Y
4193.01628,4e-05,4193.01633,9e-05,2900,Th I,8111,4,31953,4_1,PE83,Y
4194.935993,2.3e-05,4194.93598,9e-05,2300,Th I,7795,4_1,31626,5,RNS13,Y
4204.04129,5e-05,4204.04122,0.00014,870,Th I,14481,6_1,38261,5,PE83,Y
4210.92303,1.1e-05,4210.92303,1.2e-05,16000,Th I,0,2,23741,1_1,RNS13,Y
4257.496131,9e-06,4257.496131,1.6e-05,11000,Th I,0,2,23481,1_1,RNS13,Y
4269.94257,6e-05,4269.94257,0.00013,980,Th I,8111,4,31523,3_1,PE83,Y
4273.35741,4e-05,4273.35735,7e-05,2200,Th II,8378,7/2_1,31773,9/2,RNS13,Y
4277.31385,3e-05,4277.31385,3e-05,6000,Th II,0,3/2,23372,3/2_1,RNS13,Y
4299.83925,4e-05,4299.83922,7e-05,2200,Th I,11197,5_1,34447,4,RNS13,Y
4312.998002,1.1e-05,4312.997992,1.7e-05,9700,Th I,4961,4,28140,4_1,RNS13,Y
4328.915286,6e-06,4328.91532,4e-05,3400,Th I,0,2,23093,2_1,RNS13,Y
4337.277253,8e-06,4337.27726,3e-05,5700,Th I,0,2,23049,1_1,RNS13,Y
4349.072123,1.3e-05,4349.07214,5e-05,2700,Th I,4961,4,27948,4_1,RNS13,Y
4374.123775,8e-06,4374.123767,1.3e-05,10000,Th I,0,2,22855,3_1,RNS13,Y
4378.176791,1.3e-05,4378.176778,1.9e-05,6800,Th I,2869,3,25703,2_1,RNS13,Y
4400.98602,6e-05,4400.98602,7e-05,8710,Ar II,155043,5/2_1,132327,7/2,95WHA,Y
4426.0008,4e-05,4426.0008,7e-05,1514,Ar II,157673,5/2_1,135086,3/2,95WHA,Y
4475.221376,1e-05,4475.22134,6e-05,2000,Th I,0,2,22338,3_1,RNS13,Y
4482.169161,1e-05,4482.16914,4e-05,2900,Th I,4961,4,27266,4_1,RNS13,Y
4493.333668,6e-06,4493.333662,8e-06,28000,Th I,0,2,22248,2_1,RNS13,Y
4515.118214,8e-06,4515.118206,2e-05,5400,Th I,0,2,22141,3_1,RNS13,Y
4545.915688,2.5e-05,4545.91561,4e-05,2900,Th I,4961,4,26953,5_1,RNS13,Y
4579.827111,1.3e-05,4579.82709,0.00011,890,Th I,4961,4,26790,4_1,RNS13,Y
4589.89757,6e-05,4589.89757,8e-05,25704,Ar II,170401,5/2_1,148620,3/2,95WHA,Y
4609.56692,4e-05,4609.56692,8e-05,2291,Ar II,170530,7/2_1,148842,5/2,95WHA,Y
4657.90092,4e-05,4657.90092,8e-05,1445,Ar II,159707,1/2_1,138244,3/2,95WHA,Y
4673.660936,1.1e-05,4673.660927,1.1e-05,15000,Th I,2869,3,24259,4_1,RNS13,Y
4703.989765,9e-06,4703.989761,9e-06,18000,Th I,0,2,21252,2_1,RNS13,Y
4726.86801,5e-05,4726.86801,8e-05,23442,Ar II,159393,3/2_1,138244,3/2,95WHA,Y
4739.67632,4e-05,4739.6763,7e-05,1600,Th I,7280,2,28372,1_1,RNS13,Y
4766.600437,1.6e-05,4766.60044,3e-05,3100,Th I,3865,1,24838,1_1,RNS13,Y
4778.293874,9e-06,4778.293863,1.4e-05,10000,Th I,0,2,20922,2_1,RNS13,Y
4808.133703,1.2e-05,4808.133698,1.2e-05,12000,Th I,4961,4,25753,5_1,RNS13,Y
4831.121289,9e-06,4831.121282,1.6e-05,7000,Th I,3687,2,24381,2_1,RNS13,Y
4848.362478,1.2e-05,4848.362476,1.9e-05,6000,Th I,3687,2,24307,2_1,RNS13,Y
4878.733006,1e-05,4878.73302,1.7e-05,7200,Th I,2558,0,23049,1_1,RNS13,Y
4894.954925,7e-06,4894.954935,1.2e-05,13000,Th I,0,2,20423,1_1,RNS13,Y
4919.815837,2.2e-05,4919.815835,2.2e-05,5000,Th II,6168,7/2_1,26488,5/2,RNS13,Y
4968.76303,0.00015,4968.7532,0.0025,1600,Th I,13847,2,33967,3_1,Z76,Y
