element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Th,4,2002.34,0.1,,,200.0,,Y
Th,4,2066.7,0.1,,,100.0,,Y
Th,4,2143.91,0.1,,,20.0,,Y
Th,4,2146.81,0.1,,,30.0,,Y
Th,4,2242.11,0.1,,,1.0,,Y
Th,4,2261.26,0.1,,,2.0,,Y
Th,4,2296.81,0.1,,,5.0,,Y
Th,1,2345.372,0.0006,,,69.0,,Y
Th,1,2439.433,0.0006,,,210.0,,Y
Th,1,2483.418,0.0006,,,69.0,,Y
Th,1,2493.25,0.0006,,,140.0,,Y
Th,1,2495.126,0.0006,,,13.0,,Y
Th,1,2500.1421,0.0006,,,13.0,,Y
Th,1,2523.7601,0.0006,,,34.0,,Y
Th,1,2536.54,0.0006,,,34.0,,Y
Th,1,2546.052,0.0006,,,140.0,,Y
Th,1,2563.402,0.0007,,,2.0,,Y
Th,1,2575.5991,0.0007,,,4.0,,Y
Th,1,2577.288,0.0007,,,100.0,,Y
Th,1,2584.8511,0.0007,,,2.0,,Y
Th,1,2585.224,0.0007,,,4.0,,Y
Th,1,2602.29,0.0007,,,5.0,,Y
Th,1,2611.626,0.0007,,,20.0,,Y
Th,1,2615.858,0.0007,,,6.0,,Y
Th,1,2623.1,0.0007,,,140.0,,Y
Th,1,2624.647,0.0007,,,140.0,,Y
Th,1,2627.128,0.0007,,,6.0,,Y
Th,1,2632.854,0.0007,,,27.0,,Y
Th,1,2633.914,0.0007,,,2.0,,Y
Th,1,2640.865,0.0007,,,13.0,,Y
Th,1,2654.762,0.0007,,,5.0,,Y
Th,1,2657.633,0.0007,,,4.0,,Y
Th,1,2664.9961,0.0007,,,11.0,,Y
Th,1,2677.666,0.0007,,,13.0,,Y
Th,1,2685.426,0.0007,,,4.0,,Y
Th,1,2690.3191,0.0007,,,13.0,,Y
Th,1,2691.057,0.0007,,,280.0,,Y
Th,1,2693.425,0.0007,,,69.0,,Y
Th,4,2693.99,0.1,,,100.0,,Y
Th,1,2699.1531,0.0007,,,2.0,,Y
Th,1,2711.288,0.0007,,,6.0,,Y
Th,1,2712.62,0.0007,,,2.0,,Y
Th,1,2713.843,0.0007,,,100.0,,Y
Th,1,2719.333,0.0007,,,20.0,,Y
Th,1,2720.857,0.0007,,,69.0,,Y
Th,1,2724.522,0.0007,,,34.0,,Y
Th,1,2726.317,0.0007,,,280.0,,Y
Th,1,2733.9,0.0007,,,69.0,,Y
Th,1,2734.6611,0.0007,,,55.0,,Y
Th,1,2739.75425,0.00023,,,110.0,,Y
Th,2,2740.47225,0.00017,,,210.0,,Y
Th,2,2743.06356,8e-05,,,1000.0,,Y
Th,1,2743.274,0.0008,,,4.0,,Y
Th,1,2744.376,0.0008,,,27.0,,Y
Th,1,2746.48208,0.00019,,,180.0,,Y
Th,1,2746.7861,0.0008,,,140.0,,Y
Th,1,2748.40841,0.00017,,,200.0,,Y
Th,2,2748.80507,0.00012,,,440.0,,Y
Th,1,2749.351,0.0008,,,69.0,,Y
Th,2,2749.53079,9e-05,,,750.0,,Y
Th,2,2749.71375,0.0001,,,620.0,,Y
Th,2,2750.08049,0.00015,,,280.0,,Y
Th,2,2751.57312,0.00015,,,270.0,,Y
Th,2,2751.75349,0.00023,,,120.0,,Y
Th,2,2752.16655,5e-05,,,2800.0,,Y
Th,1,2754.179,0.0008,,,11.0,,Y
Th,1,2755.336,0.0008,,,100.0,,Y
Th,2,2755.9555,0.00012,,,430.0,,Y
Th,1,2756.912,0.0008,,,4.0,,Y
Th,1,2759.272,0.0008,,,11.0,,Y
Th,2,2759.40805,0.0001,,,590.0,,Y
Th,2,2759.72047,0.00023,,,130.0,,Y
Th,2,2760.39,8e-05,,,980.0,,Y
Th,3,2760.66513,0.00023,,,140.0,,Y
Th,1,2762.45866,0.00018,,,210.0,,Y
Th,2,2763.60538,0.0001,,,640.0,,Y
Th,1,2763.65771,0.00023,,,92.0,,Y
Th,2,2764.63644,9e-05,,,720.0,,Y
Th,2,2765.12338,0.0001,,,640.0,,Y
Th,3,2765.80727,0.00023,,,130.0,,Y
Th,2,2765.88066,0.00023,,,130.0,,Y
Th,1,2766.9881,0.0008,,,70.0,,Y
Th,2,2768.84151,5e-05,,,2300.0,,Y
Th,2,2770.13017,0.00023,,,140.0,,Y
Th,2,2770.81524,7e-05,,,1400.0,,Y
Th,1,2771.25643,0.00023,,,94.0,,Y
Th,2,2771.45966,0.00013,,,390.0,,Y
Th,2,2771.51107,8e-05,,,840.0,,Y
Th,2,2772.00998,0.00023,,,160.0,,Y
Th,1,2772.176,0.0008,,,5.0,,Y
Th,2,2773.01831,0.00023,,,94.0,,Y
Th,2,2773.95129,8e-05,,,830.0,,Y
Th,2,2774.066,0.00016,,,250.0,,Y
Th,2,2774.83752,0.00013,,,350.0,,Y
Th,2,2775.01413,0.00023,,,130.0,,Y
Th,3,2775.04372,0.00015,,,260.0,,Y
Th,1,2775.23608,0.00023,,,110.0,,Y
Th,2,2775.4687,0.00023,,,110.0,,Y
Th,1,2775.488,0.0008,,,140.0,,Y
Th,2,2777.80029,0.00012,,,500.0,,Y
Th,2,2778.021,0.00023,,,110.0,,Y
Th,2,2778.06075,0.00016,,,240.0,,Y
Th,3,2778.17001,0.00023,,,91.0,,Y
Th,2,2778.22637,0.00023,,,120.0,,Y
Th,2,2778.70444,0.0001,,,610.0,,Y
Th,2,2780.40799,0.0001,,,660.0,,Y
Th,2,2780.69983,0.00011,,,580.0,,Y
Th,1,2781.209,0.0008,,,70.0,,Y
Th,2,2782.36461,0.00023,,,140.0,,Y
Th,2,2782.81339,0.00023,,,160.0,,Y
Th,1,2782.871,0.0008,,,140.0,,Y
Th,2,2783.04921,9e-05,,,720.0,,Y
Th,1,2783.17538,0.00019,,,190.0,,Y
Th,2,2783.39706,0.00015,,,280.0,,Y
Th,2,2783.48947,0.00016,,,250.0,,Y
Th,2,2783.9302,0.0003,,,76.0,,Y
Th,2,2784.0601,0.00012,,,430.0,bl,Y
Th,3,2784.34116,0.00016,,,260.0,,Y
Th,2,2784.4966,0.0003,,,79.0,,Y
Th,2,2784.97479,0.00015,,,300.0,,Y
Th,2,2785.54508,0.00023,,,120.0,,Y
Th,2,2785.60827,0.00023,,,130.0,,Y
Th,2,2786.23939,0.00014,,,320.0,,Y
Th,2,2786.68248,0.00016,,,270.0,,Y
Th,2,2786.91195,9e-05,,,800.0,,Y
Th,2,2787.12806,0.0001,,,690.0,,Y
Th,2,2787.66649,0.00013,,,380.0,,Y
Th,1,2787.86224,0.00023,,,140.0,,Y
Th,2,2788.68475,0.00016,,,250.0,,Y
Th,2,2790.42118,0.00014,,,330.0,,Y
Th,2,2791.01251,0.00015,,,300.0,,Y
Th,2,2791.42939,0.00019,,,180.0,,Y
Th,1,2791.49589,0.00023,,,160.0,,Y
Th,2,2791.6774,0.0003,,,86.0,,Y
Th,1,2791.999,0.0008,,,71.0,,Y
Th,2,2792.04922,0.00023,,,97.0,,Y
Th,1,2792.433,0.0008,,,21.0,,Y
Th,2,2793.56891,0.00023,,,110.0,,Y
Th,2,2794.01959,0.00023,,,110.0,,Y
Th,2,2794.25504,0.0001,,,640.0,,Y
Th,1,2795.368,0.0008,,,140.0,,Y
Th,2,2797.02262,0.00014,,,330.0,,Y
Th,2,2797.73624,0.00012,,,460.0,,Y
Th,2,2798.26568,0.00012,,,480.0,bl,Y
Th,1,2798.421,0.0008,,,110.0,,Y
Th,2,2798.50483,0.00024,,,110.0,,Y
Th,2,2799.11386,0.00013,,,410.0,,Y
Th,1,2799.432,0.0008,,,140.0,,Y
Th,2,2800.24961,0.00024,,,130.0,,Y
Th,2,2800.569,0.00013,,,390.0,,Y
Th,1,2801.95572,0.00024,,,120.0,,Y
Th,2,2802.27705,0.00024,,,170.0,,Y
Th,2,2803.37748,0.00024,,,170.0,*,Y
Th,2,2804.20831,0.00024,,,170.0,,Y
Th,1,2804.90914,0.00024,,,140.0,,Y
Th,1,2805.228,0.0008,,,5.0,,Y
Th,2,2807.04769,0.00024,,,130.0,,Y
Th,2,2807.71421,0.00013,,,370.0,,Y
Th,2,2807.82691,9e-05,,,750.0,,Y
Th,1,2808.323,0.0003,,,83.0,,Y
Th,2,2808.86335,0.00024,,,160.0,,Y
Th,2,2808.89279,0.00024,,,140.0,,Y
Th,2,2808.9764,0.00011,,,580.0,,Y
Th,2,2808.99877,0.00011,,,520.0,,Y
Th,1,2810.0021,0.0008,,,140.0,,Y
Th,3,2811.32701,0.00024,,,140.0,,Y
Th,2,2811.4134,0.0003,,,87.0,,Y
Th,2,2812.28043,0.00024,,,120.0,,Y
Th,1,2812.395,0.0008,,,11.0,,Y
Th,2,2812.42562,0.00024,,,100.0,,Y
Th,1,2813.434,0.0008,,,140.0,,Y
Th,2,2814.3189,0.00013,,,390.0,,Y
Th,2,2814.46939,0.00024,,,150.0,,Y
Th,2,2814.57539,0.00011,,,560.0,,Y
Th,2,2816.07,0.00017,,,240.0,,Y
Th,2,2816.9276,0.0003,,,88.0,,Y
Th,2,2817.13492,0.00024,,,120.0,,Y
Th,1,2817.18,0.0008,,,7.0,,Y
Th,1,2818.971,0.0008,,,21.0,,Y
Th,1,2819.0856,0.0002,,,170.0,,Y
Th,2,2819.32269,0.00012,,,450.0,,Y
Th,2,2820.33494,0.00016,,,260.0,,Y
Th,1,2821.07004,0.00024,,,95.0,,Y
Th,2,2821.60441,0.00017,,,250.0,,Y
Th,2,2822.02488,0.0001,,,620.0,,Y
Th,2,2822.18051,0.00018,,,210.0,,Y
Th,2,2822.2748,0.0003,,,77.0,,Y
Th,2,2822.35755,0.00024,,,160.0,,Y
Th,2,2822.40592,0.00024,,,120.0,,Y
