element,sp_num,obs_wl_air(A),unc_obs_wl,intens,Aki(s^-1),Acc,Type,blank
Xe,4,2000.360,0.010,4,,,,
Xe,3,2001.085,0.050,1,,,,
Xe,3,2006.317,0.050,4,,,,
Xe,3,2013.859,0.050,8,,,,
Xe,4,2014.270,0.010,6,,,,
Xe,3,2016.174,0.050,2,,,,
Xe,3,2017.911,0.050,2,,,,
Xe,3,2018.714,0.050,5,,,,
Xe,3,2020.914,0.050,6,,,,
Xe,8,2021.0,0.6,,,,,
Xe,2,2021.14,0.10,1,,,,
Xe,3,2021.304,0.050,2,,,,
Xe,5,2024.350,0.010,2,,,,
Xe,4,2026.060,0.010,11,,,,
Xe,3,2026.062,0.050,10,,,,
Xe,3,2029.023,0.050,8,,,,
Xe,3,2029.216,0.050,9,,,,
Xe,5,2029.750,0.010,8,,,,
Xe,4,2030.810,0.010,1,,,,
Xe,3,2031.996,0.050,8,,,,
Xe,5,2032.560,0.010,6,,,,
Xe,2,2036.16,0.10,0a,,,,
Xe,3,2037.670,0.050,7,,,,
Xe,3,2038.394,0.050,6,,,,
Xe,3,2039.314,0.050,7,,,,
Xe,2,2040.42,0.10,0,,,,
Xe,5,2040.860,0.010,5,,,,
Xe,4,2041.080,0.010,9,,,,
Xe,3,2041.276,0.050,1,,,,
Xe,4,2041.500,0.010,8,,,,
Xe,3,2043.286,0.050,2,,,,
Xe,2,2043.46,0.10,0a,,,,
Xe,3,2044.430,0.050,1,,,,
Xe,4,2046.160,0.010,10,,,,
Xe,3,2046.555,0.050,8,,,,
Xe,4,2050.420,0.010,9,,,,
Xe,3,2051.875,0.050,7,,,,
Xe,3,2052.166,0.050,5,,,,
Xe,3,2052.729,0.050,8,,,,
Xe,2,2053.697,0.010,0,,,,
Xe,4,2054.440,0.010,9,,,,
Xe,3,2055.034,0.050,6,,,,
Xe,6,2055.6,0.6,*,,,,
Xe,6,2055.6,0.6,*,,,,
Xe,3,2060.385,0.050,0,,,,
Xe,4,2060.700,0.010,4,,,,
Xe,3,2060.702,0.050,3,,,,
Xe,4,2063.050,0.010,1*,,,,
Xe,4,2063.050,0.010,1*,,,,
Xe,2,2065.55,0.10,0,,,,
Xe,3,2067.175,0.050,9,,,,
Xe,3,2067.384,0.050,7,,,,
Xe,2,2068.33,0.10,0a,,,,
Xe,2,2069.95,0.10,0,,,,
Xe,3,2072.247,0.050,0,,,,
Xe,3,2072.866,0.050,7,,,,
Xe,3,2075.090,0.050,7,,,,
Xe,2,2076.32,0.10,1,,,,
Xe,3,2077.610,0.050,0,,,,
Xe,3,2079.995,0.050,5,,,,
Xe,4,2081.930,0.010,11,,,,
Xe,3,2083.088,0.050,6,,,,
Xe,3,2084.461,0.050,2,,,,
Xe,3,2084.598,0.050,9,,,,
Xe,4,2084.600,0.010,9,,,,
Xe,4,2086.630,0.010,9*,,,,
Xe,4,2086.630,0.010,9*,,,,
Xe,8,2087.3,0.5,,,,,
Xe,5,2089.120,0.010,1,,,,
Xe,3,2090.225,0.050,7,,,,
Xe,4,2090.470,0.010,7,,,,
Xe,3,2091.996,0.050,9,,,,
Xe,3,2093.862,0.050,5,,,,
Xe,4,2094.040,0.010,1,,,,
Xe,3,2095.126,0.050,6,,,,
Xe,3,2095.350,0.050,3,,,,
Xe,3,2096.570,0.050,9,,,,
Xe,4,2097.780,0.010,6,,,,
Xe,4,2098.400,0.010,12,,,,
Xe,3,2099.545,0.050,0,,,,
Xe,2,2102.84,0.10,0,,,,
Xe,3,2106.534,0.050,1,,,,
Xe,2,2108.24,0.10,0a,,,,
Xe,4,2108.420,0.010,12,,,,
Xe,3,2114.762,0.050,7,,,,
Xe,2,2117.21,0.10,1,,,,
Xe,3,2118.036,0.050,9,,,,
Xe,4,2118.450,0.010,11,,,,
Xe,4,2118.580,0.010,11,,,,
Xe,2,2120.61,0.10,1,,,,
Xe,4,2121.380,0.010,8,,,,
Xe,8,2122.2,0.5,,,,,
Xe,3,2122.205,0.050,2,,,,
Xe,4,2122.500,0.010,9,,,,
Xe,4,2123.050,0.010,9,,,,
Xe,3,2123.163,0.050,4,,,,
Xe,5,2123.690,0.010,8,,,,
Xe,4,2123.820,0.010,6,,,,
Xe,5,2124.250,0.010,4,,,,
Xe,2,2124.73,0.10,2,,,,
Xe,3,2128.473,0.050,1,,,,
Xe,4,2128.480,0.010,1,,,,
Xe,2,2128.73,0.10,1,,,,
Xe,4,2129.960,0.010,1,,,,
Xe,3,2130.809,0.050,3,,,,
Xe,4,2131.710,0.010,5,,,,
Xe,4,2133.340,0.010,10,,,,
Xe,6,2134.9,0.5,,,,,
Xe,3,2138.432,0.050,9,,,,
Xe,2,2138.85,0.10,1,,,,
Xe,5,2138.990,0.010,5,,,,
Xe,3,2139.236,0.050,6,,,,
Xe,3,2139.375,0.050,7*,,,,
Xe,3,2139.375,0.050,7*,,,,
Xe,3,2142.129,0.050,2,,,,
Xe,2,2142.25,0.10,0,,,,
Xe,4,2144.010,0.010,13,,,,
Xe,3,2144.189,0.050,0,,,,
Xe,5,2145.160,0.010,9,,,,
Xe,2,2146.31,0.10,0,,,,
Xe,3,2147.683,0.050,7,,,,
Xe,4,2150.910,0.010,8,,,,
Xe,2,2153.08,0.10,0a,,,,
Xe,4,2153.640,0.010,9,,,,
Xe,4,2154.900,0.010,12,,,,
Xe,8,2154.9,0.6,,,,,
Xe,2,2154.90,0.10,1,,,,
Xe,3,2156.896,0.050,8,,,,
Xe,3,2158.960,0.010,1,,,,
Xe,3,2159.330,0.010,0u,,,,
Xe,3,2160.935,0.050,7,,,,
Xe,3,2165.526,0.050,3*,,,,
Xe,3,2165.526,0.050,3*,,,,
Xe,2,2166.05,0.10,1,,,,
Xe,2,2167.84,0.10,1,,,,
Xe,2,2170.40,0.10,1,,,,
Xe,7,2170.5,0.5,,,,,
Xe,4,2170.990,0.010,3,,,,
Xe,2,2171.64,0.10,2,,,,
Xe,3,2172.779,0.050,9,,,,
Xe,4,2173.820,0.010,9,,,,
Xe,2,2176.23,0.10,2,,,,
Xe,2,2178.25,0.10,0,,,,
Xe,3,2179.684,0.050,7,,,,
Xe,5,2184.690,0.010,8,,,,
Xe,3,2185.017,0.050,3,,,,
Xe,4,2185.260,0.010,10,,,,
Xe,4,2186.410,0.010,11,,,,
Xe,4,2187.090,0.010,11,,,,
Xe,4,2188.140,0.010,9,,,,
Xe,3,2189.828,0.050,12w,,,,
Xe,4,2189.830,0.010,11,,,,
Xe,4,2191.240,0.010,3,,,,
Xe,3,2192.428,0.050,1,,,,
Xe,3,2192.780,0.010,0,,,,
Xe,2,2192.78,0.10,0,,,,
Xe,2,2193.48,0.10,1*,,,,
Xe,2,2193.48,0.10,1*,,,,
Xe,4,2194.120,0.010,4,,,,
Xe,3,2194.292,0.050,1,,,,
Xe,3,2197.801,0.050,10,,,,
Xe,3,2198.583,0.050,1,,,,
Xe,3,2199.287,0.050,6,,,,
Xe,3,2199.514,0.050,6,,,,
Xe,3,2202.695,0.050,7,,,,
Xe,3,2203.682,0.050,0,,,,
Xe,3,2204.200,0.010,2,,,,
Xe,3,2204.333,0.050,5,,,,
Xe,3,2205.510,0.010,2,,,,
Xe,2,2208.24,0.10,3,,,,
Xe,4,2208.560,0.010,7,,,,
Xe,3,2210.420,0.050,9,,,,
Xe,4,2212.080,0.010,3,,,,
Xe,4,2213.130,0.010,9,,,,
Xe,3,2213.799,0.050,0,,,,
Xe,2,2214.37,0.10,3,,,,
Xe,3,2214.382,0.050,9*,,,,
Xe,3,2214.382,0.050,9*,,,,
Xe,2,2215.58,0.10,2,,,,
Xe,4,2219.220,0.010,3,,,,
Xe,4,2220.340,0.010,12,,,,
Xe,3,2220.544,0.050,2,,,,
Xe,2,2222.76,0.10,3,,,,
Xe,3,2223.640,0.050,5,,,,
Xe,2,2224.29,0.10,0*,,,,
Xe,2,2224.29,0.10,0*,,,,
Xe,2,2224.59,0.10,2,,,,
Xe,3,2225.071,0.050,9,,,,
Xe,2,2225.99,0.10,2,,,,
Xe,3,2227.588,0.050,3,,,,
Xe,5,2228.330,0.010,3,,,,
Xe,4,2229.910,0.010,8,,,,
Xe,3,2230.419,0.050,6*,,,,
Xe,3,2230.419,0.050,6*,,,,
Xe,2,2230.79,0.10,1h,,,,
Xe,3,2231.673,0.050,7,,,,
Xe,2,2232.83,0.10,2,,,,
Xe,8,2233.5,0.6,,,,,
Xe,2,2234.99,0.10,1,,,,
Xe,8,2235.1,0.5,,,,,
Xe,3,2235.349,0.050,2,,,,
Xe,2,2235.52,0.10,2,,,,
Xe,2,2239.79,0.10,1,,,,
Xe,4,2240.120,0.010,10,,,,
Xe,4,2240.340,0.010,9,,,,
Xe,2,2241.86,0.10,2h,,,,
Xe,4,2242.150,0.010,8,,,,
Xe,3,2243.970,0.050,11,,,,
Xe,4,2244.500,0.010,10*,,,,
Xe,4,2244.500,0.010,10*,,,,
Xe,3,2245.280,0.050,8,,,,
Xe,2,2245.61,0.10,1,,,,
Xe,4,2246.640,0.010,1,,,,
Xe,2,2247.17,0.10,1,,,,
Xe,3,2247.335,0.050,5,,,,
Xe,3,2247.556,0.050,6,,,,
Xe,2,2248.22,0.10,1,,,,
Xe,3,2249.630,0.050,0,,,,
Xe,2,2249.86,0.10,4,,,,
Xe,2,2254.74,0.10,1,,,,
Xe,2,2256.56,0.10,1h,,,,
Xe,2,2256.82,0.10,2*,,,,
Xe,2,2256.82,0.10,2*,,,,
Xe,3,2258.847,0.050,5,,,,
Xe,2,2259.22,0.10,1h,,,,
Xe,2,2261.33,0.10,0,,,,
Xe,2,2262.95,0.10,2,,,,
Xe,2,2264.20,0.10,2,,,,
Xe,2,2264.99,0.10,3,,,,
Xe,2,2265.62,0.10,3h,,,,
Xe,2,2265.94,0.10,2h,,,,
Xe,2,2266.80,0.10,3h,,,,
Xe,2,2268.72,0.10,1h,,,,
Xe,3,2268.923,0.050,4,,,,
Xe,3,2271.055,0.050,8,,,,
Xe,3,2271.382,0.050,11w,,,,
Xe,3,2272.609,0.050,2,,,,
Xe,2,2273.18,0.10,1,,,,
Xe,2,2273.37,0.10,3,,,,
Xe,3,2273.488,0.050,3,,,,
Xe,3,2273.709,0.050,1,,,,
Xe,4,2274.130,0.010,5,,,,
Xe,3,2274.960,0.010,3u,,,,
Xe,4,2279.760,0.010,1,,,,
Xe,3,2281.130,0.010,2,,,,
Xe,4,2281.220,0.010,7,,,,
Xe,2,2282.60,0.10,0bl,,,,
Xe,2,2283.14,0.10,5,,,,
Xe,3,2283.828,0.050,5,,,,
Xe,4,2283.960,0.010,9,,,,
Xe,2,2285.24,0.10,2h,,,,
Xe,2,2285.94,0.10,8,,,,
Xe,3,2286.634,0.050,7,,,,
Xe,4,2287.130,0.010,5,,,,
Xe,4,2287.910,0.010,9,,,,
Xe,2,2287.92,0.10,2,,,,
Xe,3,2288.009,0.050,2,,,,
Xe,4,2288.900,0.010,12,,,,
Xe,4,2289.960,0.010,9,,,,
Xe,3,2290.834,0.050,12bl,,,,
Xe,2,2290.84,0.10,2h,,,,
Xe,2,2292.01,0.10,2bl,,,,
Xe,2,2292.40,0.10,20,,,,
Xe,2,2294.57,0.10,15,,,,
Xe,2,2296.52,0.10,30,,,,
Xe,3,2298.540,0.050,1,,,,
Xe,2,2299.36,0.10,2h,,,,
Xe,2,2299.98,0.10,6,,,,
Xe,3,2300.353,0.050,9,,,,
Xe,3,2300.716,0.050,9,,,,
Xe,3,2300.876,0.050,9,,,,
Xe,3,2303.735,0.050,9*,,,,
Xe,3,2303.735,0.050,9*,,,,
Xe,2,2304.60,0.10,1h,,,,
Xe,3,2305.502,0.050,5*,,,,
Xe,3,2305.502,0.050,5*,,,,
Xe,4,2306.190,0.010,1,,,,
Xe,4,2306.580,0.010,10,,,,
Xe,2,2307.28,0.10,3,,,,
Xe,2,2308.15,0.10,3,,,,
Xe,4,2308.310,0.010,7,,,,
Xe,3,2309.922,0.050,7,,,,
Xe,5,2311.040,0.010,4,,,,
Xe,4,2311.420,0.010,3,,,,
Xe,4,2311.480,0.010,13,,,,
Xe,3,2312.276,0.050,11,,,,
Xe,3,2313.392,0.050,12,,,,
Xe,2,2313.70,0.10,5,,,,
Xe,2,2314.21,0.10,1bl*,,,,
Xe,2,2314.21,0.10,1bl*,,,,
Xe,4,2314.400,0.010,2,,,,
Xe,7,2314.9,0.5,,,,,
Xe,4,2315.560,0.010,1,,,,
Xe,2,2316.27,0.10,2,,,,
Xe,3,2316.583,0.050,10,,,,
Xe,2,2316.80,0.10,10,,,,
Xe,4,2318.220,0.010,1,,,,
Xe,2,2319.70,0.10,7,,,,
Xe,4,2320.600,0.010,1,,,,
Xe,3,2320.992,0.050,5,,,,
Xe,2,2321.54,0.10,0,,,,
Xe,3,2323.455,0.050,3,,,,
Xe,3,2326.369,0.050,0,,,,
Xe,4,2327.050,0.010,5,,,,
Xe,4,2331.400,0.010,0,,,,
Xe,3,2333.555,0.050,7,,,,
Xe,2,2335.42,0.10,2h,,,,
Xe,4,2338.290,0.010,6,,,,
Xe,3,2338.884,0.050,9,,,,
Xe,3,2339.398,0.050,1,,,,
Xe,4,2340.920,0.010,11,,,,
Xe,2,2342.18,0.10,3h,,,,
Xe,2,2344.47,0.10,12,,,,
Xe,4,2345.280,0.010,6,,,,
Xe,2,2350.10,0.10,0a,,,,
Xe,3,2350.563,0.050,8,,,,
Xe,2,2350.70,0.10,0,,,,
Xe,2,2351.18,0.10,4h,,,,
Xe,4,2351.440,0.010,6,,,,
Xe,2,2351.56,0.10,4h,,,,
Xe,2,2352.06,0.10,1,,,,
Xe,2,2353.52,0.10,1h,,,,
Xe,2,2353.89,0.10,1h,,,,
Xe,3,2353.950,0.010,0*,,,,
Xe,3,2353.950,0.010,0*,,,,
Xe,3,2354.456,0.050,11,,,,
Xe,4,2355.440,0.010,7,,,,
Xe,2,2356.25,0.10,1h,,,,
Xe,2,2356.72,0.10,4h,,,,
Xe,3,2359.159,0.050,0,,,,
Xe,2,2360.42,0.10,1h,,,,
Xe,2,2362.90,0.10,0bl,,,,
Xe,4,2364.130,0.010,4,,,,
Xe,2,2364.13,0.10,0,,,,
Xe,2,2364.63,0.10,0,,,,
Xe,3,2365.416,0.050,14,,,,
Xe,4,2365.550,0.010,4,,,,
Xe,3,2366.115,0.050,12,,,,
Xe,2,2368.68,0.10,5,,,,
Xe,2,2369.03,0.10,0,,,,
Xe,4,2369.380,0.010,1,,,,
Xe,3,2369.595,0.050,18bl,,,,
Xe,2,2369.62,0.10,4h,,,,
Xe,4,2372.470,0.010,6,,,,
Xe,4,2372.860,0.010,3,,,,
Xe,4,2374.150,0.010,3,,,,
Xe,3,2378.714,0.050,0,,,,
Xe,2,2379.11,0.10,0,,,,
Xe,3,2379.783,0.050,3,,,,
Xe,3,2382.087,0.050,11,,,,
Xe,3,2383.247,0.050,13,,,,
Xe,4,2384.370,0.010,2,,,,
Xe,3,2385.673,0.050,11,,,,
Xe,2,2385.85,0.10,1,,,,
Xe,3,2385.902,0.050,8bl,,,,
Xe,2,2386.14,0.10,2h,,,,
Xe,2,2387.75,0.10,4,,,,
Xe,3,2388.573,0.050,11,,,,
Xe,2,2391.10,0.10,2,,,,
Xe,4,2391.960,0.010,4,,,,
Xe,2,2392.33,0.10,2h,,,,
Xe,3,2392.376,0.050,4bl,,,,
Xe,3,2394.083,0.050,10,,,,
Xe,4,2394.310,0.010,5,,,,
Xe,3,2397.566,0.050,8,,,,
Xe,2,2398.76,0.10,4,,,,
Xe,3,2403.792,0.050,9,,,,
Xe,8,2404.6,0.6,,,,,
Xe,2,2404.84,0.10,1,,,,
Xe,2,2405.92,0.10,3h,,,,
Xe,3,2406.000,0.010,0,,,,
Xe,3,2406.229,0.050,1,,,,
Xe,5,2409.590,0.010,11,,,,
Xe,2,2409.74,0.10,40,,,,
Xe,2,2410.72,0.10,7,,,,
Xe,3,2412.505,0.050,6,,,,
Xe,3,2414.104,0.050,2,,,,
Xe,6,2414.2,0.8,,,,,
Xe,3,2414.230,0.050,4,,,,
Xe,3,2414.544,0.050,9,,,,
Xe,4,2415.610,0.010,9,,,,
Xe,3,2416.720,0.010,3*,,,,
Xe,3,2416.720,0.010,3*,,,,
Xe,3,2418.744,0.050,8,,,,
Xe,2,2419.50,0.10,0,,,,
Xe,3,2419.740,0.050,7,,,,
Xe,2,2420.87,0.10,2bl,,,,
Xe,2,2421.27,0.10,20h,,,,
Xe,2,2422.12,0.10,2,,,,
Xe,4,2422.120,0.010,9,,,,
Xe,3,2422.139,0.050,14bl,,,,
Xe,3,2422.767,0.050,9,,,,
Xe,2,2422.94,0.10,10,,,,
Xe,3,2423.918,0.050,3,,,,
Xe,2,2425.05,0.10,40h,,,,
Xe,4,2428.970,0.010,10,,,,
Xe,4,2431.070,0.010,6,,,,
Xe,2,2432.72,0.10,12,,,,
Xe,4,2433.590,0.010,9,,,,
Xe,2,2435.47,0.10,6,,,,
Xe,5,2435.820,0.010,2,,,,
Xe,3,2436.491,0.050,12,,,,
Xe,4,2438.080,0.010,2,,,,
Xe,2,2438.76,0.10,1-,,,,
Xe,3,2439.516,0.050,6w,,,,
Xe,5,2441.490,0.010,14bl,,,,
Xe,3,2441.523,0.050,11,,,,
Xe,2,2441.60,0.10,2h,,,,
Xe,5,2441.860,0.010,15,,,,
Xe,2,2442.54,0.10,1,,,,
Xe,2,2442.78,0.10,1H,,,,
Xe,5,2443.370,0.010,10,,,,
Xe,4,2446.080,0.010,8,,,,
Xe,3,2446.503,0.050,8,,,,
Xe,2,2446.79,0.10,0,,,,
Xe,3,2447.083,0.050,10,,,,
Xe,4,2447.640,0.010,9*,,,,
Xe,4,2447.640,0.010,9*,,,,
Xe,8,2448.9,0.6,,,,,
Xe,4,2450.900,0.010,8,,,,
Xe,4,2451.370,0.010,9,,,,
Xe,3,2452.644,0.050,11,,,,
Xe,4,2459.750,0.010,3,,,,
Xe,4,2462.660,0.010,5,,,,
Xe,3,2463.061,0.050,10,,,,
Xe,3,2463.557,0.050,10,,,,
Xe,3,2464.555,0.050,2,,,,
Xe,4,2465.750,0.010,5,,,,
Xe,2,2466.60,0.10,2h,,,,
Xe,8,2467.6,0.5,,,,,
Xe,3,2468.393,0.050,7bl,,,,
Xe,2,2468.43,0.10,5,,,,
Xe,2,2470.18,0.10,5,,,,
Xe,4,2470.740,0.010,3,,,,
Xe,3,2471.319,0.050,10,,,,
Xe,3,2472.377,0.050,7,,,,
Xe,5,2473.110,0.010,12,,,,
Xe,4,2474.820,0.010,9,,,,
Xe,2,2475.89,0.10,100,,,,
Xe,3,2477.062,0.050,0,,,,
Xe,2,2478.82,0.10,4,,,,
Xe,3,2479.130,0.050,7,,,,
Xe,2,2479.40,0.10,1,,,,
Xe,3,2479.876,0.050,8,,,,
Xe,3,2483.464,0.050,6,,,,
Xe,3,2485.006,0.050,7,,,,
Xe,5,2485.410,0.010,9,,,,
Xe,3,2486.727,0.050,9,,,,
Xe,8,2487.8,0.6,,,,,
Xe,2,2489.11,0.10,50,,,,
Xe,2,2490.76,0.10,20,,,,
Xe,2,2491.78,0.10,5,,,,
Xe,4,2493.050,0.010,9,,,,
Xe,4,2495.100,0.010,11,,,,
Xe,4,2497.020,0.010,6,,,,
Xe,4,2498.060,0.010,2,,,,
Xe,3,2501.037,0.050,12,,,,
Xe,4,2503.930,0.010,6,,,,
Xe,3,2504.907,0.050,11,,,,
Xe,4,2505.330,0.010,3,,,,
Xe,3,2509.74,0.05,4,,,,
Xe,2,2509.98,0.10,0,,,,
Xe,3,2510.52,0.05,3,,,,
Xe,3,2511.288,0.050,1,,,,
Xe,3,2513.337,0.050,1,,,,
Xe,5,2513.880,0.010,5,,,,
Xe,3,2514.09,0.05,0h,,,,
Xe,4,2514.690,0.010,6,,,,
