element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Xe,4,2000.36,0.01,,,4.0,,N
Xe,3,2001.085,0.05,,,1.0,,N
Xe,3,2006.317,0.05,,,4.0,,N
Xe,3,2013.859,0.05,,,8.0,,N
Xe,4,2014.27,0.01,,,6.0,,N
Xe,3,2016.174,0.05,,,2.0,,N
Xe,3,2017.911,0.05,,,2.0,,N
Xe,3,2018.714,0.05,,,5.0,,N
Xe,3,2020.914,0.05,,,6.0,,N
Xe,8,2021.0,0.6,,,-99.0,--,N
Xe,2,2021.14,0.1,,,1.0,,N
Xe,3,2021.304,0.05,,,2.0,,N
Xe,5,2024.35,0.01,,,2.0,,N
Xe,4,2026.06,0.01,,,11.0,,N
Xe,3,2026.062,0.05,,,10.0,,N
Xe,3,2029.023,0.05,,,8.0,,N
Xe,3,2029.216,0.05,,,9.0,,N
Xe,5,2029.75,0.01,,,8.0,,N
Xe,4,2030.81,0.01,,,1.0,,N
Xe,3,2031.996,0.05,,,8.0,,N
Xe,5,2032.56,0.01,,,6.0,,N
Xe,2,2036.16,0.1,,,0.0,a,N
Xe,3,2037.67,0.05,,,7.0,,N
Xe,3,2038.394,0.05,,,6.0,,N
Xe,3,2039.314,0.05,,,7.0,,N
Xe,2,2040.42,0.1,,,0.0,,N
Xe,5,2040.86,0.01,,,5.0,,N
Xe,4,2041.08,0.01,,,9.0,,N
Xe,3,2041.276,0.05,,,1.0,,N
Xe,4,2041.5,0.01,,,8.0,,N
Xe,3,2043.286,0.05,,,2.0,,N
Xe,2,2043.46,0.1,,,0.0,a,N
Xe,3,2044.43,0.05,,,1.0,,N
Xe,4,2046.16,0.01,,,10.0,,N
Xe,3,2046.555,0.05,,,8.0,,N
Xe,4,2050.42,0.01,,,9.0,,N
Xe,3,2051.875,0.05,,,7.0,,N
Xe,3,2052.166,0.05,,,5.0,,N
Xe,3,2052.729,0.05,,,8.0,,N
Xe,2,2053.697,0.01,,,0.0,,N
Xe,4,2054.44,0.01,,,9.0,,N
Xe,3,2055.034,0.05,,,6.0,,N
Xe,6,2055.6,0.6,,,-99.0,*,N
Xe,6,2055.6,0.6,,,-99.0,*,N
Xe,3,2060.385,0.05,,,0.0,,N
Xe,4,2060.7,0.01,,,4.0,,N
Xe,3,2060.702,0.05,,,3.0,,N
Xe,4,2063.05,0.01,,,1.0,*,N
Xe,4,2063.05,0.01,,,1.0,*,N
Xe,2,2065.55,0.1,,,0.0,,N
Xe,3,2067.175,0.05,,,9.0,,N
Xe,3,2067.384,0.05,,,7.0,,N
Xe,2,2068.33,0.1,,,0.0,a,N
Xe,2,2069.95,0.1,,,0.0,,N
Xe,3,2072.247,0.05,,,0.0,,N
Xe,3,2072.866,0.05,,,7.0,,N
Xe,3,2075.09,0.05,,,7.0,,N
Xe,2,2076.32,0.1,,,1.0,,N
Xe,3,2077.61,0.05,,,0.0,,N
Xe,3,2079.995,0.05,,,5.0,,N
Xe,4,2081.93,0.01,,,11.0,,N
Xe,3,2083.088,0.05,,,6.0,,N
Xe,3,2084.461,0.05,,,2.0,,N
Xe,3,2084.598,0.05,,,9.0,,N
Xe,4,2084.6,0.01,,,9.0,,N
Xe,4,2086.63,0.01,,,9.0,*,N
Xe,4,2086.63,0.01,,,9.0,*,N
Xe,8,2087.3,0.5,,,-99.0,--,N
Xe,5,2089.12,0.01,,,1.0,,N
Xe,3,2090.225,0.05,,,7.0,,N
Xe,4,2090.47,0.01,,,7.0,,N
Xe,3,2091.996,0.05,,,9.0,,N
Xe,3,2093.862,0.05,,,5.0,,N
Xe,4,2094.04,0.01,,,1.0,,N
Xe,3,2095.126,0.05,,,6.0,,N
Xe,3,2095.35,0.05,,,3.0,,N
Xe,3,2096.57,0.05,,,9.0,,N
Xe,4,2097.78,0.01,,,6.0,,N
Xe,4,2098.4,0.01,,,12.0,,N
Xe,3,2099.545,0.05,,,0.0,,N
Xe,2,2102.84,0.1,,,0.0,,N
Xe,3,2106.534,0.05,,,1.0,,N
Xe,2,2108.24,0.1,,,0.0,a,N
Xe,4,2108.42,0.01,,,12.0,,N
Xe,3,2114.762,0.05,,,7.0,,N
Xe,2,2117.21,0.1,,,1.0,,N
Xe,3,2118.036,0.05,,,9.0,,N
Xe,4,2118.45,0.01,,,11.0,,N
Xe,4,2118.58,0.01,,,11.0,,N
Xe,2,2120.61,0.1,,,1.0,,N
Xe,4,2121.38,0.01,,,8.0,,N
Xe,8,2122.2,0.5,,,-99.0,--,N
Xe,3,2122.205,0.05,,,2.0,,N
Xe,4,2122.5,0.01,,,9.0,,N
Xe,4,2123.05,0.01,,,9.0,,N
Xe,3,2123.163,0.05,,,4.0,,N
Xe,5,2123.69,0.01,,,8.0,,N
Xe,4,2123.82,0.01,,,6.0,,N
Xe,5,2124.25,0.01,,,4.0,,N
Xe,2,2124.73,0.1,,,2.0,,N
Xe,3,2128.473,0.05,,,1.0,,N
Xe,4,2128.48,0.01,,,1.0,,N
Xe,2,2128.73,0.1,,,1.0,,N
Xe,4,2129.96,0.01,,,1.0,,N
Xe,3,2130.809,0.05,,,3.0,,N
Xe,4,2131.71,0.01,,,5.0,,N
Xe,4,2133.34,0.01,,,10.0,,N
Xe,6,2134.9,0.5,,,-99.0,--,N
Xe,3,2138.432,0.05,,,9.0,,N
Xe,2,2138.85,0.1,,,1.0,,N
Xe,5,2138.99,0.01,,,5.0,,N
Xe,3,2139.236,0.05,,,6.0,,N
Xe,3,2139.375,0.05,,,7.0,*,N
Xe,3,2139.375,0.05,,,7.0,*,N
Xe,3,2142.129,0.05,,,2.0,,N
Xe,2,2142.25,0.1,,,0.0,,N
Xe,4,2144.01,0.01,,,13.0,,N
Xe,3,2144.189,0.05,,,0.0,,N
Xe,5,2145.16,0.01,,,9.0,,N
Xe,2,2146.31,0.1,,,0.0,,N
Xe,3,2147.683,0.05,,,7.0,,N
Xe,4,2150.91,0.01,,,8.0,,N
Xe,2,2153.08,0.1,,,0.0,a,N
Xe,4,2153.64,0.01,,,9.0,,N
Xe,4,2154.9,0.01,,,12.0,,N
Xe,8,2154.9,0.6,,,-99.0,--,N
