Row,Name,Intensity,Wavelength Ang,Stage,Comment
848,Argon,3,336.56,V,yes
849,Argon,3,337.56,V,yes
850,Argon,6,338.00,V,yes
851,Argon,2,338.43,V,yes
852,Argon,2,339.01,V,yes
853,Argon,3,339.89,V,yes
854,Argon,3,350.88,V,yes
855,Argon,4,396.87,IV,yes
856,Argon,4,398.55,IV,yes
857,Argon,2,436.67,V,yes
858,Argon,5,446.00,V,yes
859,Argon,8,446.95,V,yes
860,Argon,4,447.53,V,yes
861,Argon,18,449.06,V,yes
862,Argon,4,449.49,V,yes
863,Argon,3,458.12,V,yes
864,Argon,2,458.98,V,yes
865,Argon,6,461.23,V,yes
866,Argon,3,462.42,V,yes
867,Argon,7,463.94,V,yes
868,Argon,30,487.227,II,yes
869,Argon,50,490.650,II,yes
870,Argon,30,490.701,II,yes
871,Argon,30,519.327,II,yes
872,Argon,3,522.09,V,yes
873,Argon,5,524.19,V,yes
874,Argon,6,527.69,V,yes
875,Argon,30,542.912,II,yes
876,Argon,200,543.203,II,yes
877,Argon,70,547.461,II,yes
878,Argon,2,554.50,V,yes
879,Argon,70,556.817,II,yes
880,Argon,5,558.48,V,yes
881,Argon,70,573.362,II,yes
882,Argon,30,576.736,II,yes
883,Argon,70,580.263,II,yes
884,Argon,30,583.437,II,yes
885,Argon,70,597.700,II,yes
886,Argon,30,602.858,II,yes
887,Argon,30,612.372,II,yes
888,Argon,6,623.77,IV,yes
889,Argon,3,635.12,V,yes
890,Argon,500,661.867,II,yes
891,Argon,30,664.562,II,yes
892,Argon,200,666.011,II,yes
893,Argon,1000,670.946,II,yes
894,Argon,3000,671.851,II,yes
895,Argon,70,676.242,II,yes
896,Argon,30,677.952,II,yes
897,Argon,30,679.218,II,yes
898,Argon,200,679.401,II,yes
899,Argon,10,683.28,IV,yes
900,Argon,7,688.39,IV,yes
901,Argon,12,689.01,IV,yes
902,Argon,6,699.41,IV,yes
903,Argon,8,700.28,IV,yes
904,Argon,3,705.35,V,yes
905,Argon,5,709.20,V,yes
906,Argon,4,715.60,V,yes
907,Argon,3,715.65,V,yes
908,Argon,200,718.090,II,yes
909,Argon,3000,723.361,II,yes
910,Argon,2,725.11,V,yes
911,Argon,500,725.548,II,yes
912,Argon,70,730.930,II,yes
913,Argon,200,740.269,II,yes
914,Argon,200,744.925,II,yes
915,Argon,70,745.322,II,yes
916,Argon,4,754.20,IV,yes
917,Argon,5,761.47,IV,yes
918,Argon,12,769.15,III,yes
919,Argon,5,800.57,IV,yes
920,Argon,10,801.09,IV,yes
921,Argon,10,801.41,IV,yes
922,Argon,5,801.91,IV,yes
