Row,Name,Intensity,Wavelength Ang,Stage,Comment
14364,Helium,15,231.454,II,yes
14365,Helium,20,232.584,II,yes
14366,Helium,30,234.347,II,yes
14367,Helium,50,237.331,II,yes
14368,Helium,100,243.027,II,yes
14369,Helium,300,256.317,II,yes
14370,Helium,1000,303.780,II,yes
14371,Helium,500,303.786,II,yes
14372,Helium,10,320.293,I,yes
14373,Helium,2,505.500,I,yes
14374,Helium,3,505.684,I,yes
14375,Helium,4,505.912,I,yes
14376,Helium,5,506.200,I,yes
14377,Helium,7,506.570,I,yes
14378,Helium,10,507.058,I,yes
14379,Helium,15,507.718,I,yes
14380,Helium,20,508.643,I,yes
14381,Helium,25,509.998,I,yes
14382,Helium,35,512.098,I,yes
14383,Helium,50,515.616,I,yes
14384,Helium,100,522.213,I,yes
14385,Helium,400,537.030,I,yes
14386,Helium,1000,584.334,I,yes
14387,Helium,50,591.412,I,yes
14388,Helium,5,958.70,II,yes
14389,Helium,6,972.11,II,yes
14390,Helium,8,992.36,II,yes
14391,Helium,15,1025.27,II,yes
14392,Helium,30,1084.94,II,yes
14393,Helium,35,1215.09,II,yes
14394,Helium,50,1215.17,II,yes
14395,Helium,120,1640.34,II,yes
14396,Helium,180,1640.47,II,yes
14397,Helium,7,2385.40,II,yes
14398,Helium,9,2511.20,II,yes
14399,Helium,50,2577.6,I,yes
14400,Helium,1,2723.19,I,yes
14401,Helium,12,2733.30,II,yes
14402,Helium,2,2763.80,I,yes
14403,Helium,10,2818.2,I,yes
14404,Helium,4,2829.08,I,yes
14405,Helium,10,2945.11,I,yes
14406,Helium,40,3013.7,I,yes
14407,Helium,20,3187.74,I,yes
14408,Helium,3,3202.96,II,yes
14409,Helium,15,3203.10,II,yes
14410,Helium,1,3354.55,I,yes
14411,Helium,2,3447.59,I,yes
14412,Helium,1,3587.27,I,yes
14413,Helium,3,3613.64,I,yes
14414,Helium,2,3634.23,I,yes
14415,Helium,3,3705.00,I,yes
14416,Helium,1,3732.86,I,yes
14417,Helium,10,3819.607,I,yes
14418,Helium,1,3819.76,I,yes
14419,Helium,500,3888.65,I,yes
14420,Helium,20,3964.729,I,yes
14421,Helium,1,4009.27,I,yes
14422,Helium,50,4026.191,I,yes
14423,Helium,5,4026.36,I,yes
14424,Helium,12,4120.82,I,yes
14425,Helium,2,4120.99,I,yes
14426,Helium,3,4143.76,I,yes
14427,Helium,10,4387.929,I,yes
14428,Helium,3,4437.55,I,yes
14429,Helium,200,4471.479,I,yes
14430,Helium,25,4471.68,I,yes
14431,Helium,6,4685.4,II,yes
14432,Helium,30,4685.7,II,yes
14433,Helium,30,4713.146,I,yes
14434,Helium,4,4713.38,I,yes
14435,Helium,20,4921.931,I,yes
14436,Helium,100,5015.678,I,yes
14437,Helium,10,5047.74,I,yes
14438,Helium,5,5411.52,II,yes
14439,Helium,500,5875.62,I,yes
14440,Helium,100,5875.97,I,yes
14441,Helium,8,6560.10,II,yes
14442,Helium,100,6678.15,I,yes
14443,Helium,3,6867.48,I,yes
14444,Helium,200,7065.19,I,yes
14445,Helium,30,7065.71,I,yes
14446,Helium,50,7281.35,I,yes
14447,Helium,1,7816.15,I,yes
14448,Helium,2,8361.69,I,yes
14449,Helium,2,9063.27,I,yes
14450,Helium,2,9210.34,I,yes
14451,Helium,10,9463.61,I,yes
14452,Helium,4,9516.60,I,yes
14453,Helium,3,9526.17,I,yes
14454,Helium,1,9529.27,I,yes
14455,Helium,1,9603.42,I,yes
14456,Helium,3,9702.60,I,yes
14457,Helium,6,10027.73,I,yes
14458,Helium,2,10031.16,I,yes
14459,Helium,15,10123.6,II,yes
14460,Helium,1,10138.50,I,yes
14461,Helium,10,10311.23,I,yes
14462,Helium,2,10311.54,I,yes
14463,Helium,3,10667.65,I,yes
14464,Helium,300,10829.09,I,yes
14465,Helium,1000,10830.25,I,yes
14466,Helium,2000,10830.34,I,yes
14467,Helium,9,10913.05,I,yes
14468,Helium,3,10917.10,I,yes
14469,Helium,4,11626.4,II,yes
14470,Helium,30,11969.12,I,yes
14471,Helium,20,12527.52,I,yes
14472,Helium,50,12784.99,I,yes
14473,Helium,20,12790.57,I,yes
14474,Helium,7,12845.96,I,yes
14475,Helium,10,12968.45,I,yes
14476,Helium,2,12984.89,I,yes
14477,Helium,12,15083.64,I,yes
14478,Helium,200,17002.47,I,yes
14479,Helium,1,18555.55,I,yes
14480,Helium,6,18636.8,II,yes
14481,Helium,500,18685.34,I,yes
14482,Helium,200,18697.23,I,yes
14483,Helium,100,19089.38,I,yes
14484,Helium,20,19543.08,I,yes
14485,Helium,1000,20581.30,I,yes
14486,Helium,80,21120.07,I,yes
14487,Helium,10,21121.43,I,yes
14488,Helium,20,21132.03,I,yes
14489,Helium,3,30908.5,II,yes
14490,Helium,4,40478.90,I,yes
