Row,Name,Intensity,Wavelength Ang,Stage,Comment
21266,Mercury,3,621.44,III,yes
21267,Mercury,2,679.68,III,yes
21268,Mercury,2,878.59,III,yes
21269,Mercury,1,886.48,III,yes
21270,Mercury,400,893.08,II,yes
21271,Mercury,300,915.83,II,yes
21272,Mercury,150,923.39,II,yes
21273,Mercury,200,940.80,II,yes
21274,Mercury,100,962.74,II,yes
21275,Mercury,50,969.13,II,yes
21276,Mercury,1,988.89,III,yes
21277,Mercury,2,1009.29,III,yes
21278,Mercury,5,1068.03,III,yes
21279,Mercury,800,1099.26,II,yes
21280,Mercury,2,1161.95,III,yes
21281,Mercury,80,1250.564,I,yes
21282,Mercury,80,1250.58,I,yes
21283,Mercury,8,1259.24,I,yes
21284,Mercury,8,1259.242,I,yes
21285,Mercury,100,1268.82,I,yes
21286,Mercury,100,1268.825,I,yes
21287,Mercury,5,1307.75,I,yes
21288,Mercury,5,1307.751,I,yes
21289,Mercury,300,1307.93,II,yes
21290,Mercury,400,1321.71,II,yes
21291,Mercury,400,1331.74,II,yes
21292,Mercury,80,1350.07,II,yes
21293,Mercury,200,1361.27,II,yes
21294,Mercury,20,1402.619,I,yes
21295,Mercury,20,1402.62,I,yes
21296,Mercury,200,1414.43,II,yes
21297,Mercury,10,1435.503,I,yes
21298,Mercury,10,1435.51,I,yes
21299,Mercury,15,1619.46,II,yes
21300,Mercury,120,1623.95,II,yes
21301,Mercury,20,1628.25,II,yes
21302,Mercury,150,1649.94,II,yes
21303,Mercury,50,1653.64,II,yes
21304,Mercury,200,1672.41,II,yes
21305,Mercury,9,1681.40,III,yes
21306,Mercury,100,1702.73,II,yes
21307,Mercury,100,1707.40,II,yes
21308,Mercury,120,1727.18,II,yes
21309,Mercury,250,1732.14,II,yes
21310,Mercury,15,1759.75,III,yes
21311,Mercury,20,1775.68,I,yes
21312,Mercury,40,1783.70,II,yes
21313,Mercury,30,1796.22,II,yes
21314,Mercury,200,1796.90,II,yes
21315,Mercury,60,1798.74,II,yes
21316,Mercury,30,1803.89,II,yes
21317,Mercury,40,1808.29,II,yes
21318,Mercury,400,1820.34,II,yes
21319,Mercury,5,1832.74,I,yes
21320,Mercury,1000,1849.492,I,yes
21321,Mercury,1000,1849.50,I,yes
21322,Mercury,160,1869.23,II,yes
21323,Mercury,300,1870.55,II,yes
21324,Mercury,200,1875.54,II,yes
21325,Mercury,1,1894.77,III,yes
21326,Mercury,20,1900.28,II,yes
21327,Mercury,30,1927.60,II,yes
21328,Mercury,300,1942.27,II,yes
21329,Mercury,100,1972.94,II,yes
21330,Mercury,200,1973.89,II,yes
21331,Mercury,150,1987.98,II,yes
21332,Mercury,90,2026.97,II,yes
21333,Mercury,90,2052.93,II,yes
21334,Mercury,70,2148.00,II,yes
21335,Mercury,5,2247.55,I,yes
21336,Mercury,60,2262.210,II,yes
21337,Mercury,60,2262.23,II,yes
21338,Mercury,20,2302.06,I,yes
21339,Mercury,20,2302.065,I,yes
21340,Mercury,7,2314.15,III,yes
21341,Mercury,15,2323.20,I,yes
21342,Mercury,5,2340.57,I,yes
21343,Mercury,20,2345.43,I,yes
21344,Mercury,20,2345.440,I,yes
21345,Mercury,20,2352.48,I,yes
21346,Mercury,100,2378.32,I,yes
21347,Mercury,100,2378.325,I,yes
21348,Mercury,20,2380.00,I,yes
21349,Mercury,20,2380.004,I,yes
21350,Mercury,4,2380.55,III,yes
21351,Mercury,40,2399.349,I,yes
21352,Mercury,40,2399.38,I,yes
21353,Mercury,20,2399.729,I,yes
21354,Mercury,20,2399.73,I,yes
21355,Mercury,10,2400.49,I,yes
21356,Mercury,60,2407.35,II,yes
21357,Mercury,50,2414.13,II,yes
21358,Mercury,8,2431.65,III,yes
21359,Mercury,5,2441.06,I,yes
21360,Mercury,20,2446.90,I,yes
21361,Mercury,20,2446.900,I,yes
21362,Mercury,15,2464.06,I,yes
21363,Mercury,15,2464.064,I,yes
21364,Mercury,5,2480.56,III,yes
21365,Mercury,40,2481.999,I,yes
21366,Mercury,40,2482.00,I,yes
21367,Mercury,30,2482.713,I,yes
21368,Mercury,30,2482.72,I,yes
21369,Mercury,40,2483.82,I,yes
21370,Mercury,40,2483.821,I,yes
21371,Mercury,7,2484.50,III,yes
21372,Mercury,90,2534.769,I,yes
21373,Mercury,90,2534.77,I,yes
21374,Mercury,15000,2536.506,I,yes
21375,Mercury,15000,2536.52,I,yes
21376,Mercury,25,2563.86,I,yes
21377,Mercury,25,2563.861,I,yes
21378,Mercury,25,2576.29,I,yes
21379,Mercury,25,2576.290,I,yes
21380,Mercury,5,2578.91,I,yes
21381,Mercury,2,2612.92,III,yes
21382,Mercury,4,2617.97,III,yes
21383,Mercury,15,2625.19,I,yes
21384,Mercury,5,2639.78,I,yes
21385,Mercury,250,2652.04,I,yes
21386,Mercury,250,2652.043,I,yes
21387,Mercury,400,2653.683,I,yes
21388,Mercury,400,2653.69,I,yes
21389,Mercury,100,2655.13,I,yes
21390,Mercury,100,2655.130,I,yes
21391,Mercury,3,2670.49,III,yes
21392,Mercury,5,2674.91,I,yes
21393,Mercury,50,2698.83,I,yes
21394,Mercury,50,2698.831,I,yes
21395,Mercury,50,2699.38,I,yes
21396,Mercury,80,2705.36,II,yes
21397,Mercury,70,2724.43,III,yes
21398,Mercury,80,2752.78,I,yes
21399,Mercury,80,2752.783,I,yes
21400,Mercury,20,2759.71,I,yes
21401,Mercury,20,2759.710,I,yes
21402,Mercury,6,2769.22,III,yes
21403,Mercury,40,2803.46,I,yes
21404,Mercury,40,2803.471,I,yes
21405,Mercury,30,2804.43,I,yes
21406,Mercury,30,2804.438,I,yes
21407,Mercury,2,2805.34,I,yes
21408,Mercury,2,2806.77,I,yes
21409,Mercury,150,2814.93,II,yes
21410,Mercury,3,2844.76,III,yes
21411,Mercury,750,2847.675,II,yes
21412,Mercury,750,2847.68,II,yes
21413,Mercury,50,2856.939,I,yes
21414,Mercury,50,2856.94,I,yes
21415,Mercury,150,2893.598,I,yes
21416,Mercury,150,2893.60,I,yes
21417,Mercury,150,2916.227,II,yes
21418,Mercury,150,2916.27,II,yes
21419,Mercury,60,2925.41,I,yes
21420,Mercury,60,2925.413,I,yes
21421,Mercury,150,2935.94,II,yes
21422,Mercury,400,2947.08,II,yes
21423,Mercury,1200,2967.28,I,yes
21424,Mercury,1200,2967.283,I,yes
21425,Mercury,300,3021.50,I,yes
21426,Mercury,300,3021.500,I,yes
21427,Mercury,120,3023.47,I,yes
21428,Mercury,120,3023.476,I,yes
21429,Mercury,30,3025.608,I,yes
21430,Mercury,30,3025.61,I,yes
21431,Mercury,50,3027.49,I,yes
21432,Mercury,50,3027.490,I,yes
21433,Mercury,15,3090.05,III,yes
21434,Mercury,400,3125.67,I,yes
21435,Mercury,400,3125.670,I,yes
21436,Mercury,320,3131.55,I,yes
21437,Mercury,320,3131.551,I,yes
21438,Mercury,320,3131.84,I,yes
21439,Mercury,320,3131.842,I,yes
21440,Mercury,400,3208.20,II,yes
21441,Mercury,400,3264.06,II,yes
21442,Mercury,5,3283.02,III,yes
21443,Mercury,12,3312.28,III,yes
21444,Mercury,80,3341.48,I,yes
21445,Mercury,80,3341.481,I,yes
21446,Mercury,100,3385.25,II,yes
21447,Mercury,8,3389.01,III,yes
21448,Mercury,5,3450.77,III,yes
21449,Mercury,400,3451.69,II,yes
21450,Mercury,3,3500.35,III,yes
21451,Mercury,4,3538.88,III,yes
21452,Mercury,200,3549.42,II,yes
21453,Mercury,5,3557.24,III,yes
21454,Mercury,2800,3650.15,I,yes
21455,Mercury,2800,3650.157,I,yes
21456,Mercury,300,3654.839,I,yes
21457,Mercury,300,3654.84,I,yes
21458,Mercury,80,3662.88,I,yes
21459,Mercury,80,3662.883,I,yes
21460,Mercury,240,3663.28,I,yes
21461,Mercury,240,3663.281,I,yes
21462,Mercury,30,3701.432,I,yes
21463,Mercury,30,3701.44,I,yes
21464,Mercury,35,3704.17,I,yes
21465,Mercury,35,3704.170,I,yes
21466,Mercury,30,3801.66,I,yes
21467,Mercury,30,3801.660,I,yes
21468,Mercury,15,3803.51,III,yes
21469,Mercury,100,3806.38,II,yes
21470,Mercury,20,3901.867,I,yes
21471,Mercury,20,3901.87,I,yes
21472,Mercury,60,3906.37,I,yes
21473,Mercury,60,3906.372,I,yes
21474,Mercury,100,3918.92,II,yes
21475,Mercury,200,3983.839,II,yes
21476,Mercury,200,3983.96,II,yes
21477,Mercury,1800,4046.56,I,yes
21478,Mercury,1800,4046.572,I,yes
21479,Mercury,150,4077.83,I,yes
21480,Mercury,150,4077.838,I,yes
21481,Mercury,40,4108.05,I,yes
21482,Mercury,40,4108.057,I,yes
21483,Mercury,70,4122.07,III,yes
21484,Mercury,10,4140.34,III,yes
21485,Mercury,100,4216.74,III,yes
21486,Mercury,250,4339.22,I,yes
21487,Mercury,250,4339.224,I,yes
21488,Mercury,400,4347.49,I,yes
21489,Mercury,400,4347.496,I,yes
21490,Mercury,4000,4358.33,I,yes
21491,Mercury,4000,4358.337,I,yes
21492,Mercury,100,4398.62,II,yes
21493,Mercury,15,4470.58,III,yes
21494,Mercury,12,4552.84,III,yes
21495,Mercury,90,4660.28,II,yes
21496,Mercury,50,4797.01,III,yes
21497,Mercury,80,4855.72,II,yes
21498,Mercury,10,4869.85,III,yes
21499,Mercury,5,4883.00,I,yes
21500,Mercury,5,4889.91,I,yes
21501,Mercury,80,4916.068,I,yes
21502,Mercury,80,4916.07,I,yes
21503,Mercury,5,4970.37,I,yes
21504,Mercury,80,4973.57,III,yes
21505,Mercury,5,4980.64,I,yes
21506,Mercury,20,5102.70,I,yes
21507,Mercury,40,5120.64,I,yes
21508,Mercury,100,5128.45,II,yes
21509,Mercury,20,5137.94,I,yes
21510,Mercury,30,5210.82,III,yes
21511,Mercury,20,5290.74,I,yes
21512,Mercury,5,5316.78,I,yes
21513,Mercury,60,5354.05,I,yes
21514,Mercury,30,5384.63,I,yes
21515,Mercury,1100,5460.74,I,yes
21516,Mercury,1100,5460.753,I,yes
21517,Mercury,30,5549.63,I,yes
21518,Mercury,160,5675.86,I,yes
21519,Mercury,160,5675.922,I,yes
21520,Mercury,6,5695.71,III,yes
21521,Mercury,240,5769.598,I,yes
21522,Mercury,240,5769.60,I,yes
21523,Mercury,100,5789.66,I,yes
21524,Mercury,280,5790.66,I,yes
21525,Mercury,280,5790.663,I,yes
21526,Mercury,140,5803.78,I,yes
21527,Mercury,60,5859.25,I,yes
21528,Mercury,60,5871.73,II,yes
21529,Mercury,20,5871.98,I,yes
21530,Mercury,20,6072.713,I,yes
21531,Mercury,20,6072.72,I,yes
21532,Mercury,1000,6149.50,II,yes
21533,Mercury,25,6220.35,III,yes
21534,Mercury,30,6234.40,I,yes
21535,Mercury,30,6234.402,I,yes
21536,Mercury,35,6418.98,III,yes
21537,Mercury,40,6501.38,III,yes
21538,Mercury,80,6521.13,II,yes
21539,Mercury,10,6584.26,III,yes
21540,Mercury,6,6610.12,III,yes
21541,Mercury,30,6709.29,III,yes
21542,Mercury,160,6716.429,I,yes
21543,Mercury,160,6716.43,I,yes
21544,Mercury,250,6907.461,I,yes
21545,Mercury,250,6907.52,I,yes
21546,Mercury,250,7081.90,I,yes
21547,Mercury,200,7091.86,I,yes
21548,Mercury,40,7346.37,II,yes
21549,Mercury,100,7485.87,II,yes
21550,Mercury,12,7517.46,III,yes
21551,Mercury,20,7728.82,I,yes
21552,Mercury,7,7808.10,III,yes
21553,Mercury,100,7944.66,II,yes
21554,Mercury,25,7946.75,III,yes
21555,Mercury,50,7984.51,III,yes
21556,Mercury,5,8151.64,III,yes
21557,Mercury,2000,10139.75,I,yes
21558,Mercury,240,11287.40,I,yes
21559,Mercury,240,11287.407,I,yes
21560,Mercury,120,13209.95,I,yes
21561,Mercury,140,13426.57,I,yes
21562,Mercury,60,13468.38,I,yes
21563,Mercury,80,13505.58,I,yes
21564,Mercury,500,13570.21,I,yes
21565,Mercury,450,13673.51,I,yes
21566,Mercury,200,13950.55,I,yes
21567,Mercury,500,15295.82,I,yes
21568,Mercury,100,16881.48,I,yes
21569,Mercury,400,16920.16,I,yes
21570,Mercury,300,16942.00,I,yes
21571,Mercury,500,17072.79,I,yes
21572,Mercury,400,17109.93,I,yes
21573,Mercury,20,17116.75,I,yes
21574,Mercury,20,17198.67,I,yes
21575,Mercury,20,17213.20,I,yes
21576,Mercury,70,17329.41,I,yes
21577,Mercury,30,17436.18,I,yes
21578,Mercury,50,18130.38,I,yes
21579,Mercury,40,19700.17,I,yes
21581,Mercury,250,23253.07,I,yes
