Row,Name,Intensity,Wavelength Ang,Stage,Comment
23118,Neon,66,119.01,V,yes
23119,Neon,200,122.52,V,yes
23120,Neon,66,125.12,V,yes
23121,Neon,45,131.99,V,yes
23122,Neon,50,132.04,V,yes
23123,Neon,150,140.76,V,yes
23124,Neon,150,140.79,V,yes
23125,Neon,100,142.44,V,yes
23126,Neon,100,142.50,V,yes
23127,Neon,150,142.72,V,yes
23128,Neon,100,143.27,V,yes
23129,Neon,150,143.34,V,yes
23130,Neon,150,147.13,V,yes
23131,Neon,66,151.23,V,yes
23132,Neon,120,151.42,V,yes
23133,Neon,15,151.82,IV,yes
23134,Neon,15,152.23,IV,yes
23135,Neon,45,154.50,V,yes
23136,Neon,15,158.65,IV,yes
23137,Neon,15,158.82,IV,yes
23138,Neon,100,164.02,V,yes
23139,Neon,100,164.14,V,yes
23140,Neon,80,172.62,IV,yes
23141,Neon,500,173.93,V,yes
23142,Neon,80,177.16,IV,yes
23143,Neon,150,186.58,IV,yes
23144,Neon,100,194.28,IV,yes
23145,Neon,100,208.48,IV,yes
23146,Neon,100,208.73,IV,yes
23147,Neon,80,208.90,IV,yes
23148,Neon,150,212.56,IV,yes
23149,Neon,140,223.24,IV,yes
23150,Neon,120,223.60,IV,yes
23151,Neon,140,234.32,IV,yes
23152,Neon,120,234.70,IV,yes
23153,Neon,20,251.14,III,yes
23154,Neon,20,251.56,III,yes
23155,Neon,20,251.73,III,yes
23156,Neon,40,267.06,III,yes
23157,Neon,40,267.52,III,yes
23158,Neon,20,267.71,III,yes
23159,Neon,40,283.18,III,yes
23160,Neon,160,283.21,III,yes
23161,Neon,110,283.69,III,yes
23162,Neon,40,283.89,III,yes
23163,Neon,220,301.12,III,yes
23164,Neon,220,313.05,III,yes
23165,Neon,220,313.68,III,yes
23166,Neon,40,313.95,III,yes
23167,Neon,90,352.956,I,yes
23168,Neon,60,354.962,I,yes
23169,Neon,50,357.83,IV,yes
23170,Neon,400,357.96,V,yes
23171,Neon,500,358.47,V,yes
23172,Neon,200,358.72,IV,yes
23173,Neon,500,359.38,V,yes
23174,Neon,90,361.433,II,yes
23175,Neon,60,362.455,II,yes
23176,Neon,1000,365.59,V,yes
23177,Neon,220,379.31,III,yes
23178,Neon,125,387.14,IV,yes
23179,Neon,100,388.22,IV,yes
23180,Neon,150,405.854,II,yes
23181,Neon,120,407.138,II,yes
23182,Neon,800,416.20,V,yes
23183,Neon,150,421.61,IV,yes
23184,Neon,200,445.040,II,yes
23185,Neon,300,446.256,II,yes
23186,Neon,250,446.590,II,yes
23187,Neon,180,447.815,II,yes
23188,Neon,150,454.654,II,yes
23189,Neon,200,455.274,II,yes
23190,Neon,10,456.275,II,yes
23191,Neon,120,456.348,II,yes
23192,Neon,90,456.896,II,yes
23193,Neon,1000,460.728,II,yes
23194,Neon,500,462.391,II,yes
23195,Neon,140,469.77,IV,yes
23196,Neon,200,469.82,IV,yes
23197,Neon,180,469.87,IV,yes
23198,Neon,140,469.92,IV,yes
23199,Neon,250,480.41,V,yes
23200,Neon,150,481.28,V,yes
23201,Neon,250,481.36,V,yes
23202,Neon,500,482.99,V,yes
23203,Neon,285,488.10,III,yes
23204,Neon,220,488.87,III,yes
23205,Neon,450,489.50,III,yes
23206,Neon,70,489.64,III,yes
23207,Neon,220,490.31,III,yes
23208,Neon,360,491.05,III,yes
23209,Neon,120,521.74,IV,yes
23210,Neon,140,521.82,IV,yes
23211,Neon,80,541.13,IV,yes
23212,Neon,100,542.07,IV,yes
23213,Neon,150,543.89,IV,yes
23214,Neon,400,568.42,V,yes
23215,Neon,250,569.76,V,yes
23216,Neon,500,569.83,V,yes
23217,Neon,250,572.11,V,yes
23218,Neon,800,572.34,V,yes
23219,Neon,35,587.213,I,yes
23220,Neon,35,589.179,I,yes
23221,Neon,35,589.911,I,yes
23222,Neon,70,591.830,I,yes
23223,Neon,100,595.920,I,yes
23224,Neon,75,598.706,I,yes
23225,Neon,35,598.891,I,yes
23226,Neon,70,600.036,I,yes
23227,Neon,170,602.726,I,yes
23228,Neon,170,615.628,I,yes
23229,Neon,170,618.672,I,yes
23230,Neon,120,619.102,I,yes
23231,Neon,200,626.823,I,yes
23232,Neon,200,629.739,I,yes
23233,Neon,1000,735.896,I,yes
23234,Neon,400,743.720,I,yes
23235,Neon,60,993.88,I,yes
23236,Neon,70,1068.65,I,yes
23237,Neon,90,1131.72,I,yes
23238,Neon,100,1131.85,II,yes
23239,Neon,90,1229.83,I,yes
23240,Neon,20,1255.03,III,yes
23241,Neon,110,1255.68,III,yes
23242,Neon,160,1257.19,III,yes
23243,Neon,90,1418.38,I,yes
23244,Neon,90,1428.58,I,yes
23245,Neon,90,1436.09,I,yes
23246,Neon,120,1681.68,II,yes
23247,Neon,180,1688.36,II,yes
23248,Neon,100,1888.11,II,yes
23249,Neon,100,1889.71,II,yes
23250,Neon,200,1907.49,II,yes
23251,Neon,500,1916.08,II,yes
23252,Neon,300,1930.03,II,yes
23253,Neon,200,1938.83,II,yes
23254,Neon,100,1945.46,II,yes
23255,Neon,80,2007.01,II,yes
23256,Neon,65,2018.44,IV,yes
23257,Neon,110,2022.19,IV,yes
23258,Neon,80,2025.56,II,yes
23259,Neon,150,2085.47,II,yes
23260,Neon,200,2086.96,III,yes
23261,Neon,300,2089.43,III,yes
23262,Neon,240,2092.44,III,yes
23263,Neon,400,2095.54,III,yes
23264,Neon,180,2096.11,II,yes
23265,Neon,120,2096.25,II,yes
23266,Neon,200,2161.22,III,yes
23267,Neon,300,2163.77,III,yes
23268,Neon,200,2180.89,III,yes
23269,Neon,30,2203.88,IV,yes
23270,Neon,200,2209.35,III,yes
23271,Neon,200,2211.85,III,yes
23272,Neon,240,2213.76,III,yes
23273,Neon,300,2216.07,III,yes
