Row,Name,Intensity,Wavelength Ang,Stage,Comment
38434,Thorium,4,797.53,IV,
38435,Thorium,1,835.55,IV,
38436,Thorium,30,846.91,IV,
38437,Thorium,1,854.02,IV,
38438,Thorium,30,882.39,IV,
38439,Thorium,12,886.66,IV,
38440,Thorium,100,1565.85,IV,
38441,Thorium,70,1682.22,IV,
38442,Thorium,30,1684.01,IV,
38443,Thorium,150,1707.37,IV,yes
38444,Thorium,100,1888.12,III,
38445,Thorium,200,1959.02,IV,yes
38446,Thorium,200,2002.34,IV,yes
38447,Thorium,100,2066.70,IV,
38448,Thorium,20,2143.91,IV,
38449,Thorium,30,2146.81,IV,
38450,Thorium,50,2149.18,III,
38451,Thorium,50,2162.82,III,
38452,Thorium,50,2199.74,III,
38453,Thorium,50,2206.62,III,
38454,Thorium,1,2242.11,IV,
38455,Thorium,2,2261.26,IV,
38456,Thorium,50,2291.59,III,
38457,Thorium,5,2296.81,IV,
38458,Thorium,100,2301.18,III,
38459,Thorium,100,2319.52,III,
38460,Thorium,80,2324.68,III,
38461,Thorium,100,2326.926,II,
38462,Thorium,150,2335.50,III,
38463,Thorium,100,2340.58,III,
38464,Thorium,100,2363.06,III,
38465,Thorium,50,2368.91,III,
38466,Thorium,100,2371.42,III,
38467,Thorium,190,2377.84,II,
38468,Thorium,80,2381.47,III,
38469,Thorium,100,2391.48,III,
38470,Thorium,90,2404.504,II,
38471,Thorium,100,2413.409,II,
38472,Thorium,200,2413.50,III,yes
38473,Thorium,50,2424.54,III,
38474,Thorium,200,2427.94,III,yes
38475,Thorium,200,2431.68,III,yes
38476,Thorium,30,2439.433,I,
38477,Thorium,200,2441.24,III,yes
38478,Thorium,100,2463.66,III,
38479,Thorium,50,2473.93,III,
38480,Thorium,100,2501.08,III,
38481,Thorium,60,2512.69,III,
38482,Thorium,50,2514.31,III,
38483,Thorium,5,2532.894,I,
38484,Thorium,150,2547.901,II,
38485,Thorium,500,2565.593,II,yes
38486,Thorium,270,2566.588,II,
38487,Thorium,200,2576.688,II,
38488,Thorium,230,2589.059,II,
38489,Thorium,230,2597.047,II,
38490,Thorium,230,2600.882,II,
38491,Thorium,100,2609.855,II,
38492,Thorium,230,2618.91,II,
38493,Thorium,270,2623.448,II,
38494,Thorium,270,2625.737,II,
38495,Thorium,55,2628.812,II,
38496,Thorium,270,2641.488,II,
38497,Thorium,170,2650.583,II,
38498,Thorium,150,2658.663,II,
38499,Thorium,50,2680.692,I,
38500,Thorium,360,2684.288,II,
38501,Thorium,480,2692.415,II,yes
38502,Thorium,100,2693.99,IV,
38503,Thorium,100,2695.553,II,
