Row,Name,Intensity,Wavelength Ang,Stage,Comment
43626,Xenon,8,657.8,III,yes
43627,Xenon,8,660.1,III,yes
43628,Xenon,9,673.8,III,yes
43629,Xenon,9,674.0,III,yes
43630,Xenon,9,676.6,III,yes
43631,Xenon,10,694.0,III,yes
43632,Xenon,20,698.5,III,yes
43633,Xenon,12,705.1,III,yes
43634,Xenon,10,721.2,III,yes
43635,Xenon,15,731.0,III,yes
43636,Xenon,10,733.3,III,yes
43637,Xenon,350,740.41,II,yes
43638,Xenon,15,742.6,III,yes
43639,Xenon,10,756.0,III,yes
43640,Xenon,10,761.5,III,yes
43641,Xenon,10,769.1,III,yes
43642,Xenon,25,779.1,III,yes
43643,Xenon,15,792.9,III,yes
43644,Xenon,12,796.1,III,yes
43645,Xenon,15,802.0,III,yes
43646,Xenon,350,803.07,II,yes
43647,Xenon,25,823.2,III,yes
43648,Xenon,30,824.9,III,yes
43649,Xenon,25,853.0,III,yes
43650,Xenon,600,880.80,II,yes
43651,Xenon,350,885.54,II,yes
43652,Xenon,15,889.3,III,yes
43653,Xenon,20,894.0,III,yes
43654,Xenon,20,896.0,III,yes
43655,Xenon,600,925.87,II,yes
43656,Xenon,250,935.40,II,yes
43657,Xenon,10,965.5,III,yes
43658,Xenon,800,972.77,II,yes
43659,Xenon,700,976.68,II,yes
43660,Xenon,35,1003.4,III,yes
43661,Xenon,35,1017.7,III,yes
43662,Xenon,500,1032.44,II,yes
43663,Xenon,700,1037.68,II,yes
43664,Xenon,1100,1041.31,II,yes
43665,Xenon,10,1047.8,III,yes
43666,Xenon,1000,1048.27,II,yes
43667,Xenon,1200,1051.92,II,yes
43668,Xenon,12,1066.4,III,yes
43669,Xenon,2000,1074.48,II,yes
43670,Xenon,600,1083.86,II,yes
43671,Xenon,1200,1100.43,II,yes
43672,Xenon,30,1130.3,III,yes
43673,Xenon,600,1158.47,II,yes
43674,Xenon,250,1169.63,II,yes
43675,Xenon,800,1183.05,II,yes
43676,Xenon,250,1192.04,I,yes
43677,Xenon,25,1232.1,III,yes
43678,Xenon,600,1244.76,II,yes
43679,Xenon,250,1250.20,I,yes
43680,Xenon,1000,1295.59,I,yes
43681,Xenon,600,1469.61,I,yes
43682,Xenon,80,2668.98,III,yes
43683,Xenon,100,2717.33,III,yes
43684,Xenon,30,2814.45,III,yes
43685,Xenon,40,2815.91,III,yes
43686,Xenon,30,2827.45,III,yes
43687,Xenon,40,2847.65,III,yes
43688,Xenon,30,2862.40,III,yes
43689,Xenon,200,2864.73,II,yes
43690,Xenon,80,2871.10,III,yes
43691,Xenon,60,2871.24,III,yes
43692,Xenon,30,2871.7,III,yes
43693,Xenon,150,2895.22,II,yes
43694,Xenon,30,2896.62,III,yes
43695,Xenon,50,2906.6,III,yes
43696,Xenon,40,2911.89,III,yes
43697,Xenon,80,2912.36,III,yes
43698,Xenon,40,2940.2,III,yes
43699,Xenon,60,2945.2,III,yes
43700,Xenon,40,2947.5,III,yes
43701,Xenon,40,2948.1,III,yes
43702,Xenon,80,2970.47,III,yes
43703,Xenon,400,2979.32,II,yes
43704,Xenon,40,2992.87,III,yes
43705,Xenon,30,3004.25,III,yes
43706,Xenon,100,3017.43,II,yes
43707,Xenon,100,3023.81,III,yes
43708,Xenon,40,3083.5,III,yes
43709,Xenon,50,3091.1,III,yes
43710,Xenon,30,3106.46,III,yes
43711,Xenon,300,3128.87,II,yes
43712,Xenon,100,3138.3,III,yes
43713,Xenon,80,3150.82,III,yes
43714,Xenon,40,3185.2,III,yes
43715,Xenon,100,3242.86,III,yes
43716,Xenon,80,3268.98,III,yes
43717,Xenon,30,3287.82,III,yes
43718,Xenon,80,3301.55,III,yes
43719,Xenon,40,3331.6,III,yes
43720,Xenon,30,3358.0,III,yes
43721,Xenon,200,3366.72,II,yes
43722,Xenon,80,3384.12,III,yes
43723,Xenon,2,3400.07,I,yes
43724,Xenon,2,3418.37,I,yes
43725,Xenon,2,3420.00,I,yes
43726,Xenon,3,3442.66,I,yes
43727,Xenon,60,3444.2,III,yes
43728,Xenon,70,3454.2,III,yes
43729,Xenon,100,3458.7,III,yes
43730,Xenon,100,3461.26,II,yes
43731,Xenon,40,3468.22,III,yes
43732,Xenon,4,3469.81,I,yes
43733,Xenon,4,3472.36,I,yes
43734,Xenon,5,3506.74,I,yes
43735,Xenon,80,3522.83,III,yes
43736,Xenon,50,3542.3,III,yes
43737,Xenon,10,3549.86,I,yes
