Wavelength,Intensity,Comment,Use
3799.38187,10,acs-add,Y
3864.2668,10,acs-add not Ar,Y
3948.9780,40,acs-add,Y
3979.3555,3,acs-add,Y
4044.4180,50,acs-add,Y
4158.591,542,,Y
4181.884,75,acs-blend,Y
4190.7129,150,acs-add blend,Y
4200.6738,400,acs-add,Y
4277.5278,20,acs-add,Y
4300.101,129,,Y
4333.5610,129,acs-add,Y
4345.168,45,,Y
4370.7520,5,acs-add,Y
4379.6660,5,acs-add,Y
4400.9849,5,acs-add,Y
4426.0010,10,acs-add,Y
4430.1919,5,acs-add,Y
4474.7588,5,acs-add,Y
4481.8101,5,acs-add,Y
4510.733,78,,Y
4522.323,24,,Y
4545.0508,12,acs-add,Y
4579.3491,7,acs-add,Y
4589.8970,8,acs-add,Y
4596.097,48,,Y
4609.5659,10,acs-add,Y
4628.441,17,,Y
4642.1479,5,acs-add,Y
4647.4932,5,acs-add,Y
4657.8999,10,acs-add,Y
4702.316,35,,Y
4726.8681,10,acs-add,Y
4735.9048,12,acs-add,Y
4752.9399,8,acs-add,Y
4764.8638,12,acs-add,Y
4768.6748,10,acs-add,Y
4806.0190,20,acs-add,Y
4830.5400,6,acs-add not Ar,Y
4836.6968,6,acs-add,Y
4847.8091,10,acs-add,Y
4867.8398,5,acs-add,Y
4879.8618,12,acs-add,Y
4887.8477,12,acs-add,Y
4894.6909,7,acs-add,Y
4933.2080,6,acs-add,Y
4956.7500,7,acs-add,Y
4965.0781,6,acs-add,Y
5009.3330,4,acs-add,Y
5017.1621,10,acs-add,Y
5048.8130,6,acs-add,Y
5054.1782,8,acs-add,Y
5060.0791,10,acs-add,Y
5062.0361,7,acs-add,Y
5151.391,9,,Y
5162.285,23,,Y
5187.746,31,,Y
5221.271,17,,Y
5252.7891,10,acs-add,Y
5254.4712,5,acs-add,Y
5317.7261,2,acs-add,Y
5373.494,5,,Y
5421.352,8,,Y
5451.652,17,,Y
5495.874,43,,Y
5506.113,10,,Y
5558.702,55,,Y
5572.541,18,,Y
5606.733,53,,Y
5650.704,29,,Y
5681.900,8,acs-increase,Y
5689.6401,8,acs-add not Ar,Y
5739.520,16,,Y
5772.1162,8,acs-add,Y
5802.080,8,acs-increase,Y
5834.263,10,,Y
5860.310,13,,Y
5912.085,47,,Y
5928.8101,20,acs-add,Y
5942.6665,7,acs-add,Y
5987.302,9,,Y
5998.999,7,weak,Y
6013.678,6,,Y
6032.127,170,,Y
6043.223,67,,Y
6059.373,33,,Y
6105.635,19,,Y
6145.441,18,,Y
6296.872,13,,Y
6307.657,24,,Y
6369.575,9,,Y
6384.717,33,,Y
6416.307,164,,Y
6538.112,13,,Y
6604.853,24,,Y
6677.282,434,,Y
6752.834,331,,Y
6871.289,316,,Y
6965.431,56184,,Y
7030.251,319,,Y
7067.218,25987,,Y
7147.042,4072,,Y
7272.936,4000,,Y
7383.981,1000,acs-decrease,Y
7471.164,133,,Y
7503.869,300,,Y
7514.652,300,,Y
7635.106,600,,Y
7724.2064,300,acs-add,Y
7948.176,1000,acs-decrease,Y
8006.157,1200,,Y
8014.786,1500,acs-decrease,Y
8103.693,3000,acs-decrease,Y
8115.311,8000,acs-decrease,Y
8264.523,3000,acs-decrease,Y
8408.210,150,acs-decrease,Y
8424.648,200,acs-decrease,Y
8521.442,50,acs-decrease,Y
8667.944,10,acs-decrease,Y
9017.591,20,acs-add,Y
9122.967,100,acs-decrease,Y
9224.499,30,acs-decrease,Y
