Wavelength,Intensity,Comment
3799.38187,10,acs-add
3864.2668,10,acs-add not Ar
3948.9780,40,acs-add
3979.3555,3,acs-add
4044.4180,50,acs-add
4158.591,542,
4181.884,75,acs-blend
4190.7129,150,acs-add blend
4200.6738,400,acs-add
4277.5278,20,acs-add
4300.101,129,
4333.5610,129,acs-add
4345.168,45,
4370.7520,5,acs-add
4379.6660,5,acs-add
4400.9849,5,acs-add
4426.0010,10,acs-add
4430.1919,5,acs-add
4474.7588,5,acs-add
4481.8101,5,acs-add
4510.733,78,
4522.323,24,
4545.0508,12,acs-add
4579.3491,7,acs-add
4589.8970,8,acs-add
4596.097,48,
4609.5659,10,acs-add
4628.441,17,
4642.1479,5,acs-add
4647.4932,5,acs-add
4657.8999,10,acs-add
4702.316,35,
4726.8681,10,acs-add
4735.9048,12,acs-add
4752.9399,8,acs-add
4764.8638,12,acs-add
4768.6748,10,acs-add
4806.0190,20,acs-add
4830.5400,6,acs-add not Ar
4836.6968,6,acs-add
4847.8091,10,acs-add
4867.8398,5,acs-add
4879.8618,12,acs-add
4887.8477,12,acs-add
4894.6909,7,acs-add
4933.2080,6,acs-add
4956.7500,7,acs-add
4965.0781,6,acs-add
5009.3330,4,acs-add
5017.1621,10,acs-add
5048.8130,6,acs-add
5054.1782,8,acs-add
5060.0791,10,acs-add
5062.0361,7,acs-add
5151.391,9,
5162.285,23,
5187.746,31,
5221.271,17,
5252.7891,10,acs-add
5254.4712,5,acs-add
5317.7261,2,acs-add
5373.494,5,
5421.352,8,
5451.652,17,
5495.874,43,
5506.113,10,
5558.702,55,
5572.541,18,
5606.733,53,
5650.704,29,
5681.900,8,acs-increase
5689.6401,8,acs-add not Ar
5739.520,16,
5772.1162,8,acs-add
5802.080,8,acs-increase
5834.263,10,
5860.310,13,
5912.085,47,
5928.8101,20,acs-add
5942.6665,7,acs-add
5987.302,9,
5998.999,7,weak
6013.678,6,
6032.127,170,
6043.223,67,
6059.373,33,
6105.635,19,
6145.441,18,
6296.872,13,
6307.657,24,
6369.575,9,
6384.717,33,
6416.307,164,
6538.112,13,
6604.853,24,
6677.282,434,
6752.834,331,
6871.289,316,
6965.431,56184,
7030.251,319,
7067.218,25987,
7147.042,4072,
7272.936,4000,
7383.981,1000,acs-decrease
7471.164,133,
7503.869,300,
7514.652,300,
7635.106,600,
7724.2064,300,acs-add
7948.176,1000,acs-decrease
8006.157,1200,
8014.786,1500,acs-decrease
8103.693,3000,acs-decrease
8115.311,8000,acs-decrease
8264.523,3000,acs-decrease
8408.210,150,acs-decrease
8424.648,200,acs-decrease
8521.442,50,acs-decrease
8667.944,10,acs-decrease
9017.591,20,acs-add
9122.967,100,acs-decrease
9224.499,30,acs-decrease
