Wavelength,Intensity,Comment,Use
3125.670,14,acs-change 142 to 14,Y
3131.550,20,acs-change 204 to 20,Y
3341.480,113,,Y
3650.150,14556,,Y
3654.840,3503,,Y
3663.280,2750,,Y
3901.870,119,,Y
3906.370,132,,Y
4046.560,43534,,Y
4077.830,3895,,Y
4348.0630,4000,acs-add,Y
4358.330,86268,,Y
4916.070,2000,acs-increase,Y
5460.740,70000,,Y
5769.600,50000,acs-increase,Y
5790.660,23296,,Y
5882.6226,1000,acs-add,Y
6032.1244,500,acs-add,Y
6234.3929,400,,Y
6384.7144,500,,Y
6416.3038,300,,Y
6598.6840,500,,Y
6677.2784,500,,Y
6716.4228,500,,Y
6752.8300,200,,Y
6871.2860,200,,Y
6907.5212,2000,,Y
6965.4265,10000,,Y
7067.2170,1000,,Y
7081.8940,250,,Y
7091.8613,200,,Y
7147.0410,250,,Y
7272.9350,200,,Y
7383.9796,150,,Y
7503.8685,150,,Y
7514.6514,150,,Y
7635.1056,100,,Y
7723.7599,100,,Y
7948.1755,100,,Y
8006.157,500,acs-from Argon.dat,Y
8014.786,500,acs-from Argon.dat,Y
8103.693,500,acs-from Argon.dat,Y
8115.311,500,acs-from Argon.dat,Y
8264.523,500,acs-from Argon.dat,Y
8408.2096,50,acs-from goodman,Y
8424.6475,50,acs-from goodman,Y
8521.4422,50,acs-from goodman,Y
9122.9674,20,acs-from goodman,Y
