Wavelength,Intensity,Comment,Use
3281.70092,10,acs-add(id tentative),Y
3491.5356,10,acs-add,Y
3559.508,23,,Y
3561.03016,23,acs-add,Y
3576.557,20,acs-add,Y
3588.44021,20,acs-add,Y
3612.427,20,acs-add,Y
3659.529,30,acs-add,Y
3719.435,100,acs-add,Y
3729.3091,50,acs-add,Y
3737.8889,40,acs-add,Y
3765.27,66,,Y
3803.17205,100,acs-add,Y
3809.45576,30,acs-add,Y
3828.385,78,,Y
3839.746,50,acs-add,Y
3850.58,68,,Y
3868.52819,50,acs-add,Y
3925.71849,100,acs-add,Y
3928.62282,90,acs-add,Y
3967.392,40,acs-add,Y
3994.7918,70,acs-add,Y
4019.129,129,,Y
4030.842,70,acs-add,Y
4036.047,100,acs-add,Y
4043.39,296,,Y
4052.9208,150,acs-add,Y
4072.005,508,,Y
4080.63589,90,acs-add,Y
4103.9121,200,acs-add,Y
4112.81487,90,acs-add,Y
4131.7235,400,acs-add,Y
4158.591,704,,Y
4164.18,70,acs-add,Y
4181.8836,150,acs-add,Y
4190.7129,200,acs-add,Y
4198.317,400,acs-add,Y
4200.6745,500,acs-add,Y
4210.923,150,acs-add,Y
4259.36,522,,Y
4266.2864,200,acs-add,Y
4272.1689,300,acs-add,Y
4277.53,1141,,Y
4300.1,254,,Y
4309.23857,150,acs-add,Y
4331.1995,300,acs-add,Y
4333.561,250,acs-add,Y
4348.064,810,,Y
4367.83141,100,acs-add,Y
4370.75,513,,Y
4379.666,300,acs-add,Y
4385.05653,100,acs-add,Y
4400.99,265,,Y
4408.882,80,acs-add,Y
4426.001,508,,Y
4430.18862,250,acs-add,Y
4433.83789,150,acs-add,Y
4474.7588,150,acs-add,Y
4481.81,347,,Y
4493.334,205,,Y
4510.73,217,,Y
4545.052,1013,,Y
4579.34934,469,acs-replace 4579.830,Y
4589.898,703,,Y
4609.5673,1000,acs-add,Y
4628.441,30,acs-add,F
4637.23239,50,acs-add,F
4657.901,826,,Y
4673.661,114,,Y
4703.99,192,acs-add,Y
4723.438,150,acs-add,F
4726.868,768,,Y
4735.906,376,,Y
4764.865,1504,,Y
4778.294,200,acs-add,Y
4806.021,676,,Y
4808.134,170,acs-add,F
4831.121,150,acs-add,Y
4840.843,150,acs-add,F
4847.81,315,,Y
4879.864,1137,,Y
4889.04194,200,acs-add,F
4894.955,200,acs-add,Y
4904.75143,70,acs-add,F
4919.816,100,acs-add,Y
4933.208,70,acs-add,F
4939.642,50,acs-add,F
4965.08,479,,Y
5002.097,150,acs-add,Y
5009.3344,200,acs-add,Y
5017.163,294,,Y
5039.23,100,acs-add,F
5044.719,170,acs-add,Y
5062.0371,400,acs-add,F
5067.974,170,acs-add,F
5090.4949,100,acs-add,F
5100.44206,70,acs-add,F
5115.044,150,acs-add,F
5125.95,100,acs-add,F
5141.7826,200,acs-add,Y
5145.30815,100,acs-add,F
5151.612,100,acs-add,F
5154.243,70,acs-add,F
5158.604,170,acs-add,Y
5176.961,100,acs-add,Y
5187.746,100,acs-add,F
5199.164,150,acs-add,F
5211.23,100,acs-add,F
5219.11,50,acs-add,F
5231.16,194,,Y
5247.654,50,acs-add,F
5258.36,100,acs-add,Y
5266.71,50,acs-add,F
5297.743,50,acs-add,Y
5311.9817,150,acs-add,Y
5326.976,70,acs-add,Y
5343.581,127,,Y
5378.836,70,acs-add,F
5386.5245,80,acs-add,F
5394.85167,70,acs-add,F
5407.34497,70,acs-add,F
5417.486,60,acs-add,Y
5451.652,50,acs-add,Y
5495.874,120,acs-add,F
5509.994,20,acs-add,F
5539.2618,100,acs-add,Y
5548.176,40,acs-add,F
5558.702,150,acs-add,Y
5587.026,200,acs-decrease,Y
5595.064,60,acs-add,F
5606.733,200,acs-add,Y
5615.32,200,acs-add,Y
5639.746,50,acs-add,Y
5650.704,100,acs-add,F
5700.918,50,acs-add,Y
5707.103,40,acs-add,Y
5720.183,496,,Y
5760.551,912,,Y
5789.645,40,acs-add,F
5804.141,298,,Y
5834.264,30,acs-add,F
5852.77402,70,acs-add,Y
5860.31,70,acs-add,F
5882.624,50,acs-add,F
5888.584,100,acs-add,F
5891.451,30,acs-add,F
5912.09,332,,F
5928.812,80,acs-add,F
5973.665,329,,Y
5989.044,60,acs-add,F
5994.129,200,acs-add,F
6005.725,40,acs-add,F
6007.072,60,acs-add,F
6021.036,60,acs-add,Y
6025.15,40,acs-add,F
6032.127,569,,Y
6037.698,130,acs-add,F
6043.223,180,acs-add,Y
6049.0749,60,acs-add,F
6098.803,50,acs-add,F
6105.635,50,acs-add,F
6114.92,351,,Y
6145.441,50,acs-add,F
6151.993,110,acs-add,F
6155.239,50,acs-add,F
6169.822,400,acs-decrease from 630,F
6172.28,425,,F
6182.6217,450,acs-add,Y
6191.906,70,acs-add,F
6198.2227,120,acs-add,Y
6203.493,273,,Y
6215.939,30,acs-add,F
6224.528,100,acs-add,Y
6234.856,40,acs-add,F
6243.11983,60,acs-add,F
6261.418,90,acs-add,F
6307.657,70,acs-add,F
6327.278,100,acs-add,Y
6342.86,184,,Y
6348.6248,50,acs-add,F
6355.911,30,acs-add,F
6369.575,50,acs-add,F
6376.931,70,acs-add,Y
6384.72,193,,Y
6411.9,200,acs-decrease,Y
6416.307,500,acs-add,Y
6457.28,464,,Y
6483.08254,80,acs-add,Y
6490.738,70,acs-add,Y
6512.364,80,acs-add,Y
6531.34,265,,Y
6538.112,60,acs-add,Y
6554.16,100,acs-add,Y
6577.215,110,acs-add,Y
6583.906,700,acs-add,Y
6588.54,600,acs-add,Y
6593.94,650,acs-add,Y
6604.85,180,,Y
6638.22027,100,acs-add,Y
6639.7402,60,acs-add,Y
6643.7,249,,Y
6662.27,304,,Y
6666.35878,100,acs-add,Y
6677.28,739,,Y
6719.219,60,acs-add,Y
6727.459,80,acs-add,Y
6684.29,200,,Y
6752.8335,1000,acs-alternative to 6753,Y
6756.453,300,acs-add,Y
6766.611,100,acs-add,Y
6778.313,60,acs-add,Y
6780.413,100,acs-add,Y
6829.036,60,acs-add,Y
6834.925,140,acs-add,Y
6861.2688,80,acs-add,Y
6871.29,1056,,Y
6874.754,50,acs-add,Y
6879.583,40,acs-add,Y
6888.174,60,acs-add,Y
6911.23,573,,Y
6937.66,529,,Y
6943.61,227,,Y
6965.43,26890,,Y
6989.66,407,,Y
7000.806,100,acs-add,Y
7018.57,197,,Y
7030.25,898,,Y
7067.218,25000,acs-add,Y
7107.48,100,,Y
7125.82,400,acs-add,Y
7147.04,3707,,Y
7168.9,502,,Y
7206.98,617,,Y
7218.054,250,acs-add,Y
7272.94,8640,,Y
7311.716,350,acs-add,Y
7315.067,300,acs-add,Y
7353.29,705,,Y
7372.12,1719,,Y
7383.9805,40000,acs-add,Y
7435.37,643,,Y
7471.16,462,,Y
7484.33,663,,Y
7503.8691,80000,acs-add,Y
7514.6514,50000,acs-add,Y
7567.74,350,acs-add,Y
7635.11,100000,,Y
7724.2064,40000,acs-add,Y
7788.937,150,acs-add,Y
7817.771,200,acs-add,Y
7847.54,273,,Y
7891.08,528,,Y
7948.176,30000,acs-add,Y
7978.97,743,,Y
8006.1567,25000,acs-add,Y
8014.7857,40000,acs-add,Y
8053.31,578,,Y
8103.6931,40000,acs-add,Y
8115.311,70000,acs-add,Y
8143.139,300,acs-add,Y
8186.914,250,acs-add,Y
8264.523,25000,acs-add,Y
8330.45,319,,Y
8408.21,35000,acs-add,Y
8424.648,50000,acs-add,Y
8446.509,494,acs-Th better than 8445,Y
8478.36,312,,Y
8521.44,20000,acs-decrease,Y
8573.122,130,acs-add,Y
8605.78,266,,Y
8620.46,220,,Y
8667.94,8423,,Y
8709.236,110,acs-add,Y
8748.033,110,acs-add,Y
8761.686,220,acs-add,Y
8967.641,160,acs-add,Y
9048.252,160,acs-add,Y
9122.967,70000,acs-add,Y
9194.638,350,acs-add,Y
9224.498,15000,acs-add,Y
9291.532,150,acs-add,Y
9354.218,800,acs-add,Y
9657.786,650,acs-add,Y
