Wavelength,Intensity,Comment,Use
3685.9,40,,Y
3693.49,40,,Y
3950.925,120,,Y
3967.541,200,,Y
4078.8207,100,,Y
4109.7093,60,,Y
4116.1151,80,,Y
4180.10,25,acs-add,Y
4193.5296,150,,Y
4203.6945,50,,Y
4215.62,40,acs-add,Y
4238.21,25,acs-add,Y
4245.37,35,acs-add,Y
4330.52,40,acs-add,Y
4383.9092,100,,Y
4385.7693,70,,Y
4414.82,30,acs-add,Y
4448.13,40,acs-add,Y
4462.19,50,acs-add,Y
4480.80,30,acs-add,Y
4500.9772,500,,Y
4524.6805,400,,Y
4582.7474,300,,Y
4603.04,150,acs-add,Y
4611.8896,100,,Y
4624.2757,1000,,Y
4671.226,2000,,Y
4690.9711,100,,Y
4697.02,300,,Y
4734.1524,600,,Y
4792.6192,150,,Y
4807.019,500,,Y
4829.709,400,,Y
4843.294,300,,Y
4862.47,30,acs-add,Y
4876.49,50,acs-add,Y
4916.51,500,,Y
4923.152,500,,Y
4972.70,90,acs-add,Y
5028.28,200,,Y
5044.94,70,acs-add,Y
5260.44,90,acs-add,Y
5261.98,90,acs-add,Y
5292.21,110,acs-add,Y
5339.33,80,acs-add,Y
5372.39,70,acs-add,Y
5392.8,100,,Y
5419.14,120,acs-add,Y
5438.97,50,acs-add,Y
5532.78,120,acs-add,Y
5552.387,40,acs-add,Y
5716.1,50,acs-add,Y
5751.0,40,acs-add,Y
5823.89,300,,Y
5824.8,150,,Y
5875.02,100,,Y
5894.99,100,,Y
6111.95,40,acs-add,Y
6163.66,70,acs-add,Y
6178.3,150,,Y
6179.66,120,,Y
6182.42,300,,Y
6198.26,100,,Y
6261.21,30,acs-add,Y
6286.01,100,,Y
6292.65,30,acs-add,Y
6318.06,500,,Y
6469.7,300,,Y
6472.84,150,,Y
6487.76,120,,Y
6521.52,30,acs-add,Y
6533.16,100,,Y
6543.36,35,acs-add,Y
6554.18,40,acs-add,Y
6595.56,100,,Y
6632.47,60,acs-add,Y
6668.92,150,,Y
6728.01,200,,Y
6777.56,50,acs-add,Y
6778.59,50,acs-add,Y
6805.7,20,acs-add,Y
6827.32,200,,Y
6846.61,100,acs-add,Y
6866.84,65,acs-add,Y
6872.11,100,,Y
6882.16,300,,Y
6910.82,30,acs-add,Y
6925.53,100,,Y
6935.61,25,acs-add,Y
6976.18,100,,Y
6990.9,20,acs-add,Y
7019.03,30,acs-add,Y
7047.37,35,acs-add,Y
7119.6,500,,Y
7244.86,40,acs-add,Y
7257.91,40,acs-add,Y
7284.3,120,acs-add,Y
7316.27,70,acs-add,Y
7321.45,70,acs-add,Y
7336.48,50,acs-add,Y
7355.57,30,acs-add,Y
7386.0,100,,Y
7393.79,150,,Y
7400.40,40,acs-add,Y
7424.04,30,acs-add,Y
7441.94,20,acs-add,Y
7450.99,20,acs-add,Y
7471.99,50,acs-add,Y
7492.22,30,acs-add,Y
7501.12,30,acs-add,Y
7559.77,40,acs-add,Y
7584.68,200,,Y
7642.02,500,,Y
7643.91,100,,Y
7664.54,50,acs-add,Y
7740.31,40,acs-add,Y
7783.62,40,acs-add,Y
7802.65,100,,Y
7881.32,100,,Y
7887.40,300,,Y
7967.34,500,,Y
8029.67,100,,Y
8057.26,200,,Y
8061.34,150,,Y
8101.98,100,,Y
8171.02,100,,Y
8206.34,700,,Y
8231.635,10000,,Y
8266.52,500,,Y
8280.116,7000,,Y
8346.82,2000,,Y
8409.19,2000,,Y
8576.01,200,,Y
8624.22,70,acs-add,Y
8648.54,250,,Y
8692.2,100,,Y
8696.86,200,,Y
8739.39,300,,Y
8758.20,100,,Y
8819.41,5000,,Y
8862.32,300,,Y
8908.73,200,,Y
8930.83,200,,Y
8952.25,1000,,Y
8981.05,100,,Y
8987.57,200,,Y
9032.16,80,acs-add,Y
9045.447,400,,Y
9096.11,70,acs-add,Y
9162.652,500,,Y
9167.51,200,acs-add,Y
9203.19,80,acs-add,Y
9211.38,70,acs-add,Y
9301.93,60,acs-add,Y
9306.62,70,acs-add,Y
9374.75,150,acs-add,Y
9411.99,60,acs-add,Y
9445.34,80,,Y
9513.377,200,,Y
9685.32,150,,Y
9718.16,100,,Y
9799.70,200,acs-add,Y
9923.19,100,acs-add,Y
