# ThAr line list for LR; ACS Jun 2016
# lambda line
3901.6621 ThI
3916.4176 ThI
3925.0934 ThI
3925.7188 ArII
3928.6233 ArII
3929.6693 ThII
3932.5466 ArII
3944.2534 ThI
3946.1455 ThII
3947.5046 ArI
3948.9789 ArI
3950.3951 ThI
3961.5208 Th
3967.3921 ThI
3968.359  ArII
3972.1545 Th
3974.7590 ArII
3979.3559 ArII
3986.217  ThI 
3990.4922 ThI
3992.0535 ArII
3994.7918 ArII
4008.2102 ThI
4012.4952 ThI
4013.8566 ArII
4019.1289 ThII
4027.0091 ThI
4030.8424 ThI
4033.809  ArII
4035.4600 ArII 
4036.0479 ThI
4042.8937 ArII
4044.4179 ArI
4045.9654 ArI
4052.9208 ArII
4053.5277 ThI
4054.5258 ArI
4063.4071 ThI
4069.903  ThI 
4072.0047 ArII 
4072.3849 ArII
4075.5030 ThI
4076.6284 ArII
4076.9432 ArII
4079.5738 ArII
4080.7058 ThI
4082.3872 ArII
4086.5205 ThII
4094.7470 ThII
4097.7478 ThI
4100.3414 ThI
4103.9121 ArII
4108.4198 ThII
4112.7545 ThI
4115.7589 ThI
4116.7137 ThII
4127.4120 Th
4128.6400 ArII
4131.0021 ThI
4131.7235 ArII
4132.7533 ThII
4134.0681 ThI
4140.2350 ThII
4142.7010 ThII 
4143.6491 ThI
4156.0860 ArII
4158.5905 ArI
4162.5090 ThI
4164.1795 ArI
4165.7661 ThI
4170.5333 ThI
4181.8836 ArI
4191.0294 ArI
4198.3170 ArI
4200.6745 ArI
4201.9715 ArII
4208.8907 ThII
4210.9232 ThI
4213.0673 ThI
4214.8285 ThI
4217.4308 ArII
4218.6649 ArII
4222.6373 ArII
4226.7267 ThII
4226.9876 ArII
4228.1580 ArII
4229.8644 ThI
4235.4636 ThI
4237.2198 ArII
4250.3146 ThI
4251.1846 ArI
4256.2537 ThI
4257.4963 ThI
4259.3619 ArI
4266.2864 ArI
4272.1689 ArI
4275.1596 ArII
4276.8073 ThII
4277.5282 ArII
4279.0627 ThI
4282.0413 ThII
4282.897  ArII
4287.0808 ThI
4288.6688 ThI
4289.3632 Th
4293.218  ThII
4297.3066 ThI
4297.9392 ThI
4300.1008 ArI
4307.1762 ThI
4309.2392 ArII
4311.7994 ThI
4312.9975 ThI
4315.2543 ThI
4318.4157 ThII
4320.1264 ThII
4325.8599 ThI
4326.179  ThII
4328.9154 ThI
4331.1995 ArII
4332.0297 ArII
4333.5612 ArI
4335.3379 ArI
4337.0708 ArII
4342.4442 ThI
4345.1680 ArI
4346.4367 ThI
4348.0640 ArII 
4349.0722 ThI
4352.2049 ArII
4353.4487 ThI
4358.3200 ThI
4362.0662 ArII
4363.7945 ArI
4365.9301 ThI
4367.8316 ArII
4369.8756 ThI
4370.7532 ArII
4371.3290 ArII
4372.4900 ArII
4374.1239 ThI
4374.7851 ThII
4375.9542 ArII
4378.1768 ThI
4379.6668 ArII
4380.2863 ThI
4385.0566 ArII
4391.1105 ThII
4392.9740 ThI
4400.0968 ArII
4400.9863 ArII
4401.5812 ThI
4402.9271 ThI
4404.9022 ArII
4408.8828 ThI
4409.8991 ThI
4414.4863 ThI
4420.912  ArII
4422.0479 ThI
4426.0011 ArII
4430.1890 ArII
4430.9963 ArII
4432.2523 ThI
4432.9628 ThII
4433.8380 ArII
4434.9564 Th
4439.4614 ArII
4443.0863 ThII
4445.9012 ThI
4448.8792 ArII
4452.5655 ThI
4458.0015 ThI
4460.5574 ArII
4461.2412 ThI
4461.5278 ThI
4468.3208 ThI
4469.5253 ThI
4474.7594 ArII
4475.2214 ThI
4481.8107 ArII
4483.3468 ThI
4486.8973 ThI
4487.4955 ThII
4488.6808 ThII
4489.6645 ThI
4490.9816 ArII
4493.3337 ThI
