Wavelength,flag,Linetype
3901.6621,a,ThI
3916.4176,m,ThI
3925.0934,a,ThI
3925.7188,a,ArII
3928.6233,a,ArII
3929.6693,a,ThII
3932.5466,a,ArII
3944.2534,a,ThI
3946.1455,a,ThII
3947.5046,a,ArI
3948.9789,a,ArI
3950.3951,a,ThI
3961.5208,a,Th
3967.3921,a,ThI
3968.359,m,ArII
3972.1545,a,Th
3974.7590,m,ArII
3979.3559,a,ArII
3986.217,a,ThI
3990.4922,a,ThI
3992.0535,a,ArII
3994.7918,a,ArII
4008.2102,m,ThI
4012.4952,a,ThI
4013.8566,a,ArII
4019.1289,a,ThII
4027.0091,m,ThI
4030.8424,a,ThI
4033.809,a,ArII
4035.4600,a,ArII
4036.0479,a,ThI
4042.8937,a,ArII
4044.4179,a,ArI
4045.9654,a,ArI
4052.9208,a,ArII
4053.5277,m,ThI
4054.5258,a,ArI
4063.4071,m,ThI
4069.903,a,ThI
4072.0047,a,ArII
4072.3849,a,ArII
4075.5030,m,ThI
4076.6284,a,ArII
4076.9432,m,ArII
4079.5738,a,ArII
4080.7058,a,ThI
4082.3872,a,ArII
4086.5205,a,ThII
4094.7470,a,ThII
4097.7478,a,ThI
4100.3414,a,ThI
4103.9121,a,ArII
4108.4198,m,ThII
4112.7545,a,ThI
4115.7589,a,ThI
4116.7137,a,ThII
4127.4120,m,Th
4128.6400,m,ArII
4131.0021,m,ThI
4131.7235,a,ArII
4132.7533,m,ThII
4134.0681,a,ThI
4140.2350,m,ThII
4142.7010,m,ThII
4143.6491,a,ThI
4156.0860,a,ArII
4158.5905,a,ArI
4162.5090,m,ThI
4164.1795,a,ArI
4165.7661,m,ThI
4170.5333,a,ThI
4181.8836,a,ArI
4191.0294,a,ArI
4198.3170,a,ArI
4200.6745,a,ArI
4201.9715,m,ArII
4208.8907,a,ThII
4210.9232,a,ThI
4213.0673,m,ThI
4214.8285,m,ThI
4217.4308,a,ArII
4218.6649,a,ArII
4222.6373,a,ArII
4226.7267,m,ThII
4226.9876,a,ArII
4228.1580,a,ArII
4229.8644,a,ThI
4235.4636,a,ThI
4237.2198,a,ArII
4250.3146,a,ThI
4251.1846,a,ArI
4256.2537,m,ThI
4257.4963,a,ThI
4259.3619,a,ArI
4266.2864,a,ArI
4272.1689,a,ArI
4275.1596,a,ArII
4276.8073,m,ThII
4277.5282,a,ArII
4279.0627,a,ThI
4282.0413,a,ThII
4282.897,a,ArII
4287.0808,m,ThI
4288.6688,a,ThI
4289.3632,m,Th
4293.218,a,ThII
4297.3066,m,ThI
4297.9392,m,ThI
4300.1008,a,ArI
4307.1762,m,ThI
4309.2392,a,ArII
4311.7994,m,ThI
4312.9975,a,ThI
4315.2543,a,ThI
4318.4157,m,ThII
4320.1264,m,ThII
4325.8599,m,ThI
4326.179,a,ThII
4328.9154,a,ThI
4331.1995,a,ArII
4332.0297,a,ArII
4333.5612,a,ArI
4335.3379,a,ArI
4337.0708,a,ArII
4342.4442,m,ThI
4345.1680,a,ArI
4346.4367,m,ThI
4348.0640,a,ArII
4349.0722,m,ThI
4352.2049,a,ArII
4353.4487,a,ThI
4358.3200,m,ThI
4362.0662,a,ArII
4363.7945,a,ArI
4365.9301,a,ThI
4367.8316,a,ArII
4369.8756,m,ThI
4370.7532,a,ArII
4371.3290,a,ArII
4372.4900,m,ArII
4374.1239,a,ThI
4374.7851,a,ThII
4375.9542,a,ArII
4378.1768,a,ThI
4379.6668,a,ArII
4380.2863,m,ThI
4385.0566,a,ArII
4391.1105,a,ThII
4392.9740,m,ThI
4400.0968,a,ArII
4400.9863,a,ArII
4401.5812,m,ThI
4402.9271,a,ThI
4404.9022,a,ArII
4408.8828,a,ThI
4409.8991,m,ThI
4414.4863,a,ThI
4420.912,a,ArII
4422.0479,m,ThI
4426.0011,a,ArII
4430.1890,a,ArII
4430.9963,a,ArII
4432.2523,m,ThI
4432.9628,m,ThII
4433.8380,a,ArII
4434.9564,a,Th
4439.4614,a,ArII
4443.0863,m,ThII
4445.9012,a,ThI
4448.8792,a,ArII
4452.5655,a,ThI
4458.0015,m,ThI
4460.5574,a,ArII
4461.2412,m,ThI
4461.5278,m,ThI
4468.3208,a,ThI
4469.5253,m,ThI
4474.7594,a,ArII
4475.2214,m,ThI
4481.8107,a,ArII
4483.3468,m,ThI
4486.8973,a,ThI
